canonical_entity,canonical_entity_id,source_sheet,source_row,source_row_ordinal,cml_licence_no,manufacturer_name_address_composite,licence_validity_date,licensed_is_text,licence_status,variety_brand,source_url,retrieved_at
FMCS,FMCS-02708,,60,59,CM/L-4100312563,BSH Hausgerate GmbH,NONE,IS 302,OTHER,Name of the Product SAFETY OF HOUSEHOLD AND SIMILAR ELECTRICAL APPLIANCES Product Type Model :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02851,,61,60,CM/L-4100326877,Apurva Ply Industries,NONE,IS 303 : 1989,OTHER,"Name of the product Plywood for General Purpose Grade MR Bending Class F30 Type Based on Appearance AB, :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02859,,62,61,CM/L-4100327677,Om Ply and Furniture Pvt. Ltd.,NONE,IS 303 : 1989,OTHER,"Name of the product Plywood for General Purpose Grade MR, BWR & BWP Bending Class F10, F20, F30, F40 :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02948,,63,62,CM/L-4100336577,Shree Jagdamba Plyboard Industries Pvt. Ltd.,NONE,IS 303 : 1989,OTHER,:,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02982,,64,63,CM/L-4100339987,Group Delta Investments LLC,NONE,IS 303 : 1989,OTHER,"Name of the Product Plywood for General Purpose Grade :MR, BWP BWR Type Based on Appearance :AA, AB, :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-03067,,65,64,CM/L-4100348483,MEIBAN TECHNOLOGIES MALAYSIA SDN BHD,NONE,IS 302,OTHER,Name of the Product Household and similar electrical appliances – Safety Part 1 General Requirements Product :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-03068,,66,65,CM/L-4100348584,Syarikat Sin Kwang Plastic Industries Sdn. Bhd,NONE,IS 302,OTHER,Name of the Product Household and similar electrical appliances – Safety Part 1 General Requirements Product :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-03088,,67,66,CM/L-4100350571,"Kinpo Electronics (Philippines), Inc.",NONE,IS 302,OTHER,Name of the Product Household and similar electrical appliances – Safety Part 1 General Requirements Product :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00533,,68,67,CM/L-4100062970,"NINGBO JIONGCHI ELECTRICAL APPLIANCES CO., LTD",NONE,IS 302,OTHER,Safety of Household & Similar Electrical Appliances- Electric Steam Iron Aluminium alloy sole plate :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-03089,,69,68,CM/L-4100350672,Syarikat Sin Kwang Plastic Industries SDN. BHD.,NONE,IS 302,OTHER,Name of the Product Household and similar electrical appliances – Safety Part 1 General Requirements Product :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02920,,70,69,CM/L-4100333773,Rational Montage GmbH,NONE,IS 302,OTHER,Name of the Product Household and similar electrical appliances – Safety Part 1 General Requirements Product :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02960,,71,70,CM/L-4100337781,RATIONAL Wittenheim SAS,NONE,IS 302,OTHER,Product Household and similar electrical appliances – Safety Part 1 General Requirements Household :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02908,,72,71,CM/L-4100332569,BSH Ev Aletleri Sanayi Ve Ticaret A.S,NONE,IS 302,OTHER,Name of the Product Safety of Household and Similar Electrical Appliances Part 1 General Requirements :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02526,,73,72,CM/L-4100294284,BSH Hausgerate GmbH,NONE,IS 302,OTHER,Name of the Product SAFETY OF HOUSEHOLD AND SIMILAR ELECTRICAL APPLIANCES Product Type Dishwashers Model :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02479,,74,73,CM/L-4100289594,HANIL MEDICAL CO. LTD.,NONE,IS 302,OTHER,Name of the Product Household and Similar Electrical Appliances-Safety- Part 1 General Requirements Product :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-01860,,75,74,CM/L-4100226873,LAURASTAR SA,NONE,IS 302,OTHER,Name of Product: Electric Iron (Safety) Type: Pressurized Steam Iron (with cord) Class of Appliance: :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02782,,76,75,CM/L-4100319981,Abena Produktion A/S,NONE,IS 5405 : 2019,OTHER,:,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00156,,77,76,CM/L-4043240,Ningbo Chaochao Electrical Appliances Co. Ltd,NONE,IS 302,OTHER,"Electric iron, thermostatically controlled aluminium alloy soleplate (PTFE coated), Pollution Degree-3, : orbit - RICO - BAJAJ - KORYO - iBELL, CASTOR - SINGER - POLYCAB - KELVINATOR - BPL",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00111,,78,77,CM/L-4032033,P.T. Philips Industries Batam,NONE,IS 302,OTHER,"(1) Thermostatically controlled Electric Steam Iron, vented type, incorporated with water reservoir :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00100,,79,78,CM/L-4028850,Ningbo Shuaiwei Electric Appliance Co. Ltd,NONE,IS 302,OTHER,"Safety of household and similar electrical appliances Particular requirements – Electric Iron, thermostatic, : Havells, Croma, Olympus - ORBIT - LLYOD,SUNFLAME,PRINGLE,DUKE - Morphy Richards - SURYA, UNITED - Cello, DHOMES, iBELL, ketvin - VIJAYLAKSHMI, GOLDWELL - mr Plus - SINGER - QUBA - SYSKA - Rico - Frendz, Westinghouse, Prakash, Hi-Tech - RECONNECT - F Flipkart Smartbuy, USHA - KORYO - JVD, Aissvaryam, Bajaj, Platini, Majesty, Butterfly - Boss, Kraft, Pisces, Warmex - BESTIE - NEXTRONICS - KGA, IMPEX, AMSTRAD, TANDEM - INDO - POLYCAB - PRESTIGE - SANSUI - wipro, Flipkart MarQ - Dolphy - MAHARAJA",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02993,,80,79,CM/L-4100341065,Radha Swami Plywood & Sunmica Udyog Pvt. Ltd.,NONE,IS 303 : 1989,OTHER,:,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00235,,81,80,CM/L-4100004653,Panasonic Wanbao Appliances Electric Iron (Guangzhou) Co. Ltd.,NONE,IS 302,OTHER,"Electric Steam Iron (Vented Type), Thermostatically controlled, with Aluminium Alloy Sole Plate :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00241,,82,81,CM/L-4100006657,Town Ray Electrical (Huizhou) Limited,NONE,IS 302,OTHER,"Electric Steam Iron Thermostatically controlled, Incorporated with water reservoir & build in stand, :",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-02443,,83,82,CM/L-4100285990,ARISTON VIETNAM CO. LTD,NONE,IS 302 (Part 2,OTHER,Name of the Product Household and similar appliances – Electric Instantaneous Water Heaters Model :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-01168,,84,83,CM/L-4100147776,Rabigh Refining & Petrochemical Company,NONE,IS 538:2020,OTHER,Phenol (Carbolic Acid) Grade A (Phenol) :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00710,,85,84,CM/L-4100089788,Guangdong Xinbao Electrical Appliances Holdings Co. Ltd,NONE,IS 302,OTHER,"hand-held food mixer, 200 to 450W, 220-240VAC, Class II, Class F, IPX0 Name of Product Household Electric : Sharp - Philips - AGARO - SINGER - BOSS - USHA - Hi-Tech - V-GUARD - BLACK&DECKER - Pigeon - INALSA - FRENDZ - Croma - FABER - American Micronic - HAVELLS - cello - Glen - MORPHY RICHARDS - BAJAJ - BOROSIL - SOLARA - HAFELE - FUMATO - THE BETTER HOME",https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00698,,86,85,CM/L-4100087784,Ningbo Kajafa Electric Appliance Co Ltd,NONE,IS 302,OTHER,Household Electric Kitchen Machines – Safety Requirements for the following varieties: (i) Hand –Held : Kajafa - WisTec - WARMEX - BPL - SOLARA - SHINESTAR,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00733,,87,86,CM/L-4100093173,Guangdong Shunde Wellife Electrical Applaince Mfg. Co. Ltd,NONE,IS 302,OTHER,Name of Product Household Electric Kitchen Machines- Safety requirements Type/Functionality of Product Electric :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
FMCS,FMCS-00619,,88,87,CM/L-4100076779,"Onshiu (Zhongshan) Electrical Appliance Co, Ltd",NONE,IS 302,OTHER,Safety of Household and Similar Electric Appliances-Particular-requirement-Room :,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,2026-08-31
