canonical_entity,canonical_entity_id,source_sheet,source_row,canonical_is_number,related_product_text,scheme_code,scheme_name,scheme_type,certification_type,mandatory_voluntary,certification_scope,certification_requirements,related_qco_text,related_product_manual_text,related_sit_text,source_url
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,12,STD-1489-P2,Portland Pozzolana Cement (Calcined clay based),Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,13,STD-269,Ordinary Portland Cement,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,14,STD-455,Portland Slag Cement,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,15,STD-8041,Rapid hardening Portland cement,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,16,STD-8042,White Portland Cement,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,17,STD-8043,Hydrophobic Portland Cement,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,18,STD-16415,Composite Cement,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,19,STD-9873-P1,Safety of Toys: Mechanical and Physical Properties,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,20,STD-9873-P2,Safety of Toys: Flammability,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,21,STD-9873-P3,Safety of Toys: Migration of Certain Elements,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,22,STD-9873-P4,Safety of Toys: Swings | Slides and Similar Activity Toys,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,23,STD-15644,Safety of Electric Toys,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,24,STD-2835,Flat Transparent Sheet Glass,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,25,STD-2553-P1,Safety Glass: Architectural | Building and General Uses,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,26,STD-2553-P2,Safety Glass: For Road Transport,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,27,STD-9573-P1,Rubber Hose for Liquefied Petroleum Gas (LPG): Industrial Application,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,28,STD-9573-P2,Rubber Hose for Liquefied Petroleum Gas (LPG): Domestic and Commercial Application,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,29,STD-15392,Aluminium and Aluminium Alloy Bare Foil for Food Packaging,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,30,STD-17875,Stainless Steel Seamless Pipes and Tubes,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,31,STD-17876,Stainless Steel Welded Pipes and Tubes,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,32,STD-2083,Flashlight: Specification,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,33,STD-302-P1,"Safety of Household, Commercial and Similar Electrical Appliances: General Requirements (aligned with IEC 60335-1:2020)",Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,34,STD-15844-P1,Sports Footwear for General Purpose,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
SCHEME,SCH-00019,BIS_FMCS_Scheme_IV,35,STD-15844-P2,Sports Footwear for Performance Sports Footwear,Scheme IV,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,Product Certification (Foreign/Overseas Manufacturers),Certificate of Conformity (CoC)/Standard Mark (ISI),MANDATORY,"Compliance evaluation, factory audits, and conformity verification for products manufactured outside India or listed under notified technical regulations","Appointment of Authorized Indian Representative (AIR), submission of technical documentation, sample testing at BIS-recognized laboratories, and factory inspection by BIS officials",Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,Official BIS Product Manual specific to the respective Indian Standard category,Specific Guidelines for Testing (SIT) as outlined by the Bureau of Indian Standards for the designated Indian Standards,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en
