canonical_entity,canonical_entity_id,source_sheet,source_row,source_notification_ids,notification_number,title,notification_category,notification_date,effective_date,ministry,department,subject,related_qco_text,related_is_text,related_amendment_text,document_url,source_url
NOTIFICATION,NOTIF-00436,BIS_Notifications_Master,15,NOTIF-SG-001,S.O. 1045(E),"Safety Glass (Quality Control) Order, 2020",Original QCO,2020-03-12,2020-09-16,Ministry of Commerce and Industry,DPIIT,Safety glass certification,Safety Glass QCO 2020,IS 2553,—,https://bis.gov.in/wp-content/uploads/2020/03/Safety-Glass-QCO.pdf,BIS Scheme-I
NOTIFICATION,NOTIF-00462,BIS_Notifications_Master,16,NOTIF-SG-004,S.O. 620(E),Safety Glass QCO amendment,Amendment,2022-02-10,NONE,Ministry of Commerce and Industry,DPIIT,Implementation/QCO modification,Safety Glass QCO,IS 2553,Amendment,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00440,BIS_Notifications_Master,17,NOTIF-SG-005,S.O. 1431(E),Safety Glass QCO amendment,Amendment,2023-03-24,NONE,Ministry of Commerce and Industry,DPIIT,Further amendment,Safety Glass QCO,IS 2553,Amendment,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00460,BIS_Notifications_Master,18,NOTIF-LPG-001,S.O. 478(E),"Rubber Hose for LPG (Quality Control) Order, 2020",Original QCO,2020-01-28,2020-08-01,Ministry of Commerce and Industry,DPIIT,Mandatory LPG hose certification,LPG Hose QCO 2020,IS 9573,—,https://www.bis.gov.in/wp-content/uploads/2020/02/Rubber_Hose_LPG_QCO.pdf,BIS Scheme-I
NOTIFICATION,NOTIF-00463,BIS_Notifications_Master,19,NOTIF-AL-001,S.O. 687(E),"Aluminium Foil (Quality Control) Order, 2020",Original QCO,2020-02-13,2020-08-17,Ministry of Commerce and Industry,DPIIT,Mandatory aluminium foil certification,Aluminium Foil QCO 2020,IS 15392,—,https://www.bis.gov.in/wp-content/uploads/2020/02/Aluminium_foil_QCO.pdf,BIS Scheme-I
NOTIFICATION,NOTIF-00464,BIS_Notifications_Master,20,NOTIF-SS-001,S.O. 693(E),"Stainless Steel Pipes and Tubes (Quality Control) Order, 2025",Original QCO,2025-02-10,2025-08-01,Ministry of Commerce and Industry,DPIIT,Mandatory Standard Mark,Stainless Steel Pipes and Tubes QCO 2025,IS 17875 | IS 17876,—,https://www.bis.gov.in/wp-content/uploads/2025/02/Stainless-Steel-Pipes-and-Tubes-QCO-2025.pdf,BIS Scheme-I
NOTIFICATION,NOTIF-00461,BIS_Notifications_Master,21,NOTIF-FL-001,S.O. 501(E),"Flashlight (Quality Control) Order, 2025",Original QCO,2025-01-21,NONE,Ministry of Commerce and Industry,DPIIT,Compulsory flashlight certification,Flashlight QCO 2025,IS 2083:2024,—,https://bis.gov.in/wp-content/uploads/2025/01/Flashlight-Quality-Control-Order-2025.pdf,BIS Scheme-I
NOTIFICATION,NOTIF-00456,BIS_Notifications_Master,22,NOTIF-EA-001,S.O. 4098(E),"Safety of Household, Commercial and Similar Electrical Appliances QCO, 2024",Original QCO,2024-09-17,NONE,Ministry of Commerce and Industry,DPIIT,Electrical-appliance certification,Electrical Appliances QCO 2024,IS 302 Part 1:2024,—,https://www.bis.gov.in/wp-content/uploads/2024/09/Safety-of-Household-Commercial-and-Similar-Electrical-Appliances-QCO-2024.pdf,BIS Scheme-I
NOTIFICATION,NOTIF-00445,BIS_Notifications_Master,23,NOTIF-EA-002,S.O. 2232(E),"Safety of Household, Commercial and Similar Electrical Appliances QCO, 2025",Amendment/new QCO,2025-05-19,NONE,Ministry of Commerce and Industry,DPIIT,Modification/continuation of electrical-appliance framework,Electrical Appliances QCO,IS 302 Part 1:2024,2025 QCO,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00448,BIS_Notifications_Master,24,NOTIF-FW-001,S.O. 2599(E),"Footwear made from Leather and other Materials (Quality Control) Order, 2022",Original QCO,2022-06-03,NONE,Ministry of Commerce and Industry,DPIIT,Compulsory footwear certification,Footwear QCO 2022,IS 15844 | IS 17012 | IS 17037 | IS 17043,—,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00454,BIS_Notifications_Master,25,NOTIF-FW-002,S.O. 3775(E),"Footwear made from Leather and other Materials QCO Amendment Order, 2022",Amendment,2022-08-11,NONE,Ministry of Commerce and Industry,DPIIT,Footwear QCO amendment,Footwear QCO 2022,IS 15844,Amendment 2022,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00439,BIS_Notifications_Master,26,NOTIF-FW-003,S.O. 1421(E),"Footwear made from Leather and other Materials (Quality Control) Order, 2024",Superseding QCO,2024-03-15,2024-08-01,Ministry of Commerce and Industry,DPIIT,New footwear QCO replacing 2022 order,Footwear QCO 2024,IS 15844 | IS 17012 | IS 17037 | IS 17043,Supersedes 2022 QCO,https://www.bis.gov.in/wp-content/uploads/2024/03/Footwear-made-from-Leather-and-other-Materials-QCO-2024.pdf,BIS Scheme-I
NOTIFICATION,NOTIF-00453,BIS_Notifications_Master,27,NOTIF-FW-004,S.O. 3700(E),"Footwear made from Leather and other Materials QCO Amendment Order, 2024",Amendment,2024-08-30,NONE,Ministry of Commerce and Industry,DPIIT,Footwear QCO amendment,Footwear QCO 2024,Listed footwear standards,Amendment 2024,https://www.bis.gov.in/wp-content/uploads/2024/09/Footwear-made-from-Leather-and-other-Materials-QCO.pdf,BIS Scheme-I
NOTIFICATION,NOTIF-00467,BIS_Notifications_Master,28,NOTIF-FW-005,S.O. 775(E),Order for Goods & Articles Exemption against Import,Exemption,2026-02-13,NONE,Ministry of Commerce and Industry,DPIIT,Import exemption,Footwear QCO,Applicable footwear standards,Exemption,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00468,BIS_Notifications_Master,29,NOTIF-FW-006,S.O. 776(E),Order for Goods & Articles Exemption against Purchase,Exemption,2026-02-13,NONE,Ministry of Commerce and Industry,DPIIT,Purchase exemption,Footwear QCO,Applicable footwear standards,Exemption,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00455,BIS_Notifications_Master,30,NOTIF-PPE-001,S.O. 3857(E),"Personal Protective Equipment – Footwear (Quality Control) Order, 2020",Original QCO,2020-10-27,NONE,Ministry of Commerce and Industry,DPIIT,Mandatory PPE footwear certification,PPE Footwear QCO,IS 15298 Part 2:2016,—,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00459,BIS_Notifications_Master,31,NOTIF-PPE-002,S.O. 4377(E),"Personal Protective Equipment – Footwear QCO Amendment Order, 2020",Amendment,2020-12-04,NONE,Ministry of Commerce and Industry,DPIIT,PPE footwear QCO amendment,PPE Footwear QCO,IS 15298 Part 2:2016,Amendment 2020,BIS Scheme-I,BIS Scheme-I
NOTIFICATION,NOTIF-00451,BIS_Notifications_Master,32,NOTIF-PPE-004,S.O. 3417(E),"Transition Facilitation (Quality Control) Order, 2026",Transition,2026-06-25,NONE,Ministry of Commerce and Industry,DPIIT,Transition facilitation,PPE Footwear QCO,IS 15298 Part 2,Transition,BIS Scheme-I,BIS Scheme-I
