scheme_record_id,scheme_id,scheme_label,table_caption,sr_no,raw_is_number,canonical_is_number,display_is_number,standard_year,title,product_name,notified_by,notification_reference,mandatory_voluntary,certification_type,source_id,source_URL,retrieval_timestamp,scraper_engine,extraction_method,record_status,missing_reason
"SCHII-0011","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","11","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Amplifiers with input power 2000W and above","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0012","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","12","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Electronic Musical Systems with input power 200W and above","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0013","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","13","IS 302-2:26","IS 302 (Part 2/Sec 26)","IS 302 (Part 2/Sec 26)",NULL,"Safety of household and similar electrical appliances: Part 2 Particular requirements: Section 26 Clocks","Electronic Clocks with Mains Powers","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0014","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","14","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Set Top Box","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0015","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","15","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Automatic Data Processing Machine","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0016","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","16","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Power Adaptors for IT Equipments","Ministry Of Electronics And Information Technology","Electronics & Information Technology Goods (Requirements for Compulsory Registration) Order, 2012 Dated 13th November 2012; Notification No. S.O. 2905(E) dated 07 November 2014; Notification No. S.O. 344(E) dated 30 November 2015; S.O. 2578(E) dated 07 August 2015; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O.1246 (E) Dated 10 March, 2026","MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","SUCCESS",NULL
"SCHII-0017","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","17","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Power Adaptors for Audio, Video & Similar Electronic Apparatus","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0018","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","18","IS 16242 (Part 1)","IS 16242 (Part 1)","IS 16242 (Part 1)",NULL,"General and Safety Requirements for UPS","UPS/Invertors of rating<=5kVA","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0019","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","19","IS 15885 (Part 2/Sec 13)","IS 15885 (Part 2/Sec 13)","IS 15885 (Part 2/Sec 13)",NULL,"Safety of Lamp Control gear Part 2 Particular Requirements Section 13 d.c. or a.c. Supplied Electronic Control gear for LED Modules","DC or AC Supplied Electronic Control gear for LED Modules","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0020","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","20","IS 16046","IS 16046","IS 16046",NULL,"Secondary Cells and Batteries containing Alkaline or other non-acid Electrolytes-Safety Requirements for Portable sealed secondary cells, and for Batteries made from them for use in portable applications","Sealed Secondary Cells/Batteries containing Alkaline or other non-acid Electrolytes for use in portable applications","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0021","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","21","IS 16102(Part 1)","IS 16102 (Part 1)","IS 16102 (Part 1)",NULL,"Self-Ballasted LED Lamps for General Lighting Services Part 1 Safety Requirements","Self-Ballasted LED Lamps for General Lighting Services","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0022","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","22","10322 (Part 5/Sec 1)","IS 10322 (Part 5/Sec 1)","IS 10322 (Part 5/Sec 1)",NULL,"Luminaries Part 5 Particular Requirements Sec 1 Fixed General purpose luminaries","Fixed General Purpose LED Luminaries","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0023","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","23","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Mobile Phones","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0024","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","24","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Cash Registers","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0025","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","25","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Point of Sale Terminals","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0026","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","26","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Copying Machines/Duplicators","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0027","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","27","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Smart Card Readers","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0028","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","28","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Mail Processing Machines/Postage Machines/Franking Machines","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0029","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","29","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Passport Reader","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0030","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","30","IS/IEC 62368: Part 1: 2023","IS/IEC 62368 (Part 1)","IS/IEC 62368 (Part 1) : 2023","2023","Audio/Video, Information and Communication Technology Equipment - Part 1 Safety Requirements","Power Banks for use in portable applications","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0031","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","31","IS 16333 (Part-3)","IS 16333 (Part 3)","IS 16333 (Part 3)",NULL,"Mobile Phone Handsets Part 3 Indian Language Support for Mobile Phone Handsets - Specific Requirements","Mobile Phones","Ministry Of Electronics And Information Technology","SO No. Nil dated 24th Oct 2016; Date of Implementation 1st July 2017; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Amendments S.O.1246 (E) Dated 10 March, 2026","MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","SUCCESS",NULL
"SCHII-0032","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","32","IS 10322 (Part 5/Section 2): 2012","IS 10322 (Part 5/Sec 2)","IS 10322 (Part 5/Sec 2) : 2012","2012","Luminaires Part 5: Particular Requirements Section 2 Recessed Luminaires","Recessed LED Luminaries","Ministry Of Electronics And Information Technology","SO 2742 (E), dated 17th August 2017; Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021; Essential Requirement(s) for CCTV as per Annexure S.O. 1652 (E), dated 9th April 2024; Amendments S.O.1246 (E) Dated 10 March, 2026","MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","SUCCESS",NULL
"SCHII-0033","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","33","IS 10322 (Part 5/Section 3): 2012","IS 10322 (Part 5/Sec 3)","IS 10322 (Part 5/Sec 3) : 2012","2012","Luminaires - Part 5: Particular Requirements Section 3 Luminaires for Road and Street Lighting","LED Luminaires for Road and Street lighting","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0034","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","34","IS 10322 (Part 5/Section 5): 2013","IS 10322 (Part 5/Sec 5)","IS 10322 (Part 5/Sec 5) : 2013","2013","Luminaires - Part 5: Particular Requirements Section 5 Flood Lights","LED Flood Lights","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0035","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","35","IS 10322 (Part 5/Section 6): 2013","IS 10322 (Part 5/Sec 6)","IS 10322 (Part 5/Sec 6) : 2013","2013","Luminaires - Part 5: Particular Requirements Section 6 Hamp Lamps","LED Hand lamps","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
"SCHII-0036","scheme_ii","Scheme - II (Registration Scheme)","List of Electronics and IT Goods under 'Compulsory Registration Scheme' for Self Declaration of conformity-Notified by Ministry Of Electronics And Information Technology","36","IS 10322 (Part 5/Section 7): 2013","IS 10322 (Part 5/Sec 7)","IS 10322 (Part 5/Sec 7) : 2013","2013","Luminaires - Part 5: Particular Requirements Section 7 Lighting Chains","LED Lighting Chains","Ministry Of Electronics And Information Technology",NULL,"MANDATORY","SCHEME_II_REGISTRATION","scheme_ii","https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en","2026-09-01T00:00:00Z","firecrawl","FIRECRAWL_JSON","PARTIAL","NOT_EXPOSED_BY_SOURCE"
