s_no,cml_no_raw,name_address_raw,validity_date_raw,standard_no_raw,status_raw,variety_brand_raw,source_URL,retrieved_at
"22","4100141562","RIDDHI SIDDHI CEMENT PVT, LTD. | Address : RATOMATE, HETAUDA-15, MAKAWANPUR | City : - | Country : Nepal","14-JUN-25 00:00:00","IS 269 : 2015","Deferred","(1) Ordinary Portland Cement, Grade- OPC 43, without optional requirement of transverse strength. (2) Ordinary :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"23","4100143162","GHORAHI CEMENT INDUSTRY LIMITED | Address : GHORAHI SUB-METROPOLITIAN CITY -4 DANG, NEPAL LAXMIPUR VDC, WARD NO. 6,7,8 | City : - | Country : Nepal","21-JUN-27 00:00:00","IS 269 : 2015","Operative","(1) Ordinary Portland Cement, Grade- OPC 43, without optional requirement of transverse strength. (2) Ordinary :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"24","4100159480","Posco Co. Ltd | Address : 6261, Donghaean-ro Nam-gu, Pohang-si Gyeongsangbuk-do. 790-300, South Korea 37859 | City : - | Country : South Korea","25-OCT-26 00:00:00","IS 277:2018","Operative","1. Name of the Product Galvanized Steel Strips (Plain) Grade Structural Steel Grade 450 Designation GP450 Class :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"25","4100166780","HYUNDAI STEEL COMPANY | Address : #1480, BUKBUSANEOP-RO, SONGAK-EUP,DANGJIN-SI, CHUNGNAM | City : - | Country : South Korea","15-JAN-27 00:00:00","IS 277:2018","Operative","Name of the product: Galvanized Steel Strips (Plain) Grade: Ordinary Drawing (Lock forming) Deep drawing Extra :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"26","4100142463","NARAYANI STRIPS PVT LTD. | Address : CHORNI, PARSA | City : Bara | Country : Nepal","20-JUN-26 00:00:00","IS 277:2018","Operative","Name of the product Galvanized steel strips and sheets (Plain & Corrugated) Grade Ordinary Ordinary Corrugated :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"27","4100138573","Posco Coated Steel Thailand Company Limited | Address : No. 7/448, Moo 6, Mabyangporn Sub-District, Pluak Daeng District, Rayong Province | City : Pluak Daeng | Country : Thailand","18-MAY-26 00:00:00","IS 277:2018","Operative","Name of the Product Galvanized Steel Strips and Sheets (Plain and Corrugated) Grade GP GPL GPD GPED Designation Ordinary Drawing :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"28","4100048269","Abul Khair Limited | Address : MA Dambibirhat | Sitakunda Chittagong | City : - | Country : Bangladesh","20-MAY-27 00:00:00","IS 277:2018","Operative","Designation Name Grade of Zn coating (g/m2) Sizes GP Ordinary Upto & including 220 Thickness upto :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"29","4100050458","Angang Steel Company Limited | Address : Angang Production Area, Anshan, Liaoning, P.R.ChinaAnshan | City : - | Country : China","09-JUL-23 00:00:00","IS 277:2018","Deferred","Designation Name Grade of Zn coating (g/m2) Thickness Width GP Ordinary From 80 to upto & including :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"30","4100100043","Hoa Phat Steel Pipe Co., Ltd. | Address : Hoa Phat Building- 5th floor, No. 39 Nguyen Dinh Chieu Str., Hai Ba Trung Dist., Ha Noi, Vietanm | City : HAI BA TRUNG | Country : Vietnam","09-AUG-26 00:00:00","IS 277:2018","Operative","Name of the Product Galvanized Steel Strips (Plain) Grade Structural steel grade 230 Structural steel :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"31","4100093577","Jiangsu Shagang Group Co., Ltd | Address : Jinfeng Town, Zhangjiagang City, Jiangsu Province PRC, China Zhangjiagang | City : Jinfeng | Country : China","25-NOV-24 00:00:00","IS 277:2018","Deferred","7 RECOMMENDATIONS / REMARKS FOR GRANT OF LICENCE : GOL may be considered for Galvanized Steel Sheet & :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"32","4100063063","VINA ONE STEEL MANUFACTURING CORPORATION | Address : Voi La Hamlet, Long Hiep Commune, Ben Luc District, Long An Province, Vietnam - 850000Ben Luc | City : Ben Luc | Country : Vietnam","26-APR-26 00:00:00","IS 277:2018","Operative","Designation Grade Grade of Zinc Coating(g/m2) Thickness Width GP Ordinary From 80 to upto &including :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"33","4100070363","HOA SEN GROUP JOINT STOCK COMPANY | Address : Street 1B, Phu My Industrial Park, Phu My Ward, Phu My Town, Ba Ria - vung Tau ProvincePhu My 1 Industrial Park | City : - | Country : Vietnam","07-JUL-26 00:00:00","IS 277:2018","Operative","Designation Class of Coating Thickness Width Sheet Length GP350 Class - 2 From 80 to upto &including :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"34","4100090066","AL Ghurair Iron & Steel LLC | Address : Plot 11FR6, 12FR6, 13F2 ICAD-1, Mussafah P.O. Box 106065, Abu Dhabi - UAE | City : AbuDhabi | Country : United Arab Emirates","23-JUL-29 00:00:00","IS 277:2018","Operative","Designation GP, GPH, GPL, GP-350(Class-1), GP450, Thickness upto & including 2.5mm, width upto & including :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"35","4041236","Baoshan Iron & Steel Co. Ltd. | Address : 885, Fujin Rd., Baoshan District, Shanghai | City : - | Country : China","31-AUG-23 00:00:00","IS 277:2018","Deferred","Product: Galvanised Steel Sheets, Plain in coil form; for designation GPL, thickness from 0.30 to 2.30 :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"36","4035544","POSCO Co. Ltd. | Address : Gwangyang Works: 700, Gumbo-dong, Gwangyang Jeonnam 545-090 | City : - | Country : South Korea","28-FEB-27 00:00:00","IS 277:2018","Operative","Galvanized Steel Sheets, plain in the form of coil, for grade GPL, GPD, GPED for thickness 0.20 to 2.3 :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"37","4001729","Aarti Strips (P) Ltd | Address : Tunki Sinwari Ward No.1 | village Development Committee Birat Nagar Distt Morang | City : Bara | Country : Nepal","31-DEC-26 00:00:00","IS 277:2018","Operative","Galvanized Steel Sheets(Plain and Corrugated) :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"38","4002630","Hulas Steel Industries Pvt Ltd. | Address : Simra | City : Bara | Country : Nepal","30-SEP-26 00:00:00","IS 277:2018","Operative","Galvanized Steel Sheets (Plain and Corrugated) :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"39","4100019464","Zhejiang Huada New Materials co. Ltd | Address : Dayuan Industrial fuction zone fuyang city zhejiang | City : - | Country : China","31-JUL-23 00:00:00","IS 277:2018","Deferred","Designation Name Size Grade of Zn Coating GP Ordinary Thickness from 0.16mm to upto & including :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"40","4100003954","Rajesh Metal Crafts Ltd | Address : Teku Road, Bagmati Chambers 2nd floor, P.O. Box 585, KathmanduKathmandu | City : - | Country : Nepal","28-FEB-27 00:00:00","IS 277:2018","Operative","Galvanized Steel Sheet (Plain and Corrugated) :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"41","4100051359","China Steel Sumikin Vietnam Joint Stock Company | Address : My Xuan A2 Industrial Zone, My Xuan Commune, Tan Thanh Dist., Ba Ria-Vung Tau Province | City : - | Country : Vietnam","30-JUN-26 00:00:00","IS 277:2018","Operative","Designation Name Grade of Zinc Coating (g/m2) Thickness Width GP Ordinary Upto & including 220 Upto :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"42","4100039975","Dongkuk Coated Metal Co. Ltd | Address : (04539) Ferrum Tower, 19, Euliji-ro 5 gil, Jung-gu, Seoul | City : - | Country : South Korea","31-AUG-27 00:00:00","IS 277:2018","Operative","Designation Name Grade of Zn coating (g/m2) Sizes GPD Deep Drawing Upto & including 180 Thickness from :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"43","4100059173","Hyundai Steel Company | Address : #300, Indeok-ro, Haeyong-myeon, Sucheon-si, Jeollannam-do, KoreaHaeryong-myeon | City : - | Country : South Korea","31-JAN-27 00:00:00","IS 277:2018","Operative","Designation Name Grade of Zinc Coating(g/m2) Thickness Width GPL Drawing Upto & including 275mm Upto :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"44","4100323265","TVP Steel Joint Stock Company | Address : No. 400m Highway 1A, Area 9, Ben Luc Townlet. Ben Luc District, Long An Province | City : - | Country : Vietnam","11-MAR-27 00:00:00","IS 277:2018","Operative","Name of the product - Galvanized Steel Strips and Sheets (Plain) Grade- Drawing (Lock forming) Designation- :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"45","4100325067","Aju Steel Co., Ltd. | Address : 71, Chemodangieop-ro, Sandong-eup, Gumi-si, Gyenogsangbuk-do, Gumi-si | City : - | Country : South Korea","26-MAR-27 00:00:00","IS 277:2018","Operative","Name of the product Galvanized Steel Strips and Sheets (Plain) Grade Ordinary Structural steel grade :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"46","4100303360","KG Dongbu Steel Co. Ltd. | Address : 1228 Bukbusaneop-ro, | Songak-eup, | Chungche ongnam-do StateDangjin-si | City : - | Country : South Korea","02-FEB-27 00:00:00","IS 277:2018","Operative","Galvanized Steel Strips and Sheets (Plain) Ordinary GP upto 275 E CO Coil Thickness: - 0.30 to 1.20 :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"47","4100335575","KG DONGBU STEEL CO. LTD. | Address : 789, Baekbeom-ro, | Seo-gu, IncheonIncheon | City : - | Country : South Korea","07-MAY-27 00:00:00","IS 277:2018","Operative","Name of the product Galvanized Steel Strips and Sheets (Plain) Grade Ordinary Drawing (Lock forming) Designation GP GPL Class :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"48","4100244572","Tay Nam Steel Manufacturing & Trading Co. Ltd., | Address : Thien Loc Thanh Industrial Clusters, Hamlet 4, My Le Commune, Tay Ninh Province, Vietnam | City : - | Country : Vietnam","10-JUN-26 00:00:00","IS 277:2018","Operative","Galvanized Steel Strips & Sheets Grade:- Ordinary & Structural Steel Grade 550, Designation:- GP & :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"49","4100249178","Nam Kim Steel Joint Stock Company | Address : Lot A1, Street D2, Dong An 2 Industrial Park, Hoa Phu Ward, Thu Dau Mot City, Binh Duong Province | City : - | Country : Vietnam","18-JUN-26 00:00:00","IS 277:2018","Operative","Name of the product:- Galvanized Steel Strips and Sheets (Plain) Grade:- Ordinary, Ordinary-Hard, & :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"50","4100218975","Essen Steel Industry LLC | Address : Essen-Steel KHIA 4-18D A4 AL, Taweelah, P.O.Box 136332, | City : AbuDhabi | Country : United Arab Emirates","11-MAR-27 00:00:00","IS 280 : 2006","Operative","Name of the product Mild Steel Wire for General engineering Purposes Size 0.90 mm to upto and including :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"51","4100178282","SUGITA WIRE, LTD. | Address : 1-12, 3-chome, Higashisumida Sumida-ku, Tokyo | City : Amman | Country : Jordan","12-MAY-26 00:00:00","IS 280 : 2006","Deferred","Name of the product Mild Steel Wire for General engineering Purposes Size 12.5mm Diameter Condition ¼ :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"52","4100353880","Hulas Iron Industries Ltd. | Address : Bindabasini, Rural Munciplity, Ward No.2, District Parsa, State - Madhesh PradeshGardaul | City : - | Country : Nepal","23-AUG-27 00:00:00","IS 280 : 2006","Operative","Name of the product Mild Steel Wire for General Engineering Purposes Size Diameter from 1.6 mm up to :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"53","4100305869","TSN Wires Co. Ltd. | Address : 199 Moo 11, Bankhai, Rayong | City : - | Country : Thailand","12-FEB-27 00:00:00","IS 280 : 2006","Operative","Name of the product Mild Steel Wire for General Engineering Purposes Size Diameter from 2.00 mm to upto :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"54","4100278185","Jaya Bajarang Plywood Industries Pvt. Ltd. | Address : Ward No.-4, Vill-Malangwa, Municipality-Malangwa, Dist-Sarlahi, | City : - | Country : Nepal","02-NOV-26 00:00:00","IS 303 : 1989","Operative",":","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"55","4100035159","Chin Herr Industries (M) SDN.BHD) | Address : 1600, MK 11 Lorong Perusahaan Utama Satu Bukit Tengah Industrial Estate 14000 Bukit Mertajam Pulau Pinang | City : - | Country : Malaysia","31-MAY-26 00:00:00","IS 280 : 2006","Operative","Condition Finish Size Annealed, Soft Drawn Galvanized (Light, Medium, Heavy) Diameter from 1.60mm :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"56","4100004451","Jagdamba Steels Limited | Address : 7th floor Jagdamba tower, Tinkune GPO Box 2513Kathmandu | City : - | Country : Nepal","31-MAR-27 00:00:00","IS 280 : 2006","Operative","Mild Steel Wire for General Engineering Purposes, annealed, Galvanized/black, Coating :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"57","4043442","Hulas Wire Inds. Ltd | Address : Tanki Sinwani Birat nagar, Morang | City : Morang | Country : Nepal","31-OCT-26 00:00:00","IS 280 : 2006","Operative","Name of the product Mild Steel Wire for General Engineering Purposes Size Nominal Diameter from 2.00 :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"58","4100082774","Lanka Special Steels Limited | Address : 6,7,8, LINDEL, Sapugaskanda, MakolaMakola | City : - | Country : Sri Lanka","22-JAN-27 00:00:00","IS 280 : 2006","Operative","Name of the product Mild Steel Wire for General Engineering Purposes Size Nominal Diameter from 1.57 :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"59","4100312563","BSH Hausgerate GmbH | Address : Werner-von-Siemens-Str. 200 | 83301 Traunreut | City : - | Country : Germany","24-FEB-27 00:00:00","IS 302 : Part 1 : 2008","Operative","Name of the Product SAFETY OF HOUSEHOLD AND SIMILAR ELECTRICAL APPLIANCES Product Type Model :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"60","4100326877","Apurva Ply Industries | Address : Ward No-2, Prasauni, Village-Prasauni, Dist-Bara | City : - | Country : Nepal","05-APR-27 00:00:00","IS 303 : 1989","Operative","Name of the product Plywood for General Purpose Grade MR Bending Class F30 Type Based on Appearance AB, :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"61","4100327677","Om Ply and Furniture Pvt. Ltd., | Address : Ward No. 14, Nagarpalika-Nepalgunj, Dist-Banke | City : - | Country : Nepal","09-APR-27 00:00:00","IS 303 : 1989","Operative","Name of the product Plywood for General Purpose Grade MR, BWR & BWP Bending Class F10, F20, F30, F40 :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"62","4100336577","Shree Jagdamba Plyboard Industries Pvt. Ltd., | Address : Ward No. 3, Garamani, V.D,C. Garamani, Jhapa | City : - | Country : Nepal","17-MAY-27 00:00:00","IS 303 : 1989","Operative",":","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"63","4100339987","Group Delta Investments LLC | Address : Khamovniki Municipal Dist-Rossolimo Street, 17 Building, 3 Floor 3 Com. 41, Moscow | City : - | Country : Russia","28-MAY-27 00:00:00","IS 303 : 1989","Operative","Name of the Product Plywood for General Purpose Grade :MR, BWP BWR Type Based on Appearance :AA, AB, :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"64","4100348483","MEIBAN TECHNOLOGIES MALAYSIA SDN BHD | Address : 1A, 1B & 1C Jalan Istimewa 5 Taman Perindustrian Cemerlanag, Ulu Tiram, Johor Bahru, Johor | City : - | Country : Malaysia","23-JUL-27 00:00:00","IS 302 : Part 1 : 2008","Operative","Name of the Product Household and similar electrical appliances – Safety Part 1 General Requirements Product :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"65","4100348584","Syarikat Sin Kwang Plastic Industries Sdn. Bhd | Address : Plo 19, Jalan Persiaran Teknologi, Taman Teknologi Johor, Senai | City : - | Country : Malaysia","23-JUL-27 00:00:00","IS 302 : Part 1 : 2008","Operative","Name of the Product Household and similar electrical appliances – Safety Part 1 General Requirements Product :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"66","4100350571","Kinpo Electronics (Philippines), Inc. | Address : Lot 11 H.Y. Dimacali Avenue | FPIP II SEZ BRGY. STA. Anastacia | STO. Tomas Batangas 4234 | City : - | Country : Philippines","28-JUL-27 00:00:00","IS 302 : Part 1 : 2008","Operative","Name of the Product Household and similar electrical appliances – Safety Part 1 General Requirements Product :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"67","4100062970","NINGBO JIONGCHI ELECTRICAL APPLIANCES CO., LTD | Address : Tannan Village, Zhouxiang TownCixi | City : Ningbo | Country : China","30-APR-24 00:00:00","IS 302 : Part 2 : Sec 3 : 2007","Deferred","Safety of Household & Similar Electrical Appliances- Electric Steam Iron Aluminium alloy sole plate :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"68","4100350672","Syarikat Sin Kwang Plastic Industries SDN. BHD. | Address : 7, Jalan Persiaran Teknologi | Taman Teknologi Johor | Senai, State Johor | City : - | Country : Malaysia","06-AUG-27 00:00:00","IS 302 : Part 1 : 2008","Operative","Name of the Product Household and similar electrical appliances – Safety Part 1 General Requirements Product :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"69","4100333773","Rational Montage GmbH | Address : Celsiusstrasse 6, 86899 Landsberg am Lech, Deutschland | City : - | Country : Germany","06-MAY-27 00:00:00","IS 302 : Part 1 : 2008","Operative","Name of the Product Household and similar electrical appliances – Safety Part 1 General Requirements Product :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
"70","4100337781","RATIONAL Wittenheim SAS | Address : 4 Rue de la Charente 68270 Wittenheim | City : - | Country : France","13-MAY-27 00:00:00","IS 302 : Part 1 : 2008","Operative","Product Household and similar electrical appliances – Safety Part 1 General Requirements Household :","https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php","2026-08-31"
