IS_number,manufacturer_count,licence_count
"IS 16415 : 2015",1,1
"IS 16444 : Part 1 : 2015",1,1
"IS 16585 : 2023",3,3
"IS 1659 : 2004",7,7
"IS 1660 : 2024",3,3
"IS 16647 : 2017",1,1
"IS 170 : 2004",2,2
"IS 170 : 2020",8,8
"IS 17043 (Part 2) : 2024",63,63
"IS 17048 : 2018",1,1
"IS 17077 (Part 1) : 2019 ISO 19062-1:2015",6,6
"IS 17077 (Part 1) : 2022",15,16
"IS 17111 : 2019",11,12
"IS 17111:2025",4,4
"IS 17261:2022",12,12
"IS 17262 : 2022",6,6
"IS 17263 : 2019",3,3
"IS 17263 : 2022",12,13
"IS 17264 : 2019",1,1
"IS 17264 : 2022",3,3
"IS 17265 : 2023",4,4
"IS 17265:2022",5,5
"IS 17266 : 2019",6,6
"IS 17370 : 2020",3,3
"IS 17370 : 2023",3,3
"IS 17397 : Part 1 : 2020",10,10
"IS 17397 part1: 2022",3,3
"IS 17404 : 2020",8,10
"IS 17442 : 2020",10,12
"IS 17508 : 2020",1,1
"IS 17509 : 2021",11,12
"IS 17526 : 2021",2,2
"IS 17550 (Part 1) : 2021",9,9
"IS 17550 (Part 1) : 2024",4,4
"IS 17569 : 2021",1,1
"IS 17570 (Part 1) : 2021",1,1
"IS 17633:2022",1,1
"IS 17634:2022",2,2
"IS 17635 : 2022",1,1
"IS 17658 : 2021",1,1
"IS 17658:2021",41,47
"IS 17659 : 2021",1,1
"IS 17706:2022",1,1
"IS 17803 : 2022",1,1
"IS 1786 : 2008",26,27
"IS 17875:2022",12,12
"IS 17876 : 2022",13,13
"IS 17927 (Part 1) : 2022",6,7
"IS 17945 : 2022",1,1
"IS 17954 : 2023",3,3
"IS 17988 : 2022",1,1
"IS 18297 : 2023",12,12
"IS 18316 : 2023",7,7
"IS 18384 : 2023",2,2
"IS 18385 : 2023",7,11
"IS 18471 (Part 1) : 2023",1,1
"IS 18471 (Part 2) : 2023",1,1
"IS 18471:2025",8,8
"IS 18476 : 2023",1,1
"IS 18480 (Part 1) : 2023",2,2
"IS 18507 : 2024",2,2
"IS 18508 : 2024",5,5
"IS 18513 : 2023",5,9
"IS 18573 : 2024",3,3
"IS 18663 : 2024",4,4
"IS 1875 : 1992",4,4
"IS 18809 : 2024",1,1
"IS 1897 : 2008",8,9
"IS 191 : 2007",5,5
"IS 1921 : 2005",3,3
"IS 1943 : 1995",1,1
"IS 1993 : 2006",1,1
"IS 1993 : 2018",2,3
"IS 2002 : 2009",3,4
"IS 2041 : 2009",6,7
"IS 2041 : 2024",7,7
"IS 2062 (Part 1):2025",1,1
"IS 2062 : 2011",37,44
"IS 2080 : 2021",6,6
"IS 2082 : 1993",1,1
"IS 2082 : 2018",2,2
"IS 2095 (Part 1) : 2023",8,8
"IS 209:2024",2,2
"IS 21 : 1992",1,1
"IS 210 : 2009",2,3
"IS 2202 (Part 1) : 2023",2,2
"IS 2266 : 2019",2,2
"IS 2266 : 2024",2,2
"IS 2347 : 2023",2,2
"IS 2365 : 2018",2,2
"IS 2365 : 2024",2,2
"IS 2403 : 2014",3,3
"IS 2403 : 2024",1,1
"IS 2494 : Part 1 : 1994",2,2
"IS 2501 : 1995",3,3
"IS 2507 : 1975",4,4
"IS 251 : 2024",1,1
"IS 252 : 2013",16,16
"IS 2547 : Part 1 : 1976",1,1
"IS 2553 : Part 1 : 2018",17,18
"IS 2553 : Part 2 : 2019",43,48
"IS 2566 : 1993",2,2
"IS 2590 : 1987",7,7
"IS 269 : 2015",36,36
"IS 277:2018",24,26
"IS 27:2023",1,1
"IS 280 : 2006",8,8
"IS 2835 : 1987",1,1
"IS 2879 : 1998",2,2
"IS 2925 : 1984",1,1
"IS 2993 : 1998",15,15
"IS 302 (Part 1) : 2024",33,37
"IS 302 (Part 2/Sec 14) : 2009",1,1
"IS 302 (Part 2/Sec 23) : 2009",6,6
"IS 302 (Part 2/Sec 31) : 2009",2,2
"IS 302 (Part 2/Sec 35) : 2017",3,3
"IS 302 (Part 2/Sec 7) : 2010",2,2
"IS 302 (Part 2/Sec 7) : 2024",8,8
"IS 302 (Part 2/Sec 75) : 2018",14,15
"IS 302 (Part 2/Sec 80) : 2017",2,2
"IS 302 : Part 1 : 2008",9,10
"IS 302 : Part 2 : Sec 14 : 1994",3,3
"IS 302 : Part 2 : Sec 3 : 2007",7,7
"IS 302 : Part 2 : Sec 30 : 2007",4,4
"IS 3024 : 2015",12,13
"IS 303 : 1989",31,31
"IS 303 : 2024",27,27
"IS 3055 : Part 2 : 2004",1,1
"IS 3087 : 2005",5,5
"IS 3470 : 2017",1,1
"IS 3564 : 1995",6,6
"IS 3566 : 1966",1,1
"IS 3566 : 2022",2,2
"IS 3589 : 2001",1,1
"IS 3601 : 2006",8,8
"IS 3735 : 1996",4,4
"IS 374 : 2019",3,3
"IS 3748 : 1990",2,2
"IS 3748 : 2022",24,25
"IS 3832 : 2005",1,1
"IS 3854 : 1997",1,1
"IS 3854:2023",1,1
"IS 3975 : 1999",5,5
"IS 398 (Part 2):2025",1,1
"IS 398 (Part 6):2021",1,1
"IS 398 : Part 2 : 1996",2,2
"IS 398 : Part 5 : 1992",2,2
"IS 4026 : 2023",4,4
"IS 4072 : 1975",3,3
"IS 4105 : 1988",1,1
"IS 4105 : 2020",1,1
"IS 4105 : 2023",4,4
"IS 4151 : 2015",10,10
"IS 4159 : 2002",2,2
"IS 4171 : 1983",1,1
"IS 4250 : 1980",4,4
"IS 4250:2025",1,1
"IS 4270 : 2001",3,3
"IS 4320:2024",1,1
"IS 4398 : 1994",1,1
"IS 4409 : 2023",5,5
"IS 4412 : 1981",1,1
"IS 4454 : Part 1 : 2001",6,6
"IS 4454 : Part 2 : 2001",10,10
"IS 4454 : Part 4 : 2001",2,2
"IS 4521 : 2001",2,2
"IS 455 : 2015",5,5
"IS 4566 : 2020",3,3
"IS 4824 : 2022",3,3
"IS 4923 : 2017",6,6
"IS 4984 : 2016",2,2
"IS 4985 : 2021",2,2
"IS 4990 : 2011",1,1
"IS 4992 : 1975",2,2
"IS 5082 : 1998",1,1
"IS 513 : Part 1 : 2016",24,28
"IS 513 : Part 2 : 2016",9,12
"IS 5149:2020",4,4
"IS 5158 : 1987",6,6
"IS 5168 : 2018",2,2
"IS 517 : 1986",4,4
"IS 517:2020",5,5
"IS 5295 : 1985",2,2
"IS 5295 : 2021",2,2
"IS 5295 : 2023",11,11
"IS 537 : 1967",2,2
"IS 537 : 2011",3,3
"IS 538:2020",6,6
"IS 5405 : 2019",4,4
"IS 5405 : 2025",9,9
"IS 5484 : 1997",3,3
"IS 5484 : 2023",6,6
"IS 5517 : 1993",4,4
"IS 5518 : 1996",1,1
"IS 5522 : 2014",1,1
"IS 5676 : 1995",5,5
"IS 5872:2025",1,1
"IS 5986 : 2017",12,13
"IS 6003 : 2010",1,1
"IS 60947 : Part 4 : Sec 1 : 2000",2,2
"IS 60947 : Part 5 : Sec 1 : 2003",1,1
"IS 6100 : 2021",2,2
"IS 613 : 2000",5,5
"IS 617 : 1994",7,7
"IS 617 : 2024",13,13
"IS 6315 : 1992",4,4
"IS 6419 : 1996",4,4
"IS 6452 : 1989",2,2
"IS 648 : 2022",16,17
"IS 6528 : 1995",4,4
"IS 6528 : 2024",5,5
"IS 6529 : 1996",2,2
"IS 6603 : 2001",4,4
"IS 6603 : 2024",16,16
"IS 6721 : 1972",8,8
"IS 6721 : 2023",85,86
"IS 6742 : 1972",1,1
"IS 6831:2023",1,1
"IS 6911 : 2017",75,76
"IS 6913 : 2023",1,1
"IS 694 : 2010",55,55
"IS 695 : 1986",5,5
"IS 695 : 2020",1,1
"IS 7092 : Part 2 : 1987",1,1
"IS 7098 (Part 1):2025",1,1
"IS 7098 : Part 1 : 1988",4,4
"IS 7098 : Part 2 : 2011",2,2
"IS 7098 : Part 3 : 1993",1,1
"IS 710 : 2010",1,1
"IS 710 : 2024",2,2
"IS 7129 : 2021",5,5
"IS 7138 : 1973",1,1
"IS 7226 : 1974",3,3
"IS 7283 : 1992",6,9
"IS 7285 : Part 1 : 2018",1,1
"IS 73 : 2013",1,1
"IS 7328 : 2020",70,76
"IS 733 : 1983",14,14
"IS 733:2025",12,12
"IS 7347 : 1974",2,2
"IS 736 : 1986",3,3
"IS 737 : 2008",4,4
"IS 737 : 2024",12,13
"IS 738 : 1994",1,1
"IS 7483:2018",1,1
"IS 7494 : 1981",1,1
"IS 7494 : 2023",2,2
"IS 7506 : 1987",1,1
"IS 7809 : Part 3 : Sec 1 : 1986",3,4
"IS 7887 : 1992",9,9
"IS 7904 : 2018",9,9
"IS 8041 : 1990",1,1
"IS 8042 : 2015",11,11
"IS 8058 : 2018",1,1
"IS 814 : 2004",3,3
"IS 8144 : 1997",3,3
"IS 8148 : 2018",4,4
"IS 8229 : 1986",2,2
"IS 869 : 1976",3,3
"IS 869 : 2020",8,9
"IS 9396 : Part 1 : 1987",1,1
"IS 9436 : 2018",44,48
"IS 9438 : 2018",1,1
"IS 9537 : Part 3 : 1983",1,1
"IS 9550 : 2001",4,4
"IS 9550 : 2024",12,12
"IS 9873 : Part 1 : 2019",44,44
"IS 996 : 2009",3,3
"IS 9968 : Part 1 : 1988",10,10
"IS 9997 : 2023",1,1
"IS/IEC 60730 : Part 2 : Sec 9 : 2011",4,4
"IS/IEC 60898 : Part 1 : 2002",1,1
"IS/IEC 60947-2 : 2016",10,12
"IS/IEC 60947-4-1 : 2018",2,2
"IS/IEC 60947-5-1 : 2016",4,5
"IS/ISO 6742 : PART 2 : 2015",1,1
"IS/ISO 9994 : 2018",2,2
