id,related_IS,title
,IS 15757,"फॉलो-अप फॉर्मूला – अनुपूरक आहार
   अनिवार्य BIS प्रमाणन से विमुक्त","खाद्य सुरक्षा एवं मानक
बिक्री पर निषेध एवं प्रतिबंध विनियमन, 2011

GSR 759(E) तथा

GSR 760(E)

खाद्य सुरक्षा एवं मानक (बिक्री पर निषेध एवं प्रतिबंध) प्रथम संशोधन विनियम, 2024"
,IS 11536,"प्रसंस्कृत अनाज आधारित अनुपूरक खाद्य
   अनिवार्य BIS प्रमाणन से विमुक्त"
,IS 1165,"दूध पाउडर
   अनिवार्य BIS प्रमाणन से विमुक्त"
,IS 1166,"संघनित दूध, आंशिक स्किम्ड एवं स्किम्ड संघनित दूध
   अनिवार्य BIS प्रमाणन से विमुक्त"
,IS 12176,"मीठा अल्ट्रा हाई टेम्परेचर उपचारित संघनित दूध
   अनिवार्य BIS प्रमाणन से विमुक्त"
फीडिंग बोतलें,
33.,IS 14625,प्लास्टिक फीडिंग बोतलें,"4.
शिशु दूध विकल्प, फीडिंग बोतलें एवं शिशु खाद्य (उत्पादन, आपूर्ति एवं वितरण का विनियमन) अधिनियम, 1992"
34.,IS 5168,काँच की फीडिंग बोतलें
तेल दाब स्टोव,
35.,IS 10109,"तेल दाब स्टोव, ऑफसेट बर्नर प्रकार","5. तेल दाब स्टोव (गुणवत्ता नियंत्रण) आदेश, 1997

एस.ओ. 451(E), दिनांक 16 जून 1997"
36.,IS 2787,बहु-बर्नर तेल दाब स्टोव
37.,IS 1342,तेल दाब स्टोव
ऑटोमोबाइल सहायक उपकरण,
38.,IS 13098,मोटर वाहन – न्यूमैटिक टायरों के लिए ट्यूब,"6. मोटर वाहनों के लिए न्यूमैटिक टायर एवं ट्यूब (गुणवत्ता नियंत्रण) आदेश, 2009

एस.ओ. 2953(E), दिनांक 19-11-2009
अनुवर्ती संशोधन

एस.ओ. 1057(E), दिनांक 11-05-2010

एस.ओ. 2758(E), दिनांक 09-11-2010"
39.,IS 15627,मोटर वाहन – दो एवं तीन पहिया मोटर वाहनों के लिए न्यूमैटिक टायर
40.,IS 15633,मोटर वाहन – यात्री कारों के लिए न्यूमैटिक टायर – डायगोनल एवं रेडियल प्लाई
41.,IS 15636,मोटर वाहन – वाणिज्यिक वाहनों के लिए न्यूमैटिक टायर – डायगोनल एवं रेडियल प्लाई
"सिलेंडर, वाल्व एवं रेगुलेटर",
42.,IS 14899,ऑटोमोबाइल उपयोग हेतु द्रवीकृत पेट्रोलियम गैस (एलपीजी) कंटेनर,"7. विस्फोटक अधिनियम, 1884
गैस सिलेंडर नियम, 2016

जी.एस.आर. 1081(E), दिनांक 22-11-2016"
43.,IS 15100,ऑटोमोबाइल उपयोग हेतु स्थायी रूप से स्थापित एलपीजी कंटेनरों के लिए बहु-कार्यात्मक वाल्व असेंबली
44.,IS 3196 (भाग 4),5 लीटर से अधिक जल क्षमता वाले निम्न दाब द्रवीकरणीय गैसों हेतु वेल्डेड लो कार्बन स्टील सिलेंडर – भाग 4 : विषैली एवं संक्षारक गैसों के लिए सिलेंडर
45.,IS 3196 (भाग 1),5 लीटर से अधिक जल क्षमता वाले निम्न दाब द्रवीकरणीय गैसों हेतु वेल्डेड लो कार्बन स्टील सिलेंडर – भाग 1 : एलपीजी के लिए सिलेंडर
46.,IS 3196 (भाग 2),5 लीटर से अधिक जल क्षमता वाले निम्न दाब द्रवीकरणीय गैसों हेतु वेल्डेड लो कार्बन स्टील सिलेंडर – भाग 2 : एलपीजी के अतिरिक्त अन्य द्रवीकरणीय गैसों हेतु
47.,IS 3224,एलपीजी सिलेंडरों को छोड़कर संपीड़ित गैस सिलेंडरों हेतु वाल्व फिटिंग्स
48.,IS 3745,छोटे चिकित्सा गैस सिलेंडरों हेतु योक प्रकार वाल्व कनेक्शन
49.,IS 7142,5 लीटर से अधिक जल क्षमता न रखने वाले निम्न दाब द्रवीकरणीय गैसों हेतु वेल्डेड लो कार्बन स्टील सिलेंडर
50.,IS 7285 (भाग 1),पुनः भरने योग्य सीमलेस स्टील गैस सिलेंडर – भाग 1 : नॉर्मलाइज्ड स्टील सिलेंडर
51.,IS 7285 (भाग 2),पुनः भरने योग्य सीमलेस स्टील गैस सिलेंडर – भाग 2 : क्वेन्च्ड एवं टेम्पर्ड स्टील सिलेंडर (तन्य शक्ति 1100 MPa से कम)
52.,IS 7302,श्वसन उपकरणों के उपयोग हेतु गैस सिलेंडर वाल्व फिटिंग्स
53.,IS 7312,वेल्डेड एवं सीमलेस स्टील घुलित एसीटिलीन गैस सिलेंडर
54.,IS 8737,5 लीटर से अधिक जल क्षमता वाले एलपीजी सिलेंडरों हेतु वाल्व फिटिंग्स – भाग 2 : नवीन निर्मित एलपीजी सिलेंडरों हेतु
55.,IS 8776,5 लीटर तक एवं सम्मिलित जल क्षमता वाले एलपीजी सिलेंडरों हेतु वाल्व फिटिंग्स
56.,IS 9798,एलपीजी मिश्रणों के उपयोग हेतु निम्न दाब रेगुलेटर
चिकित्सा उपकरण,
57.,IS 3055 (भाग 1),चिकित्सीय थर्मामीटर – भाग 1 : ठोस डंडी प्रकार,"8. चिकित्सीय थर्मामीटर (गुणवत्ता नियंत्रण) आदेश, 2001

जी.एस.आर. 843(E), दिनांक 09 नवम्बर 2001"
58.,IS 3055 (भाग 2),चिकित्सीय थर्मामीटर – भाग 2 : संलग्न स्केल प्रकार
59.,IS 7620 (भाग 1),नैदानिक चिकित्सा एक्स-रे उपकरण,"9. नैदानिक चिकित्सा एक्स-रे उपकरण

AERB/443/39 MDX/3509/94, अक्टूबर 1994"
स्टील एवं लौह उत्पाद,
60.,IS 1785 (भाग 1) : 1983,"पूर्व-तनावित कंक्रीट हेतु सादा हार्ड-ड्रॉन स्टील तार – भाग 1 : कोल्ड ड्रॉन, तनाव-मुक्त तार","10. इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) आदेश, 2020
S.O. 756(E), दिनांक 14-02-2020
इससे प्रतिस्थापित: इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) आदेश, 2020
S.O. 1673(E), दिनांक 27-05-2020
इससे प्रतिस्थापित: इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) आदेश, 2020
(S.O. 2379(E), दिनांक 17-07-2020)
इस्पात उत्पाद आदेश के प्रवर्तन की तिथि में विस्तार, फ़ाइल संख्या S-20011/1/2020-TECH दिनांक 22.07.2020
विस्तार आदेश
इससे प्रतिस्थापित: इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) आदेश, 2020
(S.O. 4082(E), दिनांक 12.11.2020)
इससे प्रतिस्थापित: इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) आदेश, 2020
(S.O. संख्या 4637(E) 22/12/2020)
भारतीय मानकों के लिए गुणवत्ता नियंत्रण आदेश के प्रवर्तन की तिथि में विस्तार आदेश
(विशेष रूप से IS 3748, IS 7291, और IS 12146)
कुछ भारतीय मानकों के लिए गुणवत्ता नियंत्रण आदेश के प्रवर्तन की तिथि में विस्तार आदेश
(विशेष रूप से IS 4398 और IS 3195)
कुछ भारतीय मानकों के लिए गुणवत्ता नियंत्रण आदेश के प्रवर्तन की तिथि में विस्तार आदेश
(विशेष रूप से IS 6526, IS 4454 (भाग 4), IS 11946, IS 11947 और IS 12045)
प्रवर्तन तिथि में विस्तार आदेश
(विशेष रूप से IS 1110, IS 4409)
प्रवर्तन तिथि में विस्तार आदेश
(विशेष रूप से IS 4432, IS 5518, IS 12145, IS 13387, IS 4072 और IS 13352)
प्रवर्तन तिथि में विस्तार आदेश
(विशेष रूप से IS 7226, IS 14331)
प्रवर्तन तिथि में विस्तार आदेश
(विशेष रूप से IS 6529)
प्रवर्तन तिथि में विस्तार आदेश
(विशेष रूप से IS 1993, IS 12591)
प्रवर्तन तिथि में विस्तार आदेश
IS 3748, IS 7291 और IS 12146 के लिए गुणवत्ता नियंत्रण आदेश पर विस्तार
IS 4454 (भाग 4): 2001, IS 11946: 1987 और IS 11947: 1987 के लिए गुणवत्ता नियंत्रण आदेश के प्रवर्तन तिथि में विस्तार आदेश
प्रवर्तन तिथि में विस्तार आदेश
(विशेष रूप से IS 1110: 1990 & IS 4409: 1973)
प्रवर्तन तिथि में विस्तार आदेश
(विशेष रूप से IS 14331: 1995)
प्रवर्तन तिथि में विस्तार आदेश
(विशेष रूप से IS 13387: 1992)
प्रवर्तन तिथि में विस्तार आदेश
(विशेष रूप से IS 1110: 1990 & IS 4409: 1973)
प्रवर्तन तिथि में विस्तार आदेश
(विशेष रूप से IS 1110: 1990 & IS 4409: 1973), दिनांक 01 नवंबर 2022
प्रवर्तन तिथि में विस्तार आदेश
(विशेष रूप से IS 4409: 1973), दिनांक 06 फरवरी 2023
प्रवर्तन तिथि में विस्तार आदेश
(विशेष रूप से IS 4409: 1973, दिनांक 25 जुलाई 2023)
इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) आदेश, 2024
S.O. 574(E) दिनांक 5 फरवरी, 2024
प्रवर्तन तिथि में विस्तार आदेश
(विशेष रूप से IS 4409: 2023, दिनांक 01 मई 2024)
प्रवर्तन तिथि में विस्तार आदेश
(विशेष रूप से IS 4409: 2023, दिनांक 01 अगस्त 2024)
इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) आदेश, 2024
S.O. 3716(E), दिनांक 29 अगस्त 2024
इस्पात और इस्पात उत्पाद (गुणवत्ता नियंत्रण) संशोधन आदेश, 2025
S.O. 5134(E) दिनांक 20 नवंबर, 2025"
61.,IS 1785 (भाग 2) : 1983,पूर्व-तनावित कंक्रीट हेतु सादा हार्ड-ड्रॉन स्टील तार – भाग 2 : यथाकर्षित तार
62.,IS 6003:2010,पूर्व-तनावित कंक्रीट हेतु इंडेंटेड तार
63.,IS 6006:2014,पूर्व-तनावित कंक्रीट हेतु बिना कोटिंग का तनाव-मुक्त स्ट्रैंड
64.,IS 13620:1993,फ्यूजन बॉन्डेड एपॉक्सी लेपित सुदृढ़ीकरण छड़ें
65.,IS 14268:1995,पूर्व-तनावित कंक्रीट हेतु बिना कोटिंग का कम रिलैक्सेशन सात-सूत्रीय स्ट्रैंड
66.,IS 277:2003,जस्ती इस्पात शीट (सादी एवं तरंगित)
67.,IS 2002:2009,बॉयलरों सहित मध्यम एवं उच्च तापमान सेवाओं हेतु दाब पात्रों के लिए इस्पात प्लेटें
68.,IS 2041:2009,मध्यम एवं निम्न तापमान पर प्रयुक्त दाब पात्रों हेतु इस्पात प्लेटें
69.,IS 2830:2012,"सामान्य संरचनात्मक प्रयोजनों हेतु पुनः रोलिंग के लिए कार्बन स्टील कास्ट बिलेट, ब्लूम एवं स्लैब"
70.,IS 1786:2008,कंक्रीट सुदृढ़ीकरण हेतु उच्च शक्ति विकृत इस्पात छड़ें एवं तार
71.,IS 648:2006,कोल्ड रोल्ड नॉन-ओरिएंटेड विद्युत इस्पात शीट एवं स्ट्रिप – पूर्णतः प्रसंस्कृत प्रकार (CRNO)
72.,IS 3024:2015,ग्रेन ओरिएंटेड विद्युत इस्पात शीट एवं स्ट्रिप (CRGO)
73.,IS 15391:2003,ओरिएंटेड विद्युत इस्पात शीट एवं स्ट्रिप – अर्ध-प्रसंस्कृत प्रकार
74.,IS 2062:2011,हॉट रोल्ड मध्यम एवं उच्च तन्य संरचनात्मक इस्पात
75.,IS 432 : भाग 1 : 1982,कंक्रीट सुदृढ़ीकरण हेतु माइल्ड स्टील एवं मध्यम तन्य इस्पात छड़ें – भाग 1 : माइल्ड स्टील एवं मध्यम तन्य इस्पात छड़ें
76.,IS 432 : भाग 2 : 1982,कंक्रीट सुदृढ़ीकरण हेतु माइल्ड स्टील एवं मध्यम तन्य इस्पात छड़ें – भाग 2 : हार्ड-ड्रॉन स्टील तार
77.,IS 513 (भाग 1): 2016,कोल्ड रिड्यूस्ड कार्बन स्टील शीट एवं स्ट्रिप – भाग 1 : कोल्ड फॉर्मिंग एवं ड्राइंग प्रयोजन हेतु
78.,IS 513 (भाग 2): 2016,कोल्ड रिड्यूस्ड कार्बन स्टील शीट एवं स्ट्रिप – भाग 2 : उच्च तन्य एवं बहु-चरणीय इस्पात
79.,IS 1079:2017,"हॉट रोल्ड कार्बन स्टील शीट, प्लेट एवं स्ट्रिप – विनिर्देश"
80.,IS 1875:1992,"फोर्जिंग हेतु कार्बन स्टील बिलेट, ब्लूम, स्लैब एवं छड़ें"
81.,IS 2879:1998,मेटल आर्क वेल्डिंग इलेक्ट्रोड हेतु माइल्ड स्टील
82.,IS 3502:2009,इस्पात चेकरड प्लेटें
83.,IS 5872:1990,कोल्ड रोल्ड इस्पात स्ट्रिप (बॉक्स स्ट्रैपिंग)
84.,IS 5986:2017,"फॉर्मिंग एवं फ्लैन्जिंग प्रयोजनों हेतु हॉट रोल्ड इस्पात शीट, प्लेट एवं स्ट्रिप – विनिर्देश"
85.,IS 6240:2008,"निम्न दाब द्रवीकरणीय गैस सिलेंडरों के निर्माण हेतु 6 मिमी तक की हॉट रोल्ड इस्पात प्लेट, शीट एवं स्ट्रिप"
86.,IS 7283:1992,इंजीनियरिंग अनुप्रयोगों हेतु ब्राइट बार एवं मशीनी भागों के निर्माण के लिए हॉट रोल्ड छड़ें
87.,IS 7887:1992,सामान्य इंजीनियरिंग प्रयोजनों हेतु माइल्ड स्टील वायर रॉड
88.,IS 10748:2004,वेल्डेड ट्यूब एवं पाइपों हेतु हॉट रोल्ड इस्पात स्ट्रिप
89.,IS 11513:2017,कोल्ड रोलिंग प्रयोजनों हेतु हॉट रोल्ड कार्बन स्टील स्ट्रिप — विनिर्देश
90.,IS 15647:2006,वेल्डेड ट्यूब एवं पाइपों के लिए हॉट रोल्ड संकीर्ण चौड़ाई स्टील स्ट्रिप
91.,IS 7904:2017,उच्च कार्बन स्टील वायर रॉड — विनिर्देश
92.,IS 14246:2013,निरंतर पूर्व-पेंटेड गैल्वेनाइज्ड स्टील शीट एवं कॉइल
93.,IS 15965:2012,पूर्व-पेंटेड एल्युमिनियम-जिंक मिश्र धातु लेपित स्टील स्ट्रिप एवं शीट (सादा)
94.,IS 280: 2006,सामान्य इंजीनियरिंग प्रयोजनों हेतु माइल्ड स्टील वायर
95.,IS 1835:1976,रस्सियों के लिए गोल स्टील वायर
96.,IS 3975:1999,"केबल आर्मरिंग हेतु निम्न कार्बन गैल्वेनाइज्ड स्टील वायर, फॉर्म्ड वायर एवं टेप"
97.,IS 4368:1967,"सामान्य इंजीनियरिंग प्रयोजनों हेतु फोर्जिंग के लिए मिश्र धातु स्टील बिलेट, ब्लूम एवं स्लैब"
98.,IS 4454 (Part 1) : 2001,यांत्रिक स्प्रिंग्स हेतु स्टील वायर भाग-1: कोल्ड ड्रॉन अनएलॉयड स्टील वायर
99.,IS 4454 (Part 2): 2001,यांत्रिक स्प्रिंग्स हेतु स्टील वायर भाग-2: ऑयल हार्डन्ड एवं टेम्पर्ड स्टील वायर
100.,IS 4824:2006,टायरों के लिए बीड वायर
101.,IS 11169 (Part 1): 1984,कोल्ड हेडिंग/कोल्ड एक्सट्रूज़न हेतु स्टील भाग-1: व्रॉट कार्बन एवं निम्न मिश्र धातु स्टील
102.,IS 11587:1986,संरचनात्मक मौसम प्रतिरोधी स्टील
103.,IS 15103: 2002,अग्नि प्रतिरोधी स्टील — विनिर्देश
104.,IS 15914:2011,"वेल्डेड गैस सिलेंडर निर्माण हेतु उच्च तन्यता शक्ति फ्लैट रोल्ड स्टील प्लेट (6 मिमी तक), शीट एवं स्ट्रिप"
105.,IS 15961:2012,हॉट डिप एल्युमिनियम-जिंक मिश्र धातु लेपित स्टील स्ट्रिप एवं शीट (सादा)
106.,IS 15962:2012,उन्नत भूकंपीय प्रतिरोध वाले भवनों हेतु संरचनात्मक स्टील
107.,IS 6527:1995,स्टेनलेस स्टील वायर रॉड
108.,IS 6528:1995,स्टेनलेस स्टील वायर
109.,IS 6603:2001,स्टेनलेस स्टील बार एवं फ्लैट
110.,IS 5522:2014,बर्तनों हेतु स्टेनलेस स्टील शीट एवं स्ट्रिप — विनिर्देश
111.,IS 6911:2017,"स्टेनलेस स्टील प्लेट, शीट एवं स्ट्रिप — विनिर्देश"
112.,IS 15997:2012,बर्तनों एवं रसोई उपयोग हेतु निम्न निकल ऑस्टेनिटिक स्टेनलेस स्टील शीट एवं स्ट्रिप — विनिर्देश
113.,IS 1110 : 1990,फेरोसिलिकॉन — विनिर्देश
114.,IS 4409 : 1973,फेरोनिकल हेतु विनिर्देश
115.,IS 1029 : 1970,हॉट रोल्ड स्टील स्ट्रिप (बेलिंग) हेतु विनिर्देश
116.,IS 2385 : 1977,कोल्ड-रिड्यूस्ड टिनप्लेट एवं कोल्ड-रिड्यूस्ड ब्लैक प्लेट हेतु कॉइल रूप में हॉट रोल्ड माइल्ड स्टील शीट एवं स्ट्रिप का विनिर्देश
117.,IS 3039 : 1988,जहाजों के हुल निर्माण हेतु संरचनात्मक स्टील का विनिर्देश
118.,IS 9550 : 2001,ब्राइट स्टील बार — विनिर्देश
119.,IS 3748 : 1990,टूल एवं डाई स्टील — विनिर्देश
120.,IS 5517 : 1993,हार्डनिंग एवं टेम्परिंग हेतु स्टील — विनिर्देश
121.,IS 16732 : 2019,गैल्वेनाइज्ड संरचनात्मक स्टील — विनिर्देश
122.,IS 7494 : 1981,आंतरिक दहन इंजनों के वाल्वों हेतु स्टील — विनिर्देश
123.,IS 12146 : 1987,दाब पात्रों हेतु कार्बन मैंगनीज स्टील फोर्जिंग्स — विनिर्देश
124.,IS 16585 : 2016,चुंबकीय पदार्थ — व्यक्तिगत सामग्री हेतु विनिर्देश — अर्ध-प्रसंस्कृत अवस्था में प्रदत्त लौह आधारित अमॉर्फस स्ट्रिप
125.,IS 2831 : 2012,"संरचनात्मक स्टील (सामान्य गुणवत्ता) में पुनः रोलिंग हेतु कार्बन स्टील कास्ट बिलेट इनगट, बिलेट, ब्लूम एवं स्लैब — विनिर्देश"
126.,IS 1148 : 2009,संरचनात्मक प्रयोजनों हेतु स्टील रिवेट बार (मध्यम एवं उच्च तन्यता)
127.,IS 1673 : 1984,कोल्ड हेडिंग गुणवत्ता हेतु माइल्ड स्टील वायर — विनिर्देश
128.,IS 1812 : 1982,लकड़ी के स्क्रू निर्माण हेतु कार्बन स्टील वायर — विनिर्देश
129.,IS 2507 : 1975,स्प्रिंग्स हेतु कोल्ड रोल्ड स्टील स्ट्रिप — विनिर्देश
130.,IS 2255 : 1977,कोल्ड हेडिंग प्रक्रिया द्वारा मशीन स्क्रू निर्माण हेतु माइल्ड स्टील वायर रॉड — विनिर्देश
131.,IS 3195 : 1992,रेलवे रोलिंग स्टॉक हेतु वोल्यूट एवं हेलिकल स्प्रिंग्स के निर्माण हेतु स्टील — विनिर्देश
132.,IS 3431 : 1982,"ऑटोमोटिव सस्पेंशन हेतु वोल्यूट, हेलिकल एवं लैमिनेटेड स्प्रिंग्स के निर्माण हेतु स्टील — विनिर्देश"
133.,IS 3885-Part-1: 1992,लेमिनेटेड स्प्रिंग्स (रेलवे रोलिंग स्टॉक) के निर्माण हेतु स्टील — भाग 1 : फ्लैट सेक्शन — विनिर्देश
134.,IS 3885-Part- 2: 1992,लेमिनेटेड स्प्रिंग्स (रेलवे रोलिंग स्टॉक) के निर्माण हेतु स्टील — भाग 2 : रिब एवं ग्रूव सेक्शन — विनिर्देश
135.,IS 4223: 1975,छाते की तीलियों हेतु स्टील वायर — विनिर्देश
136.,IS 4224: 1972,"स्टेपल, पिन एवं क्लिप हेतु स्टील वायर — विनिर्देश"
137.,IS 4397: 1999,बॉल एवं रोलर बेयरिंग केज/रिटेनर हेतु कोल्ड रोल्ड कार्बन स्टील स्ट्रिप — विनिर्देश
138.,IS 4398: 1994,"बॉल, रोलर एवं बेयरिंग रेस के निर्माण हेतु कार्बन-क्रोमियम स्टील — विनिर्देश"
139.,IS 6902: 1973,स्पोक्स (तार) हेतु स्टील वायर — विनिर्देश
140.,IS 6967: 1973,विद्युत वेल्डेड गोल लिंक चेन के लिए स्टील — विनिर्देश
141.,IS 7226: 1974,"सामान्य अभियांत्रिकी प्रयोजनों हेतु कोल्ड रोल्ड मध्यम, उच्च कार्बन एवं निम्न मिश्रधातु स्टील स्ट्रिप — विनिर्देश"
142.,IS 7557: 1982,कोल्ड-फोर्ज्ड रिवेट्स के निर्माण हेतु (20 मिमी तक) स्टील वायर — विनिर्देश
143.,IS 8052: 2006,"सामान्य अभियांत्रिकी उपयोग हेतु स्प्रिंग, रिवेट एवं स्क्रू के उत्पादन के लिए स्टील इनगट, बिलेट एवं ब्लूम — विनिर्देश"
144.,IS 8951: 2001,"उच्च कार्बन स्टील वायर रॉड्स के उत्पादन हेतु स्टील कास्ट बिलेट इनगट, बिलेट एवं ब्लूम — विनिर्देश"
145.,IS 8952: 1995,"सामान्य अभियांत्रिकी प्रयोजनों हेतु माइल्ड स्टील वायर रॉड्स के उत्पादन के लिए स्टील इनगट, ब्लूम एवं बिलेट — विनिर्देश"
146.,IS 9476: 1980,कार्बन स्टील रेज़र ब्लेड्स हेतु कोल्ड रोल्ड स्टील स्ट्रिप — विनिर्देश
147.,IS 9962: 1981,सुइयों हेतु स्टील वायर — विनिर्देश
148.,IS 17111: 2019 (ISO 683-17: 2014),ऊष्मा-उपचारित मिश्रधातु एवं फ्री-कटिंग स्टील — बॉल एवं रोलर बेयरिंग स्टील
149.,IS 14331:1995,उच्च तापमान बोल्टिंग अनुप्रयोगों हेतु स्टील — विनिर्देश
150.,IS 12594: 1988,कंक्रीट सुदृढीकरण हेतु संरचनात्मक स्टील बार पर हॉट-डिप जिंक कोटिंग — विनिर्देश
151.,IS 14650:1999,"री-रोलिंग प्रयोजनों हेतु कार्बन स्टील कास्ट बिलेट इनगट, बिलेट, ब्लूम एवं स्लैब — विनिर्देश"
152.,IS 4882: 1979,बेयरिंग उद्योग में उपयोग हेतु रिवेट्स के लिए निम्न कार्बन स्टील वायर — विनिर्देश
153.,IS 2090:1983,पूर्व-तनावित कंक्रीट में प्रयुक्त उच्च तन्यता स्टील बार — विनिर्देश
154.,IS 6529:1996,"फोर्जिंग हेतु स्टेनलेस स्टील ब्लूम, बिलेट एवं स्लैब"
155.,IS 9294:1979,रेज़र ब्लेड्स हेतु कोल्ड रोल्ड स्टेनलेस स्टील स्ट्रिप
156.,IS 10631:1983,वेल्डिंग इलेक्ट्रोड कोर वायर हेतु स्टेनलेस स्टील
157.,IS 10632 (Part 2):1983,विद्युत अनुप्रयोगों हेतु अचुंबकीय स्टेनलेस स्टील — भाग 2 : बाइंडिंग वायर हेतु विशिष्ट आवश्यकताएँ
158,IS 10632 (Part 3):1983,"विद्युत अनुप्रयोगों हेतु अचुंबकीय स्टेनलेस स्टील — भाग 3 : शीट, स्ट्रिप एवं प्लेट हेतु विशिष्ट आवश्यकताएँ"
159,IS 11169 (Part 2): 1989,कोल्ड हेडिंग/कोल्ड एक्सट्रूज़न अनुप्रयोगों हेतु स्टील — विनिर्देश — भाग 2 : स्टेनलेस स्टील
160,IS 5651:1987,वायवीय औज़ारों हेतु स्टील
161,IS 9516:1980,ऊष्मा प्रतिरोधी स्टील
162,IS 11952:1986,पिस्टन पिन (गुड्जन पिन) हेतु स्टील
163,IS 12045:1987,विद्युत प्रतिरोध धात्विक हीटिंग एलिमेंट्स में प्रयुक्त मिश्रधातुएँ
