document_id,document_type,title,is_id,canonical_is_number,product_id,scheme_id,qco_id,version,publication_date,effective_date,source_url,download_url,local_path,sha256,access_type,parser_status,retrieved_at,page_count,http_status,content_type,bytes,last_modified,dedup_status,license_access_restriction,source_reference_label,source_document_ids,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
DOC-00017,OFFICIAL_WEBPAGE,Licensee,,,,,,,,,https://www.bis.gov.in/fmcs/licensee/?lang=en,,,,,,,,200,text/html,,,PRIMARY,,,,1,F044,output__source_inventory.csv,,F044:-:17,CANONICAL,0,,,,6,23.08
DOC-00018,OFFICIAL_WEBPAGE,Renewal Application (Form XII),,,,SCH-00006,,,,,https://www.bis.gov.in/fmcs/renewal-of-licence/?lang=en,https://www.bis.gov.in/wp-content/uploads/2019/03/Renewal-application-Form-XII.pdf,,7ddb94bdcce7515ef880142aad0cbe49278475042136a13291e12e17783865d0,ACCESSIBLE_NOT_DOWNLOADED,,,2,200,text/html,,,PRIMARY,publicly accessible; retrieved over HTTPS without login; no explicit licence or copyright notice published alongside the document,,DOC-FMCS-FORM-XII-RENEWAL,2,F044;F046,output__source_inventory.csv;output__topic19_official_documents.csv,,F044:-:14;F046:-:8,CONFLICT_PRESERVED,2,document_type;title,,,13,50.00
DOC-00019,OFFICIAL_DOCUMENT,Checklist for Application,,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/08/Checklist_for_Application.pdf,,,b0b16b0a4142fe538a2b142a6752c202b97f1ac4def0ca211024138f442ee104,,,,,200,application/pdf,104088,"Mon, 29 Jun 2026 12:27:55 GMT",CANONICAL,,,DOC-FMCS-CHECKLIST-APPLICATION,1,F044,output__source_inventory.csv,,F044:-:40,CANONICAL,0,,,,10,38.46
DOC-00020,OFFICIAL_DOCUMENT,Dimensions of ISI Mark,,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/08/Diamensions_of_ISI.pdf,,,b1ed9c84b17f41df1fb4ed9ae1040a10b740a1ab3b894fa5d2add3e2beaf8af5,,,,,200,application/pdf,199393,"Mon, 29 Jun 2026 12:27:55 GMT",CANONICAL,,,DOC-FMCS-ISI-MARK-DIMENSIONS,1,F044,output__source_inventory.csv,,F044:-:42,CANONICAL,0,,,,10,38.46
DOC-00021,OFFICIAL_DOCUMENT,FMCS Checklist,,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/08/FM_CHECKLIST.pdf,,,c24d715422211e0043134a43c2c12568061f2cbd0858660f39e9d3d004289d9f,,,,,200,application/pdf,157658,"Mon, 29 Jun 2026 12:27:55 GMT",CANONICAL,,,DOC-FMCS-CHECKLIST-FM,1,F044,output__source_inventory.csv,,F044:-:39,CANONICAL,0,,,,10,38.46
DOC-00022,OFFICIAL_DOCUMENT,Agreement Form IX - alternate URL,,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/11/agreementFormIX.pdf,,,1651189cd163e28516db421eee856d7b84004ee1628a4f6c007c8f47dbc592b2,,,,,200,application/pdf,164219,"Mon, 29 Jun 2026 12:27:55 GMT",CANONICAL,,,DOC-FMCS-FORM-IX-AGREEMENT | DOC-FMCS-FORM-IX-AGREEMENT-ALTURL,1,F044,output__source_inventory.csv,,F044:-:26;F044:-:27,CONFLICT_PRESERVED,4,bytes;content_type;dedup_status;document_type,,,10,38.46
DOC-00023,OFFICIAL_DOCUMENT,Application Form V (duplicate URL),,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/11/ApplicationFormV.pdf,,,3d15850b2863091ffe20a18183ca33332ded340c30fe3b6b57c3cf5a499c69a7,,,,,200,application/pdf,910009,"Mon, 29 Jun 2026 12:27:55 GMT",DUPLICATE_BYTE_IDENTICAL,,,DOC-FMCS-FORM-V-APPLICATION,1,F044,output__source_inventory.csv,,F044:-:22,CANONICAL,0,,,,10,38.46
DOC-00024,OFFICIAL_DOCUMENT,Change of Scope (Form XIV),,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/11/ChangeOfScopeFormXIV.pdf,,,092229db224ea2e9ce205cd82570559a911891b60439d416b8fefacbb6433829,,,,,200,application/pdf,202213,"Mon, 29 Jun 2026 12:27:54 GMT",CANONICAL,,,DOC-FMCS-FORM-XIV-CHANGE-OF-SCOPE,1,F044,output__source_inventory.csv,,F044:-:37,CANONICAL,0,,,,10,38.46
DOC-00025,OFFICIAL_DOCUMENT,Checklist for Application (duplicate URL),,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/11/Checklist_for_Application.pdf,,,b0b16b0a4142fe538a2b142a6752c202b97f1ac4def0ca211024138f442ee104,,,,,200,application/pdf,104088,"Mon, 29 Jun 2026 12:27:55 GMT",DUPLICATE_BYTE_IDENTICAL,,,DOC-FMCS-CHECKLIST-APPLICATION,1,F044,output__source_inventory.csv,,F044:-:41,CANONICAL,0,,,,10,38.46
DOC-00026,OFFICIAL_DOCUMENT,Conditions of Licence,,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/11/ConditionofLicence.pdf,,,6c1c378454232566cac08bc2edebb7ea54a87d9f7c79952e90b46e79372d8dce,,,,,200,application/pdf,114656,"Mon, 29 Jun 2026 12:27:55 GMT",CANONICAL,,,DOC-FMCS-CONDITIONS-OF-LICENCE,1,F044,output__source_inventory.csv,,F044:-:38,CANONICAL,0,,,,10,38.46
DOC-00027,OFFICIAL_DOCUMENT,Format for Test Report (Form IV),,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/11/FormatForTestReportFormIV.pdf,,,1decda622048d7d9849b4a754f3423a3b6ea379b69ba3151b2268d23dfc8bc40,,,,,200,application/pdf,128190,"Mon, 29 Jun 2026 12:27:55 GMT",CANONICAL,,,DOC-FMCS-FORM-IV-TEST-REPORT-FORMAT,1,F044,output__source_inventory.csv,,F044:-:36,CANONICAL,0,,,,10,38.46
DOC-00028,OFFICIAL_DOCUMENT,Form for Nomination,,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/11/FormforNomination.pdf,,,4cd322f2e886902d822522de29fb3e39184f0d8c8f6e5e3c225c19fb67065563,,,,,200,application/pdf,8284,"Mon, 29 Jun 2026 12:27:55 GMT",CANONICAL,,,DOC-FMCS-NOMINATION-FORM,1,F044,output__source_inventory.csv,,F044:-:25,CANONICAL,0,,,,10,38.46
DOC-00029,OFFICIAL_DOCUMENT,Indemnity Bond (Form X),,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/11/IndemnityBondformX-1.pdf,,,f4f1557c84c35a10cf2e698bd752dbd49e9cba4efdb81ac45c7f88b6f2913412,,,,,200,application/pdf,21362,"Mon, 29 Jun 2026 12:27:55 GMT",CANONICAL,,,DOC-FMCS-FORM-X-INDEMNITY-BOND,1,F044,output__source_inventory.csv,,F044:-:28,CANONICAL,0,,,,10,38.46
DOC-00030,OFFICIAL_DOCUMENT,Indemnity Bond Form X (duplicate URL),,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/11/IndemnityBondformX.pdf,,,f4f1557c84c35a10cf2e698bd752dbd49e9cba4efdb81ac45c7f88b6f2913412,,,,,200,application/pdf,21362,"Mon, 29 Jun 2026 12:27:55 GMT",DUPLICATE_BYTE_IDENTICAL,,,DOC-FMCS-FORM-X-INDEMNITY-BOND,1,F044,output__source_inventory.csv,,F044:-:29,CANONICAL,0,,,,10,38.46
DOC-00031,OFFICIAL_DOCUMENT,Manufacturing Machinery (Form I),,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/11/ManufactureMachineryFormI.pdf,,,9ba2e3b36448f2e90cef901a5e31ec53fc092870397b217332500b319389a805,,,,,200,application/pdf,135983,"Mon, 29 Jun 2026 12:27:55 GMT",CANONICAL,,,DOC-FMCS-FORM-I-MANUFACTURING-MACHINERY,1,F044,output__source_inventory.csv,,F044:-:34,CANONICAL,0,,,,10,38.46
DOC-00032,OFFICIAL_DOCUMENT,Performance Bank Guarantee (PBG) - Form XI,,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/11/PerformanceBankGuaranteePBGFormXI-1.pdf,,,02970432149692f63050af12627b71b3161dac648fd536220d8dbfddfe81f9d6,,,,,200,application/pdf,123156,"Mon, 29 Jun 2026 12:27:56 GMT",CANONICAL,,,DOC-FMCS-FORM-XI-PBG,1,F044,output__source_inventory.csv,,F044:-:30,CANONICAL,0,,,,10,38.46
DOC-00033,BROKEN_LINK,PBG Form XI - alternate URL,,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/11/PERFORMANCEBANKGUARANTEEPBGformXI.pdf,,,,,,,,200,text/html; charset=UTF-8,520098,,SOFT_404,,,DOC-FMCS-FORM-XI-PBG-ALTURL,1,F044,output__source_inventory.csv,,F044:-:31,CANONICAL,0,,,,8,30.77
DOC-00034,OFFICIAL_DOCUMENT,Renewal Application Form XII (duplicate URL),,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/11/RenewalApplicationFormXII.pdf,,,7ddb94bdcce7515ef880142aad0cbe49278475042136a13291e12e17783865d0,,,,,200,application/pdf,112740,"Mon, 29 Jun 2026 12:27:55 GMT",DUPLICATE_BYTE_IDENTICAL,,,DOC-FMCS-FORM-XII-RENEWAL,1,F044,output__source_inventory.csv,,F044:-:33,CANONICAL,0,,,,10,38.46
DOC-00035,OFFICIAL_DOCUMENT,Test Equipments (Form II),,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2018/11/TestEquipmentsFormII.pdf,,,d2b6c830baef3ad8a2685e0fb3046b8c69cf89762c09ad42edd8c578ff6addda,,,,,200,application/pdf,134899,"Mon, 29 Jun 2026 12:27:56 GMT",CANONICAL,,,DOC-FMCS-FORM-II-TEST-EQUIPMENT,1,F044,output__source_inventory.csv,,F044:-:35,CANONICAL,0,,,,10,38.46
DOC-00036,OFFICIAL_DOCUMENT,Prescribed formats for inclusion of new varieties,,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2019/03/Prescribed-formats-for-inclusion-of-new-varieties.pdf,,,8a1b663f0c0d52fe0db3ea4ed7b6df184bf4feca76f26009a0abdff207cc14e3,,,,,200,application/pdf,471724,"Mon, 29 Jun 2026 12:27:55 GMT",CANONICAL,,,DOC-FMCS-INCLUSION-NEW-VARIETIES-FORMATS,1,F044,output__source_inventory.csv,,F044:-:43,CANONICAL,0,,,,10,38.46
DOC-00037,OFFICIAL_DOCUMENT,Renewal Application (Form XII),,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2019/03/Renewal-application-Form-XII.pdf,,,7ddb94bdcce7515ef880142aad0cbe49278475042136a13291e12e17783865d0,,,,,200,application/pdf,112740,"Mon, 29 Jun 2026 12:27:55 GMT",CANONICAL,,,DOC-FMCS-FORM-XII-RENEWAL,1,F044,output__source_inventory.csv,,F044:-:32,CANONICAL,0,,,,10,38.46
DOC-00038,OFFICIAL_DOCUMENT,Nomination of AIR - Form VI,,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2019/04/AIR1-Form-VI.pdf,,,9a54cdabe41f30ce52859eaa7b65f41bb6c62031bc60abd8153bc0356523a221,,,,,200,application/pdf,8754,"Mon, 29 Jun 2026 12:27:55 GMT",CANONICAL,,,DOC-FMCS-FORM-VI-AIR-NOMINATION,1,F044,output__source_inventory.csv,,F044:-:23,CANONICAL,0,,,,10,38.46
DOC-00039,OFFICIAL_DOCUMENT,Application for grant of licence (Form V),,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2019/04/Application-Form-V.pdf,,,3d15850b2863091ffe20a18183ca33332ded340c30fe3b6b57c3cf5a499c69a7,,,,,200,application/pdf,910009,"Mon, 29 Jun 2026 12:27:55 GMT",CANONICAL,,,DOC-FMCS-FORM-V-APPLICATION,1,F044,output__source_inventory.csv,,F044:-:21,CANONICAL,0,,,,10,38.46
DOC-00040,OFFICIAL_DOCUMENT,Nomination of AIR - Form VI (duplicate URL),,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2020/06/AIR1-Form-VI.pdf,,,9a54cdabe41f30ce52859eaa7b65f41bb6c62031bc60abd8153bc0356523a221,,,,,200,application/pdf,8754,"Mon, 29 Jun 2026 12:28:43 GMT",DUPLICATE_BYTE_IDENTICAL,,,DOC-FMCS-FORM-VI-AIR-NOMINATION,1,F044,output__source_inventory.csv,,F044:-:24,CANONICAL,0,,,,10,38.46
DOC-00041,OFFICIAL_DOCUMENT,Fee - BIS,,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2020/06/FEE-BIS.pdf,,,5f98b1cafc8e114c018e376751300aa2ce0424580c21715a060fa89f49f19478,,,,,200,application/pdf,120618,"Mon, 29 Jun 2026 12:28:45 GMT",CANONICAL,,,DOC-FMCS-FEE-BIS,1,F044,output__source_inventory.csv,,F044:-:46,CANONICAL,0,,,,10,38.46
DOC-00042,OFFICIAL_DOCUMENT,List of Fee (FMCS Fee Structure),,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2021/06/LIST-OF-FEE-3.pdf,,,d44dbe9a38c5c148bca75f1f6935aa7c95fe5b5a3a65582f2fe16bc2b551c19e,,,,,200,application/pdf,131900,"Mon, 29 Jun 2026 12:48:29 GMT",CANONICAL,,,DOC-FMCS-FEE-STRUCTURE-LIST,1,F044,output__source_inventory.csv,,F044:-:45,CANONICAL,0,,,,10,38.46
DOC-00043,OFFICIAL_DOCUMENT,Self Compliance Report,,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2025/07/Self-Compliance-Report.pdf,,,664d4bb0cc02d8b6b7577ce51d54d748bed496578ea53ee2a031e8c03139bb3a,,,,,200,application/pdf,201388,"Tue, 29 Jul 2025 07:00:24 GMT",CANONICAL,,,DOC-FMCS-SELF-COMPLIANCE-REPORT,1,F044,output__source_inventory.csv,,F044:-:44,CANONICAL,0,,,,10,38.46
DOC-00044,OFFICIAL_DOCUMENT,FMCS Application Submission User Manual,,,,,,,,,https://www.bis.gov.in/wp-content/uploads/2026/05/FMCS-Application-SubmissionUM-1-1.pdf,,,d1a5eb2360f8365fb2c76186e0c3f42b3a10da2211347bc7f8247976828911fb,,,,,200,application/pdf,4547530,"Tue, 12 May 2026 09:06:10 GMT",CANONICAL,,,DOC-FMCS-APPLICATION-SUBMISSION-USER-MANUAL,1,F044,output__source_inventory.csv,,F044:-:47,CANONICAL,0,,,,10,38.46
DOC-00045,OFFICIAL_DATABASE,All FMCS list,,,,,,,,,https://www.services.bis.gov.in/php/BIS_2.0/fmcs/All_fmcs_list.php,,,,,,,,200,text/html,,,PRIMARY,,,,1,F044,output__source_inventory.csv,,F044:-:2,CANONICAL,0,,,,6,23.08
DOC-00046,PDF,sih26107-project-analysis,,,,,,,,,,,/sessions/optimistic-gallant-gauss/mnt/uploads/sih26107-project-analysis.pdf,5e9d360b1c37a4a5db50ea00a43fad6a3e9c4c595078000934ad43bdd7dbc5cf,LOCAL_UPLOAD,NON_TABULAR_NOT_PROFILED,2026-08-26T02:50:21Z,,,application/pdf,295486,2026-08-26T02:42:16Z,NOT_TABULAR_KEEP_AS_REFERENCE,,sih26107-project-analysis.pdf,,1,F049,sih26107-project-analysis.pdf,,,CANONICAL,0,,,,18,46.2
