pm_id,manual_title,manual_version,revision_date,revision_date_precision,document_scope,pm_scheme_text,is_id,canonical_is_number,product_id,product_name,document_id,document_url,source_url,source_reference_label,source_manual_ids,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
PM-00026,,Latest indexed PM,,,Safety glass for architectural/building/general uses,,STD-01015,IS 2553 (Part 1),PROD-00200,"Safety Glass — Architectural, Building and General Uses",,,,BIS Product Manual | BIS Product Manuals,PM/2553-P1,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:25,CANONICAL,0,,,,8,53.33
PM-00027,,5,2023-10,MONTH,Safety glass for road transport,,STD-01016,IS 2553 (Part 2),PROD-00193,Safety Glass for Road Transport,,,,BIS PM | BIS Product Manuals,PM/2553-P2/5/Oct23,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:26,CANONICAL,0,,,,10,66.67
PM-00028,,3,2023-10,MONTH,OPC Grades 33/43/53/43S/53S,,STD-01041,IS 269,PROD-00131,Ordinary Portland Cement,,,,BIS PM | BIS Product Manuals,PM/IS269/3/Oct23,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:13,CANONICAL,0,,,,10,66.67
PM-00029,,1,2021-08,MONTH,Flat transparent sheet glass,,STD-01069,IS 2835,PROD-00102,Flat Transparent Sheet Glass,,,,BIS PM | BIS Product Manuals,PM/2835/1/Aug21,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:24,CANONICAL,0,,,,10,66.67
PM-00030,,Latest indexed PM,,,Household/commercial/similar electrical appliances within QCO scope,,STD-01090,IS 302 (Part 1),PROD-00207,Safety of Household and Similar Electrical Appliances — General Requirements,,,,BIS Product Manual | BIS Product Manuals,PM/302-P1,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:33,CANONICAL,0,,,,8,53.33
PM-00031,,3,2023-10,MONTH,Portland Slag Cement,,STD-01273,IS 455,PROD-00158,Portland Slag Cement,,,,BIS PM | BIS Product Manuals,PM/IS455/3/Oct23,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:14,CANONICAL,0,,,,10,66.67
PM-00032,,1,2019-01,MONTH,Rapid Hardening Portland Cement,,STD-01569,IS 8041,PROD-00168,Rapid Hardening Portland Cement,,,,BIS PM | BIS Product Manuals,PM/IS8041/1/Jan19,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:15,CANONICAL,0,,,,10,66.67
PM-00033,,2,2023-10,MONTH,White Portland Cement,,STD-01570,IS 8042,PROD-00305,White Portland Cement,,,,BIS PM | BIS Product Manuals,PM/IS8042/2/Oct23,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:16,CANONICAL,0,,,,10,66.67
PM-00034,,Latest indexed PM,,,Hydrophobic Portland Cement,,STD-01571,IS 8043,PROD-00111,Hydrophobic Portland Cement,,,,BIS Product Manual | BIS Product Manuals,PM/IS8043,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:17,CANONICAL,0,,,,8,53.33
PM-00035,,Latest indexed PM,,,Industrial LPG hose,,STD-01707,IS 9573 (Part 1),PROD-00183,Rubber Hose for LPG — Industrial Application,,,,BIS Product Manual | BIS Product Manuals,PM/9573-P1,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:27,CANONICAL,0,,,,8,53.33
PM-00036,,Latest indexed PM,,,Domestic/commercial LPG hose,,STD-01708,IS 9573 (Part 2),PROD-00182,Rubber Hose for LPG — Domestic/Commercial Application,,,,BIS Product Manual | BIS Product Manuals,PM/9573-P2,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:28,CANONICAL,0,,,,8,53.33
PM-00037,,11,2023-10,MONTH,"Toy mechanical/physical, flammability, migration and related safety requirements",,STD-01730,IS 9873 (Part 1),PROD-00225,Safety of Toys — Part 1,,,,BIS Toys PM | BIS Product Manuals,PM/9873/11,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:19,CANONICAL,0,,,,10,66.67
PM-00038,,11,2023-10,MONTH,Flammability requirements for toys,,STD-01731,IS 9873 (Part 2),PROD-00222,Safety of Toys — Flammability,,,,BIS Toys PM | BIS Product Manuals,PM/9873/11,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:20,CANONICAL,0,,,,10,66.67
PM-00039,,11,2023-10,MONTH,Migration of specified elements,,STD-01732,IS 9873 (Part 3),PROD-00224,Safety of Toys — Migration of Certain Elements,,,,BIS Toys PM | BIS Product Manuals,PM/9873/11,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:21,CANONICAL,0,,,,10,66.67
PM-00040,,11,2023-10,MONTH,Activity toys for specified domestic/indoor/outdoor use,,STD-01733,IS 9873 (Part 4),PROD-00279,"Swings, Slides and Similar Activity Toys",,,,BIS Toys PM | BIS Product Manuals,PM/9873/11,1,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,F010:BIS_Product_Manuals:22,CANONICAL,0,,,,10,66.67
