is_id,canonical_is_number,display_is_number,raw_is_number_variants,standard_number,standard_year,part_number,section_number,amendment_reference,iec_reference,part_source,is_iec_flag,title,title_vernacular,standard_scope,part_section_label,revision,version,publication_date,publication_date_precision,revision_date,reaffirmation_review_date,standard_status,standard_status_original,superseded_standard,superseding_standard,technical_committee,subcommittee,product_category,degree_of_equivalence,mandatory_voluntary,certification_type,official_url,document_url,source_url,source_reference_label,parse_status,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
STD-00024,IS 10065,IS 10065,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00025,IS 1007,IS 1007,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00026,IS 1008,IS 1008,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,2,F033;F035,bis_circulars (1).csv;bis_laboratories.csv,,F033:-:109;F035:-:61,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00027,IS 10080,IS 10080,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00028,IS 10086,IS 10086,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00029,IS 1009,IS 1009,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F035,bis_laboratories.csv,,F035:-:52,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00030,IS 1010,IS 1010,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F035,bis_laboratories.csv,,F035:-:52;F035:-:100,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00031,IS 10109,IS 10109,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:47;F034:-:946,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00032,IS 1011,IS 1011,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,2,F033;F035,bis_circulars (1).csv;bis_laboratories.csv,,F033:-:109;F035:-:2;F035:-:52;F035:-:61;F035:-:145;F035:-:168;F035:-:181;F035:-:183;F035:-:207,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00033,IS 10116,IS 10116 : 2015,IS 10116 : 2015,,2015,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,PARSED,5,F034;F035;F040;F043;F045,bis_gazette_notification.csv;bis_laboratories.csv;data__raw__fmcs_all_fmcs_list_raw.csv;output__fmcs_is_coverage.csv;output__topic18_fmcs_manufacturers.csv,,F034:-:246;F034:-:1145;F035:-:120;F035:-:357;F040:-:1691;F043:-:2;F045:-:1691,CANONICAL,0,,,Record exists because another record referenced it.,6,16.67
STD-00034,IS 10124,IS 10124,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,2,F033;F035,bis_circulars (1).csv;bis_laboratories.csv,,F033:-:109;F035:-:72;F035:-:82;F035:-:83;F035:-:84;F035:-:88;F035:-:115;F035:-:119;F035:-:132;F035:-:146;F035:-:170;F035:-:214;F035:-:235;F035:-:244;F035:-:262;F035:-:266;F035:-:287;F035:-:294;F035:-:415;F035:-:419;F035:-:425,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00035,IS 10146,IS 10146,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F035,bis_laboratories.csv,,F035:-:31;F035:-:72,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00036,IS 1015,IS 1015,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00037,IS 10151,IS 10151 : 1982,IS 10151 : 1982,,1982,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,PARSED,4,F035;F040;F043;F045,bis_laboratories.csv;data__raw__fmcs_all_fmcs_list_raw.csv;output__fmcs_is_coverage.csv;output__topic18_fmcs_manufacturers.csv,,F035:-:72;F035:-:115;F035:-:271;F040:-:1692;F040:-:1693;F043:-:3;F045:-:1692;F045:-:1693,CANONICAL,0,,,Record exists because another record referenced it.,6,16.67
STD-00038,IS 10175,IS 10175,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F035,bis_laboratories.csv,,F035:-:409,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00039,IS 1019,IS 1019:1974,,,1974,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:635;F034:-:1534,CANONICAL,0,,,Record exists because another record referenced it.,4,11.11
STD-00040,IS 10212,IS 10212,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,2,F033;F035,bis_circulars (1).csv;bis_laboratories.csv,,F033:-:109;F035:-:173,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00041,IS 10228,IS 10228,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,2,F033;F035,bis_circulars (1).csv;bis_laboratories.csv,,F033:-:109;F035:-:35,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00042,IS 10238,IS 10238 : 2001,,,2001,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,3,F033;F034;F035,bis_circulars (1).csv;bis_gazette_notification.csv;bis_laboratories.csv,,F033:-:109;F034:-:495;F034:-:1394;F035:-:19;F035:-:210;F035:-:361,CANONICAL,0,,,Record exists because another record referenced it.,4,11.11
STD-00043,IS 10243,IS 10243,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00044,IS 10245,IS 10245,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00045,IS 10264,IS 10264,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00046,IS 1029,IS 1029 : 1970,,,1970,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,2,F034;F035,bis_gazette_notification.csv;bis_laboratories.csv,,F034:-:131;F034:-:1030;F035:-:5;F035:-:17;F035:-:18;F035:-:62;F035:-:245;F035:-:384,CANONICAL,0,,,Record exists because another record referenced it.,4,11.11
STD-00047,IS 1030,IS 1030,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00048,IS 10322,IS 10322,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,4,F012;F013;F033;F035,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx;bis_circulars (1).csv;bis_laboratories.csv,Products_Details,F012:Products_Details:32;F013:Products_Details:32;F033:-:4;F033:-:10;F033:-:59;F033:-:71;F033:-:83;F033:-:109;F033:-:114;F033:-:117;F035:-:5;F035:-:10;F035:-:20;F035:-:26;F035:-:27;F035:-:33;F035:-:35;F035:-:36;F035:-:56;F035:-:57;F035:-:60;F035:-:90;F035:-:94;F035:-:98;F035:-:106;F035:-:107;F035:-:111;F035:-:113;F035:-:124;F035:-:125;F035:-:139;F035:-:179;F035:-:189;F035:-:197;F035:-:216;F035:-:228;F035:-:243;F035:-:247;F035:-:249;F035:-:270;F035:-:274;F035:-:278;F035:-:281;F035:-:292;F035:-:344;F035:-:345;F035:-:378;F035:-:379;F035:-:421;F035:-:423,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00049,IS 10322 (Part 1),IS 10322 (Part 1),,,,1,,,,explicit,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:10,CANONICAL,0,,,Record exists because another record referenced it.,5,13.89
STD-00050,IS 10322 (Part 5),IS 10322 (Part 5,IS 10322 (Part 5/Sec 1) | 10322 (Part 5/Sec 1) | IS 10322 (Part 5/Sec 2) | IS 10322 (Part 5/Section 2): 2012 | IS 10322 (Part 5/Sec 2) : 2012 | IS 10322 (Part 5/Sec 3) | IS 10322 (Part 5/Section 3): 2012 | IS 10322 (Part 5/Sec 3) : 2012 | IS 10322 (Part 5/Sec 5) | IS 10322 (Part 5/Section 5): 2013 | IS 10322 (Part 5/Sec 5) : 2013 | IS 10322 (Part 5/Sec 6) | IS 10322 (Part 5/Section 6): 2013 | IS 10322 (Part 5/Sec 6) : 2013 | IS 10322 (Part 5/Sec 7) | IS 10322 (Part 5/Section 7): 2013 | IS 10322 (Part 5/Sec 7) : 2013 | IS 10322 (Part 5/Sec 8) | IS 10322 (Part 5/Section 8): 2013 | IS 10322 (Part 5/Sec 8) : 2013 | IS 10322 (Part 5/Sec 9) | IS 10322 (Part 5)Section 9: 2017 | IS 10322 (Part 5/Sec 9) : 2017,,2012,5,,,,explicit,NO,Luminaires - Part 5: Particular Requirements Section 3 Luminaires for Road and Street Lighting,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_II_REGISTRATION,,,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,,PARSED,2,F001;F033,05_scheme_ii.csv;bis_circulars (1).csv,,F001:-:23;F001:-:33;F001:-:34;F001:-:35;F001:-:36;F001:-:37;F001:-:38;F001:-:47;F033:-:4;F033:-:10;F033:-:59;F033:-:71;F033:-:98,CONFLICT_PRESERVED,2,standard_year;title,,,12,33.33
STD-00051,IS 10325,IS 10325:2000,IS 10325 : 2000,,2000,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,PARSED,6,F033;F034;F035;F040;F043;F045,bis_circulars (1).csv;bis_gazette_notification.csv;bis_laboratories.csv;data__raw__fmcs_all_fmcs_list_raw.csv;output__fmcs_is_coverage.csv;output__topic18_fmcs_manufacturers.csv,,F033:-:109;F034:-:629;F034:-:1528;F035:-:173;F040:-:1694;F040:-:1695;F040:-:1696;F040:-:1697;F043:-:4;F045:-:1694;F045:-:1695;F045:-:1696;F045:-:1697,CANONICAL,0,,,Record exists because another record referenced it.,6,16.67
STD-00052,IS 10332,IS 10332,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F035,bis_laboratories.csv,,F035:-:113,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00053,IS 10350,IS 10350,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00054,IS 1038,IS 1038,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,2,F033;F035,bis_circulars (1).csv;bis_laboratories.csv,,F033:-:109;F035:-:17;F035:-:18,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00055,IS 10436,IS 10436,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F035,bis_laboratories.csv,,F035:-:110,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00056,IS 1046,IS 1046,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F035,bis_laboratories.csv,,F035:-:180,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00057,IS 10461,IS 10461,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,2,F007;F035,BIS_Laboratory_Scopes.xlsx;bis_laboratories.csv,BIS_Laboratory_Scopes,F007:BIS_Laboratory_Scopes:30;F035:-:409,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00058,IS 10484,IS 10484,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F035,bis_laboratories.csv,,F035:-:14;F035:-:52;F035:-:61,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00059,IS 10500,IS 10500,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F035,bis_laboratories.csv,,F035:-:21;F035:-:61;F035:-:66;F035:-:109;F035:-:130;F035:-:167;F035:-:227;F035:-:268;F035:-:279;F035:-:431,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00060,IS 10508,IS 10508,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,2,F033;F035,bis_circulars (1).csv;bis_laboratories.csv,,F033:-:109;F035:-:2,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00061,IS 1051,IS 1051,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,2,F033;F035,bis_circulars (1).csv;bis_laboratories.csv,,F033:-:109;F035:-:168,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00062,IS 10532,IS 10532,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00063,IS 10577,IS 10577,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,2,F033;F035,bis_circulars (1).csv;bis_laboratories.csv,,F033:-:109;F035:-:377,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00064,IS 10592,IS 10592,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00065,IS 1061,IS 1061,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,2,F033;F035,bis_circulars (1).csv;bis_laboratories.csv,,F033:-:109;F035:-:23;F035:-:121;F035:-:141;F035:-:168;F035:-:207,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00066,IS 10613,IS 10613 : 2014,IS 10613 | IS 10613: 2023 | IS 10613: 2014,,2023,,,,,,NO,,,,,,,,,,,,,,,,,,,MANDATORY,SCHEME_IV,,https://www.bis.gov.in/wp-content/uploads/2020/07/QCO-CoC-Bycycle-DPIIT.pdf,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,,PARSED,5,F002;F035;F040;F043;F045,06_scheme_iv.csv;bis_laboratories.csv;data__raw__fmcs_all_fmcs_list_raw.csv;output__fmcs_is_coverage.csv;output__topic18_fmcs_manufacturers.csv,,F002:-:5;F002:-:7;F043:-:5;F043:-:6;F035:-:85;F040:-:551;F040:-:552;F040:-:654;F040:-:1698;F045:-:551;F045:-:552;F045:-:654;F045:-:1698,CONFLICT_PRESERVED,1,standard_year,,,10,27.78
STD-00067,IS 10617,IS 10617:2018,IS 10617 : 2018 | IS 10617 : Part 1 : 2013,,2018,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,PARSED,5,F033;F034;F040;F043;F045,bis_circulars (1).csv;bis_gazette_notification.csv;data__raw__fmcs_all_fmcs_list_raw.csv;output__fmcs_is_coverage.csv;output__topic18_fmcs_manufacturers.csv,,F033:-:109;F034:-:313;F034:-:1212;F040:-:1635;F040:-:1641;F040:-:1650;F040:-:1651;F040:-:1675;F040:-:1676;F040:-:1687;F040:-:1699;F040:-:1703;F040:-:1704;F040:-:1705;F040:-:1706;F040:-:1707;F040:-:1709;F040:-:1710;F040:-:1711;F040:-:1712;F040:-:1713;F040:-:1714;F040:-:1715;F040:-:1716;F040:-:1717;F040:-:1718;F040:-:1719;F040:-:1724;F040:-:1725;F040:-:1726;F040:-:1727;F040:-:1728;F040:-:1729;F040:-:1730;F040:-:1731;F040:-:1732;F040:-:1733;F040:-:1734;F040:-:1735;F040:-:1736;F040:-:1741;F040:-:1742;F040:-:1743;F043:-:7;F043:-:8;F045:-:1635;F045:-:1641;F045:-:1650;F045:-:1651;F045:-:1675;F045:-:1676;F045:-:1687;F045:-:1699;F045:-:1703;F045:-:1704;F045:-:1705;F045:-:1706;F045:-:1707;F045:-:1709;F045:-:1710;F045:-:1711;F045:-:1712;F045:-:1713;F045:-:1714;F045:-:1715;F045:-:1716;F045:-:1717;F045:-:1718;F045:-:1719;F045:-:1724;F045:-:1725;F045:-:1726;F045:-:1727;F045:-:1728;F045:-:1729;F045:-:1730;F045:-:1731;F045:-:1732;F045:-:1733;F045:-:1734;F045:-:1735;F045:-:1736;F045:-:1741;F045:-:1742;F045:-:1743,CANONICAL,0,,,Record exists because another record referenced it.,6,16.67
STD-00068,IS 10631,IS 10631:1983,,,1983,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:172;F034:-:1071,CANONICAL,0,,,Record exists because another record referenced it.,4,11.11
STD-00069,IS 10632 (Part 2),IS 10632 (Part 2):1983,,,1983,2,,,,explicit,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:173;F034:-:1072,CANONICAL,0,,,Record exists because another record referenced it.,6,16.67
STD-00070,IS 10632 (Part 3),IS 10632 (Part 3):1983,,,1983,3,,,,explicit,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F034,bis_gazette_notification.csv,,F034:-:174;F034:-:1073,CANONICAL,0,,,Record exists because another record referenced it.,6,16.67
STD-00071,IS 10647,IS 10647,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00072,IS 1065,IS 1065,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,2,F033;F035,bis_circulars (1).csv;bis_laboratories.csv,,F033:-:109;F035:-:2;F035:-:234,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00073,IS 10658,IS 10658,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00074,IS 1069,IS 1069,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F033,bis_circulars (1).csv,,F033:-:109,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
STD-00075,IS 1070,IS 1070,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,1,F035,bis_laboratories.csv,,F035:-:100,CANONICAL,0,,,Record exists because another record referenced it.,3,8.33
