pm_section_id,pm_id,manual_title,manual_version,is_id,canonical_is_number,product_id,product_name,section_category,source_column,requirement_text,text_length,clause,source_file_id,source_file,source_sheet,source_row,source_url,review_flag
PMS-000232,PM-00007,,11,STD-00530,IS 15644,PROD-00203,Safety of Electric Toys,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,23,,
PMS-000243,PM-00029,,1,STD-01069,IS 2835,PROD-00102,Flat Transparent Sheet Glass,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,24,,
PMS-000254,PM-00026,,Latest indexed PM,STD-01015,IS 2553 (Part 1),PROD-00200,"Safety Glass — Architectural, Building and General Uses",INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,25,,
PMS-000265,PM-00027,,5,STD-01016,IS 2553 (Part 2),PROD-00193,Safety Glass for Road Transport,INFRASTRUCTURE,test_equipment,Annex-C,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,26,,
PMS-000276,PM-00035,,Latest indexed PM,STD-01707,IS 9573 (Part 1),PROD-00183,Rubber Hose for LPG — Industrial Application,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,27,,
PMS-000287,PM-00036,,Latest indexed PM,STD-01708,IS 9573 (Part 2),PROD-00182,Rubber Hose for LPG — Domestic/Commercial Application,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,28,,
PMS-000298,PM-00006,,Latest indexed PM,STD-00497,IS 15392,PROD-00044,Aluminium and Aluminium Alloy Bare Foil for Food Packaging,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,29,,
PMS-000309,PM-00022,,Latest indexed PM,STD-00836,IS 17875,PROD-00265,Stainless Steel Seamless Pipes and Tubes for General Service,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,30,,
PMS-000320,PM-00023,,Latest indexed PM,STD-00837,IS 17876,PROD-00268,Stainless Steel Welded Pipes and Tubes for General Service,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,31,,
PMS-000331,PM-00024,,Latest indexed PM,STD-00947,IS 2083,PROD-00097,Flashlight,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,32,,
PMS-000342,PM-00030,,Latest indexed PM,STD-01090,IS 302 (Part 1),PROD-00207,Safety of Household and Similar Electrical Appliances — General Requirements,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,33,,
PMS-000353,PM-00008,,Latest indexed PM,STD-00558,IS 15844 (Part 1),PROD-00258,Sports Footwear — General Purpose,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,34,,
PMS-000364,PM-00009,,Latest indexed PM,STD-00559,IS 15844 (Part 2),PROD-00259,Sports Footwear — Performance Sports Footwear,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,35,,
PMS-000375,PM-00010,,Latest indexed PM,STD-00560,IS 15844 (Part 3),PROD-00260,Sports Footwear — Professional Sports Footwear,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,36,,
PMS-000386,PM-00012,,Latest indexed PM,STD-00718,IS 17012,PROD-00109,High Ankle Tactical Boots with PU-Rubber Sole,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,37,,
PMS-000397,PM-00013,,Latest indexed PM,STD-00722,IS 17037,PROD-00047,Anti Riot Shoes,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,38,,
PMS-000408,PM-00014,,4,STD-00725,IS 17043 (Part 1),PROD-00236,Shoes for Services,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,39,,
PMS-000419,PM-00015,,Latest indexed PM,STD-00726,IS 17043 (Part 2),PROD-00235,Shoes for General Purpose,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,40,,
PMS-000430,PM-00005,,Older/current lifecycle needs verification,STD-00481,IS 15298 (Part 2),PROD-00188,Safety Footwear,INFRASTRUCTURE,test_equipment,Annex,5,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,41,,
