lab_id,test_id,is_id,source_scope_ids,source_lab_ids,canonical_is_number,product_name,test_name,test_method_standard,clause_reference,capability,scope_status,scope_validity,testing_charge,source_url,source_file_id,source_file,source_sheet,source_row,record_disposition
,TEST-00104,STD-00445,SC-1489P2,LIMS-MULTIPLE,STD-1489-P2,Portland Pozzolana Cement - Calcined Clay Based,Fineness; soundness; setting; compressive/transverse strength; chemical requirements,IS 1489 Part 2,Multiple,Multiple laboratories,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=1489,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,12,CANONICAL
,TEST-00025,STD-01041,SC-269,LIMS-MULTIPLE,STD-269,Ordinary Portland Cement - Specification,Chemical and physical requirements,IS 269:2015 | IS 4031,Multiple,50 results currently listed,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=269,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,13,CANONICAL
,TEST-00037,STD-01273,SC-455,LIMS-MULTIPLE,STD-455,Portland Slag Cement - Specification,Chemical; fineness; soundness; setting; strength,IS 455:2015 | IS 4031,Multiple,Multiple laboratories,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=455,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,14,CANONICAL
,TEST-00102,STD-01569,SC-8041,LIMS-MULTIPLE,STD-8041,Rapid Hardening Portland Cement - Specification,Fineness; expansion; setting time; compressive strength; chemical requirements,IS 8041:1990 | IS 4031 | IS 4032,"5.1, 6.1, 6.2.1, 6.3, 6.4",Multiple laboratories,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=8041,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,15,CANONICAL
,TEST-00041,STD-01570,SC-8042,LIMS-MULTIPLE,STD-8042,White Portland Cement - Specification,Chemical; physical; whiteness; strength,IS 8042:2015,Multiple,Multiple laboratories,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=8042,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,16,CANONICAL
,TEST-00038,STD-01571,SC-8043,LIMS-MULTIPLE,STD-8043,Hydrophobic Portland Cement,Chemical/physical/hydrophobic characteristics,IS 8043:1991 | IS 269,5.1 etc.,3 laboratories currently listed,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=8043,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,17,CANONICAL
,TEST-00040,STD-00656,SC-16415,LIMS-MULTIPLE,STD-16415,Composite Cement - Specification,Chemical; physical; insoluble residue; magnesia; sulphur; sulphide sulphur,IS 16415:2015 | IS 4031 | IS 4032,"Cl.6, Cl.7",Multiple laboratories,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=16415,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,18,CANONICAL
,TEST-00168,STD-01730,SC-9873P1,LIMS-MULTIPLE,STD-9873-P1,Safety of Toys - Mechanical and Physical Properties,Material quality; mechanical/physical safety; small parts; sharp points/edges etc,Current BIS LIMS toy standard family,Multiple,Current LIMS results are on later edition; historical 2012 requires version mapping,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=9873,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,19,CANONICAL
,TEST-00107,STD-01731,SC-9873P2,LIMS-MULTIPLE,STD-9873-P2,Safety of Toys - Flammability,Flammability,IS 9873 Part 2,Multiple,Current LIMS scope,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=9873,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,20,CANONICAL
,TEST-00181,STD-01732,SC-9873P3,LIMS-MULTIPLE,STD-9873-P3,Safety of Toys - Migration of Certain Elements,"Mercury, lead, chromium, cadmium, barium, arsenic, antimony etc",IS 9873 Part 3,Cl.4.1/Table 1,Multiple laboratories,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=9873,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,21,CANONICAL
,TEST-00251,STD-01733,SC-9873P4,LIMS-MULTIPLE,STD-9873-P4,"Swings, Slides and Similar Activity Toys",Structural/stability/activity-toy safety tests,IS 9873 Part 4,Multiple,Multiple laboratories,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=9873,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,22,CANONICAL
,TEST-00161,STD-00530,SC-15644,LIMS-MULTIPLE,STD-15644,Safety of Electric Toys,Marking; power input; heating/abnormal operation; electrical strength; moisture; mechanical strength; construction,IS 15644:2006,7–14 etc.,21 current results,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=15644,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,23,CANONICAL
,TEST-00070,STD-01069,SC-2835,LIMS-MULTIPLE,STD-2835,Flat Transparent Sheet Glass,Dimensions; appearance; optical/glass quality requirements,IS 2835:1987,Multiple,Multiple laboratories,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=2835,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,24,CANONICAL
,TEST-00190,STD-01015,SC-2553P1,LIMS-MULTIPLE,STD-2553-P1,"Safety Glass - Architectural, Building and General Uses",Optical faults; spot faults; linear/extended faults; safety/fragmentation characteristics,IS 2553 Part 1 | IS 14900,Multiple,Multiple laboratories,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=2553,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,25,CANONICAL
,TEST-00154,STD-01016,SC-2553P2,LIMS-MULTIPLE,STD-2553-P2,Safety Glass - Road Transport,Light transmittance; optical faults; spot faults; shape/edge accuracy; vents; laminated/toughened-glass tests; fragmentation; impact,IS 2553 Part 2 | IS 14900,5.1 onward,27 current results,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=2553,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,26,CANONICAL
,TEST-00120,STD-01707,SC-9573P1,LIMS-MULTIPLE,STD-9573-P1,Rubber Hose for LPG - Industrial Application,General; material; lining; reinforcement; cover; dimensions; tensile/pressure/grip/marking,IS 9573 Part 1,Multiple,Multiple laboratories,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=9573,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,27,CANONICAL
,TEST-00167,STD-01708,SC-9573P2,LIMS-MULTIPLE,STD-9573-P2,Rubber Hose for LPG - Domestic and Commercial Application,Material; lining; reinforcement; cover; bore; thickness; length; tensile strength; adhesion; flexibility; ozone; proof/bursting pressure; grip strength; burning behaviour; marking,IS 9573 Part 2,4.1–5.2.1,18 current results,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=9573,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,28,CANONICAL
,TEST-00199,STD-00497,SC-15392,LIMS-MULTIPLE,STD-15392,Aluminium and Aluminium Alloy Bare Foil for Food Packaging,Pinhole count; freedom from defects; material; thickness; dimensions; surface condition; lubricants; tensile properties; alloying elements,IS 15392 | IS 13237 | IS 504,Cl.5–14,Multiple laboratories,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=15392,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,29,CANONICAL
,TEST-00035,STD-00836,SC-17875,LIMS-MULTIPLE,STD-17875,Stainless Steel Seamless Pipes and Tubes for General Service,Chemical composition; tensile; transverse tension; hardness; corrosion; flaring; flattening; grain size; dimensions/tolerances,IS 17875 | IS 228 | IS 1608 | IS 1500 | IS 1586 | IS 10461,"Cl.8, 10–15, 18, 23",15 current results,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17875,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,30,CANONICAL
,TEST-00036,STD-00837,SC-17876,LIMS-MULTIPLE,STD-17876,Stainless Steel Welded Pipes and Tubes for General Service,Chemical; dimensional; mechanical; weld/integrity and applicable performance tests,IS 17876,Multiple,13 current results,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17876,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,31,CANONICAL
,TEST-00048,STD-00947,SC-2083,LIMS-MULTIPLE,STD-2083,Flashlight - Specification,Construction; dimensions; electrical/safety and performance requirements,IS 2083:2024,Multiple,LIMS scope available,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=2083,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,32,CANONICAL
,TEST-00088,STD-01090,SC-302P1,LIMS-MULTIPLE,STD-302-P1,Safety of Household and Similar Electrical Appliances - General Requirements,Electric shock; heating; leakage; dielectric strength; abnormal operation; mechanical/electrical safety,IS 302 Part 1:2024,Multiple,LIMS scope,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=302,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,33,CANONICAL
,TEST-00223,STD-00558,SC-15844P1,LIMS-MULTIPLE,STD-15844-P1,Sports Footwear - General Purpose,Size/fittings; design; upper/sole; mechanical and chemical properties,IS 15844 Part 1,Multiple,78 results for IS 15844 family,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=15844,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,34,CANONICAL
,TEST-00114,STD-00559,SC-15844P2,LIMS-MULTIPLE,STD-15844-P2,Sports Footwear - Performance Sports Footwear,Footwear physical/mechanical/chemical/performance tests,IS 15844 Part 2,Multiple,Current family scope,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=15844,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,35,CANONICAL
,TEST-00064,STD-00560,SC-15844P3,LIMS-MULTIPLE,STD-15844-P3,Sports Footwear - Professional Sports Footwear,Design; size/fittings; slip resistance; corrosion; chemical requirements; marking; phthalates; chromium VI; formaldehyde; organotin; PCP/TeCP/TriCP; pH; nickel; water penetration/absorption,IS 15844 Part 3 | IS 17011,Cl.5–8; 7.12; 7.12.2,Multiple laboratories,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=15844,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,36,CANONICAL
,TEST-00165,STD-00718,SC-17012,LIMS-MULTIPLE,STD-17012,High Ankle Tactical Boots with PU-Rubber Sole,Material innocuousness; dimensions; upper/sole/bond and footwear performance,IS 17012:2018,Multiple,LIMS scope,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17012,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,37,CANONICAL
,TEST-00163,STD-00722,SC-17037,LIMS-MULTIPLE,STD-17037,Anti Riot Shoes,Material; dimensions; upper/sole; bond; mechanical/protective properties,IS 17037:2018,Multiple,LIMS scope,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17037,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,38,CANONICAL
,TEST-00063,STD-00725,SC-17043P1,LIMS-MULTIPLE,STD-17043-P1,Shoes for Services,Design/shape; material; outsole; interlayer bond; physical/mechanical and chemical requirements,IS 17043 Part 1:2024,Multiple,LIMS scope,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17043,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,39,CANONICAL
,TEST-00014,STD-00726,SC-17043P2,LIMS-MULTIPLE,STD-17043-P2,Shoes for General Purpose,Bond strength; abrasion; flexing; tear; strap/buckle/D-ring; Velcro; eyelet; heel pull-off; top-piece attachment,IS 17043 Part 2:2024,Relevant clauses/Table 1,LIMS scope,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=17043,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,40,CANONICAL
,TEST-00137,STD-00481,SC-15298P2,LIMS-MULTIPLE,STD-15298-P2,Personal Protective Equipment - Safety Footwear,Innocuousness; impact/compression; penetration; sole/upper; slip; protective characteristics,IS 15298 Part 2:2016,Multiple,LIMS/Product Manual scope,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=15298,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,41,CANONICAL
,TEST-00267,STD-01750,SC-60947P2,LIMS-MULTIPLE,STD-IEC-60947-P2,Circuit Breakers,Temperature rise; dielectric; short-circuit; endurance; operating performance and product-specific tests,IS/IEC 60947-2,Product/rating dependent,Scheme/product-specific laboratory scope,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=60947,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,42,CANONICAL
,TEST-00265,STD-01751,SC-60947P3,LIMS-MULTIPLE,STD-IEC-60947-P3,"Switches, Disconnectors, Switch-Disconnectors and Fuse-Combination Units",Temperature rise; dielectric; mechanical/electrical endurance; operating performance,Current BIS framework uses later revision,Product/rating dependent,Scheme/product-specific,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=60947,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,43,CANONICAL
,TEST-00268,STD-01752,SC-60947P41,LIMS-MULTIPLE,STD-IEC-60947-P4,Contactors and Motor Starters,Temperature rise; dielectric strength; operating performance; electrical endurance; short-circuit coordination,IS/IEC 60947-4,Product/category dependent,Scheme/product-specific,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=60947,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,44,CANONICAL
,TEST-00092,STD-01753,SC-60947P51,LIMS-MULTIPLE,STD-IEC-60947-P5,Electromechanical Control Circuit Devices,Electrical characteristics; dielectric verification; temperature rise; mechanical operation/endurance,IS/IEC 60947-5,Product/category dependent,Scheme/product-specific,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=60947,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,45,CANONICAL
,TEST-00099,STD-01753,SC-60947P55,LIMS-MULTIPLE,STD-IEC-60947-P5,Electrical Emergency Stop Devices,Emergency-stop function; mechanical latching; endurance; dielectric/electrical characteristics,IS/IEC 60947-5,Product/category dependent,Scheme/product-specific,ACTIVE,Laboratory-specific,Laboratory-specific,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=60947,F007,BIS_Laboratory_Scopes.xlsx,BIS_Laboratory_Scopes,46,CANONICAL
