product_id,product_name,alternate_names,product_category,product_subcategory,product_description,keywords,product_group,certification_scheme_to_store,source_product_ids,source_url,source_reference_label,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
PROD-00016,All DC utilization categories. All DC ratings,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:24,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00017,"All DC utilization categories, All ratings",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:18,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00018,All devices with all types of actuator,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:33,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00019,All devices with button type actuator,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:32,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00020,All Electrical Appliances,,,,,,,,,,,1,F014,BIS_QCO-schema_2.xlsx,BIS_QCO-schema_2,F014:BIS_QCO-schema_2:33,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00021,All test as per IS/IEC 60947: Part 5: Sec 2: 2007,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:31,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00022,"All types of centrifuges, filtering or purifying machinery for liquid and gas and (or) their assemblies/sub-assemblies/components",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:37,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00023,All types of compressors and (or) their assemblies/sub-assemblies/components,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:35,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00024,All types of cranes and (or) their assemblies/sub-assemblies/components,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:39,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00025,All types of Diesel Generator and (or) their assemblies/sub-assemblies/components,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:49,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00026,"All types of gears and gearing, toothed wheels, chain sprocket, transmission elements ball or roller screws, gear boxes and speed changers, including torque converters and (or) their assemblies/sub-assemblies/components",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:47,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00027,"All types of machine tools for working stone, ceramics, concrete, asbestos cement or like mineral glass and (or) their assemblies/sub-assemblies/components",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:44,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00028,"All types of machinery for construction, earthmoving, Mining and (or) their assemblies/sub-assemblies/components",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:40,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00029,"All types of machinery for filling, closing, sealing, labelling bottles, packing or wrapping and (or) their assemblies/sub-assemblies/components",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:38,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00030,All types of machinery for making embroidery and (or) their assemblies/sub-assemblies/components,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:42,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00031,All types of machinery for treatment of material by a process involving a change of temperature and (or) their assemblies/sub-assemblies/components,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:36,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00032,All types of machinery for working rubber and plastics and (or) their assemblies/sub-assemblies/components,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:45,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00033,"All types of Machines including the machines for public works & building and the machinery & mechanical appliances having individual functions, not specified or included elsewhere in Chapter 84 and (or) their assemblies/sub-assemblies/components",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:46,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00034,All types of metal cutting machines tools covered under the heading 8456 to 8461 and (or) their assemblies/sub-assemblies/components,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:43,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00035,All types of Power Semiconductor Converter and (or) their assemblies/sub-assemblies/components,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:51,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00036,All types of product ratings,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:25;F003:-:26,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00037,"All types of Pumps for handling liquids, liquid elevators and (or) their assemblies/sub-assemblies/components",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:34,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00038,"All types of Rotary electrical machines such as Generator, etc. and (or) their assemblies/sub-assemblies/components",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:48,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00039,All types of switch gear and control gear equipment operating at voltages exceeding 1000 volts and (or) their assemblies/sub-assemblies/components,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:53,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00040,All types of switch gear and control gear equipment operating at voltages not exceeding 1000 volts and (or) their assemblies/sub-assemblies/components,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:52,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00041,All types of Transformers and (or) their assemblies/sub-assemblies/components,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:50,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00042,All types of weaving machines (looms) and (or) their assemblies/sub-assemblies/components,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:41,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00043,Aluminium and Alloy Bare Foil for Food Packaging,,,,,,,,,,,2,F015;F019,BIS_QCO_Master_Records (1).xlsx;BIS_QCO_Summary.xlsx,QCO_Master_Records;QCO_Summary,F015:QCO_Master_Records:10;F019:QCO_Summary:24,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00044,Aluminium and Aluminium Alloy Bare Foil for Food Packaging,,,,,,,,,,,8,F010;F014;F018;F021;F024;F025;F030;F032,BIS_Product_Manuals_Master.xlsx;BIS_QCO-schema_2.xlsx;BIS_QCO_Master_Scheme_1.xlsx;BIS_Scheme_IV_FMCS.xlsx;BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx;BIS_Standards_Intelligence_Master.xlsx;BIS_Testing_Parameters_Master.xlsx,BIS_FMCS_Scheme_IV;BIS_Product_Manuals;BIS_QCO-schema_2;BIS_QCO_Master_Scheme_1;BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2;BIS_Standards_Intelligence;BIS_Testing_Parameters,F010:BIS_Product_Manuals:29;F014:BIS_QCO-schema_2:29;F018:BIS_QCO_Master_Scheme_1:29;F021:BIS_FMCS_Scheme_IV:29;F024:BIS_Schemes_Master:29;F025:BIS_Schemes_Master_Scheme_2:29;F030:BIS_Standards_Intelligence:29;F032:BIS_Testing_Parameters:29,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00045,Aluminium and Aluminium Alloy Corrugated Sheets - Specification,,Civil Engineering/Building Products,Metal Roofing & Cladding,"Covers chemical composition, dimension tolerances, profile pitch/depth, and load-bearing properties of corrugated aluminium sheets intended for roofing and siding.",,,,IS 15392:2003,,BIS Connect - IS Details,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:29;F013:Products_Details:29,MERGED,0,,,,6,54.55
PROD-00046,Amplifiers with input power 2000W and above,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:12,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00047,Anti Riot Shoes,,,,,,,,,,,5,F010;F015;F019;F030;F032,BIS_Product_Manuals_Master.xlsx;BIS_QCO_Master_Records (1).xlsx;BIS_QCO_Summary.xlsx;BIS_Standards_Intelligence_Master.xlsx;BIS_Testing_Parameters_Master.xlsx,BIS_Product_Manuals;BIS_Standards_Intelligence;BIS_Testing_Parameters;QCO_Master_Records;QCO_Summary,F010:BIS_Product_Manuals:38;F015:QCO_Master_Records:15;F019:QCO_Summary:33;F030:BIS_Standards_Intelligence:38;F032:BIS_Testing_Parameters:38,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00048,Antiriot shoes,,,,,,,,,,,5,F014;F018;F021;F024;F025,BIS_QCO-schema_2.xlsx;BIS_QCO_Master_Scheme_1.xlsx;BIS_Scheme_IV_FMCS.xlsx;BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx,BIS_FMCS_Scheme_IV;BIS_QCO-schema_2;BIS_QCO_Master_Scheme_1;BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2,F014:BIS_QCO-schema_2:38;F018:BIS_QCO_Master_Scheme_1:38;F021:BIS_FMCS_Scheme_IV:38;F024:BIS_Schemes_Master:38;F025:BIS_Schemes_Master_Scheme_2:38,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00049,Automatic Data Processing Machine,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:16,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00050,Automatic Teller Cash dispensing machines,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:50,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00051,Beds,,Furniture,Domestic Furniture,"Defines dimensional stability, load-bearing integrity, and durability metrics for adult beds.",,,,PROD_IS17635_BEDS,,Product Specific Information,11,F010;F011;F014;F015;F016;F018;F021;F024;F025;F030;F032,BIS_Product_Manuals_Master.xlsx;BIS_Products_Details.xlsx;BIS_QCO-schema_2.xlsx;BIS_QCO_Master_Records (1).xlsx;BIS_QCO_Master_Records.xlsx;BIS_QCO_Master_Scheme_1.xlsx;BIS_Scheme_IV_FMCS.xlsx;BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx;BIS_Standards_Intelligence_Master.xlsx;BIS_Testing_Parameters_Master.xlsx,BIS_FMCS_Scheme_IV;BIS_Product_Manuals;BIS_QCO-schema_2;BIS_QCO_Master_Scheme_1;BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2;BIS_Standards_Intelligence;BIS_Testing_Parameters;Products_Details;QCO_Master_Details;QCO_Master_Records,F011:Products_Details:6;F010:BIS_Product_Manuals:6;F014:BIS_QCO-schema_2:6;F015:QCO_Master_Records:2;F016:QCO_Master_Details:4;F018:BIS_QCO_Master_Scheme_1:6;F021:BIS_FMCS_Scheme_IV:6;F024:BIS_Schemes_Master:6;F025:BIS_Schemes_Master_Scheme_2:6;F030:BIS_Standards_Intelligence:6;F032:BIS_Testing_Parameters:6,CANONICAL,0,,,,6,54.55
PROD-00052,Beds - Specification,,Civil Engineering Department (CED),CED 35 (Furniture Sectional Committee),"Outlines the design, strength, safety, and durability criteria for adult beds intended for domestic and non-domestic/commercial applications.",,,,IS 17635:2022,,Indian Standards - BIS Connect,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:6;F013:Products_Details:6,MERGED,0,,,,6,54.55
PROD-00053,Bluetooth speakers,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:64,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00054,Building and General Uses,,,,,,,,,,,4,F014;F018;F021;F030,BIS_QCO-schema_2.xlsx;BIS_QCO_Master_Scheme_1.xlsx;BIS_Scheme_IV_FMCS.xlsx;BIS_Standards_Intelligence_Master.xlsx,BIS_FMCS_Scheme_IV;BIS_QCO-schema_2;BIS_QCO_Master_Scheme_1;BIS_Standards_Intelligence,F014:BIS_QCO-schema_2:25;F018:BIS_QCO_Master_Scheme_1:25;F021:BIS_FMCS_Scheme_IV:25;F030:BIS_Standards_Intelligence:25,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00055,Bunk Beds,,,,,,,,,,,9,F010;F014;F015;F018;F021;F024;F025;F030;F032,BIS_Product_Manuals_Master.xlsx;BIS_QCO-schema_2.xlsx;BIS_QCO_Master_Records (1).xlsx;BIS_QCO_Master_Scheme_1.xlsx;BIS_Scheme_IV_FMCS.xlsx;BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx;BIS_Standards_Intelligence_Master.xlsx;BIS_Testing_Parameters_Master.xlsx,BIS_FMCS_Scheme_IV;BIS_Product_Manuals;BIS_QCO-schema_2;BIS_QCO_Master_Scheme_1;BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2;BIS_Standards_Intelligence;BIS_Testing_Parameters;QCO_Master_Records,F010:BIS_Product_Manuals:7;F014:BIS_QCO-schema_2:7;F015:QCO_Master_Records:2;F018:BIS_QCO_Master_Scheme_1:7;F021:BIS_FMCS_Scheme_IV:7;F024:BIS_Schemes_Master:7;F025:BIS_Schemes_Master_Scheme_2:7;F030:BIS_Standards_Intelligence:7;F032:BIS_Testing_Parameters:7,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00056,Bunk Beds and High Beds,,Furniture,Domestic Furniture,"Establishes safety barriers, frame strength, and structural integrity to prevent fall and entrapment hazards.",,,,PROD_IS17636_BUNK,,Product Specific Information,1,F011,BIS_Products_Details.xlsx,Products_Details,F011:Products_Details:7,CANONICAL,0,,,,6,54.55
PROD-00057,Bunk Beds and High Beds - Specification,,Civil Engineering Department (CED),CED 35 (Furniture Sectional Committee),"Specifies requirements regarding structural safety, stability, entrapment hazard prevention, guardrails, and strength for bunk beds and elevated/high beds.",,,,IS 17636:2022,,Indian Standards - BIS Connect,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:7;F013:Products_Details:7,MERGED,0,,,,6,54.55
PROD-00058,Cash Registers,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:25,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00059,Casual Footwear,,Leather & Footwear,Footwear & Leather,"Regulates outsole flexibility, slip resistance, and upper attachment durability for everyday casual footwear.",,,,PROD_IS17037_CASUAL,,Products under Compulsory Certification,1,F011,BIS_Products_Details.xlsx,Products_Details,F011:Products_Details:38,CANONICAL,0,,,,6,54.55
PROD-00060,Casual Footwear - Specification - Part 1: Direct Moulded Process,,Footwear/Lifestyle Footwear,Casual Footwear,"Outlines strength, sole adhesion, durability, and toxic substance limits for daily casual shoes manufactured via direct practical and industrial injection/moulding processes.",,,,IS 17043 (Part 1):2024,,BIS Connect - IS Details,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:39;F013:Products_Details:39,MERGED,0,,,,6,54.55
PROD-00061,Casual Footwear - Specification - Part 2: Stuck-On/Cemented Construction Process,,Footwear/Lifestyle Footwear,Casual Footwear,"Specifies upper material strength, sole adhesion bond strength, flexing resistance, and heel attachment integrity for cemented/stuck-on casual footwear.",,,,IS 17043 (Part 2):2024,,BIS Connect - IS Details,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:40;F013:Products_Details:40,MERGED,0,,,,6,54.55
PROD-00062,CCTV Cameras/CCTV Recorders,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:42,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00063,Cement Varieties,,,,,,,,,,,1,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,F015:QCO_Master_Records:4,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00064,Chairs and Stools (General Purpose),,,,,,,,,,,2,F024;F025,BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx,BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2,F024:BIS_Schemes_Master:3;F025:BIS_Schemes_Master_Scheme_2:3,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00065,Circuit Breakers,,,,,,,,,,,1,F030,BIS_Standards_Intelligence_Master.xlsx,BIS_Standards_Intelligence,F030:BIS_Standards_Intelligence:42,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00066,Composite Cement,,Civil Engineering,Cement & Concrete,Sets criteria for blended composite cement combining clinker with slag and pozzolanic materials.,,,,PROD_IS16415_COMP,,Products under Compulsory Certification,11,F010;F011;F014;F017;F018;F019;F021;F024;F025;F030;F032,BIS_Product_Manuals_Master.xlsx;BIS_Products_Details.xlsx;BIS_QCO-schema_2.xlsx;BIS_QCO_Master_Records_v3.xlsx;BIS_QCO_Master_Scheme_1.xlsx;BIS_QCO_Summary.xlsx;BIS_Scheme_IV_FMCS.xlsx;BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx;BIS_Standards_Intelligence_Master.xlsx;BIS_Testing_Parameters_Master.xlsx,BIS_FMCS_Scheme_IV;BIS_Product_Manuals;BIS_QCO-schema_2;BIS_QCO_Master_Scheme_1;BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2;BIS_Standards_Intelligence;BIS_Testing_Parameters;Products_Details;QCO_Master_Records;QCO_Summary,F011:Products_Details:18;F010:BIS_Product_Manuals:18;F014:BIS_QCO-schema_2:18;F017:QCO_Master_Records:13;F018:BIS_QCO_Master_Scheme_1:18;F019:QCO_Summary:13;F021:BIS_FMCS_Scheme_IV:18;F024:BIS_Schemes_Master:18;F025:BIS_Schemes_Master_Scheme_2:18;F030:BIS_Standards_Intelligence:18;F032:BIS_Testing_Parameters:18,CANONICAL,0,,,,6,54.55
PROD-00067,Composite Cement - Specification,,Civil Engineering/Construction Materials,Blended Hydraulic Cements,Specifies requirements for ternary blended composite cement produced by intergrinding Portland clinker with both granulated slag and fly ash / pozzolana.,,,,IS 16415:2015,,BIS Connect - IS Details,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:18;F013:Products_Details:18,MERGED,0,,,,6,54.55
PROD-00068,"Contactor -All AC utilization categories, above 32A",,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:21,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00069,Contactor -All AC utilization categories Upto 32A,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:19;F003:-:20,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00070,Contactors and Motor Starters,,,,,,,,,,,2,F030;F032,BIS_Standards_Intelligence_Master.xlsx;BIS_Testing_Parameters_Master.xlsx,BIS_Standards_Intelligence;BIS_Testing_Parameters,F030:BIS_Standards_Intelligence:44;F032:BIS_Testing_Parameters:44,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00071,Contactors and Motor-Starters (Electromechanical & Semiconductor),,,,,,,,,,,2,F022;F023,BIS_Scheme_X_Industrial.xlsx;BIS_Scheme_X_Industrial_v2.xlsx,BIS_Scheme_X,F022:BIS_Scheme_X:4;F023:BIS_Scheme_X:4,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00072,Control Circuit Devices and Proximity Switches,,,,,,,,,,,2,F022;F023,BIS_Scheme_X_Industrial.xlsx;BIS_Scheme_X_Industrial_v2.xlsx,BIS_Scheme_X,F022:BIS_Scheme_X:5;F023:BIS_Scheme_X:5,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00073,Copying Machines/Duplicators,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:27,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00074,Cotton Bales,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:79,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00075,Crystalline Silicon Terrestrial Photovoltaic (PV) modules (Si wafer based),,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:67;F001:-:68;F001:-:69,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00076,DC Circuit - Breaker (Category A) - All rating,,,,,,,,,,,1,F003,07_scheme_x.csv,,F003:-:11,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00077,DC or AC Supplied Electronic Control gear for LED Modules,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:20,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00078,Derby Shoes,,Leather & Footwear,Footwear & Leather,"Prescribes material grade, sole bond strength, and upper tensile durability for men's and women's Derby shoes.",,,,PROD_IS17012_LEATH,,Products under Compulsory Certification,1,F011,BIS_Products_Details.xlsx,Products_Details,F011:Products_Details:37,CANONICAL,0,,,,6,54.55
PROD-00079,Desks,,,,,,,,,,,1,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,F015:QCO_Master_Records:2,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00080,Digital Camera,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:59,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00081,Dimmers for LED products,,,,,,,,,,,1,F001,05_scheme_ii.csv,,F001:-:63,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00082,Disconnectors,,,,,,,,,,,1,F030,BIS_Standards_Intelligence_Master.xlsx,BIS_Standards_Intelligence,F030:BIS_Standards_Intelligence:43,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00083,Domestic Pressure Cooker,,,,,,,,,,,10,F010;F014;F015;F016;F018;F019;F024;F025;F030;F032,BIS_Product_Manuals_Master.xlsx;BIS_QCO-schema_2.xlsx;BIS_QCO_Master_Records (1).xlsx;BIS_QCO_Master_Records.xlsx;BIS_QCO_Master_Scheme_1.xlsx;BIS_QCO_Summary.xlsx;BIS_Schemes_Master.xlsx;BIS_Schemes_Master_Scheme_2.xlsx;BIS_Standards_Intelligence_Master.xlsx;BIS_Testing_Parameters_Master.xlsx,BIS_Product_Manuals;BIS_QCO-schema_2;BIS_QCO_Master_Scheme_1;BIS_Schemes_Master;BIS_Schemes_Master_Scheme_2;BIS_Standards_Intelligence;BIS_Testing_Parameters;QCO_Master_Details;QCO_Master_Records;QCO_Summary,F010:BIS_Product_Manuals:8;F014:BIS_QCO-schema_2:8;F015:QCO_Master_Records:3;F016:QCO_Master_Details:2;F018:BIS_QCO_Master_Scheme_1:8;F019:QCO_Summary:3;F024:BIS_Schemes_Master:8;F025:BIS_Schemes_Master_Scheme_2:8;F030:BIS_Standards_Intelligence:8;F032:BIS_Testing_Parameters:8,CANONICAL,0,,,Record exists because another record referenced it.,1,9.09
PROD-00084,Domestic Pressure Cooker - Specification (Seventh Revision),,Mechanical Engineering Department (MED),"MED 33 (Utensils, Cutlery and Domestic Hardware Sectional Committee)","Covers construction, nominal capacities (1 L to 22 L), material safety (food grade), pressure regulation, safety release mechanisms, lid locking, and heat-resistant handle requirements for domestic pressure cookers.",,,,IS 2347:2023,,Standard Details - Bureau of Indian Standards,2,F012;F013,BIS_Products_Full_Information.xlsx;BIS_Products_Full_Information_v2.xlsx,Products_Details,F012:Products_Details:8;F013:Products_Details:8,MERGED,0,,,,6,54.55
PROD-00085,Domestic Pressure Cookers,,Mechanical & Domestic Goods,Utensils & Cookware,"Covers safety, operating pressure limits, thermal shock, and material specifications for domestic cookers.",,,,PROD_IS2347_COOKERS,,Products under Compulsory Certification,2,F011;F021,BIS_Products_Details.xlsx;BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV;Products_Details,F011:Products_Details:8;F021:BIS_FMCS_Scheme_IV:8,CANONICAL,0,,,,6,54.55
