hm_id,centre_name,centre_code,hallmarking_entity_type,address,city,district,state,pin,recognition_status,recognition_status_original,recognition_status_raw,validity,validity_date,suspended_cancelled_date,region,centre_type,hallmarking_scope,services,source_url,source_reference_label,source_centre_ids,source_file_count,source_file_ids,source_files,source_sheets,source_rows,record_disposition,conflict_count,conflict_fields,review_flag,review_reason,populated_field_count,completeness_pct
HM-00016,Ms Swarn Assaying & Hallmarking Centre,CRO/RAHC/R-110053,,"B-1/17 krishna nagarDelhi-110051, EAST DELHI, KRISHNA NAGAR, DELHI ,110051",KRISHNA NAGAR,EAST DELHI,DELHI,110051,ACTIVE,ACTIVE,Operative,09/01/2029,,,,,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110053,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:13,CANONICAL,0,,,,14,66.67
HM-00017,Shri Salasar Balaji Hallmarking Centre,CRO/RAHC/R-110056,,"G 1-5 & 6, EPIPSitapura IndustrialArea, Tonk Road, JAIPUR, SITAPURA INDUSTRIAL AREA, RAJASTHAN ,302022",SITAPURA INDUSTRIAL AREA,JAIPUR,RAJASTHAN,302022,ACTIVE,ACTIVE,Operative,15/06/2029,,,,,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110056,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:14,CANONICAL,0,,,,14,66.67
HM-00018,HIRA HALLMARKING CENTRE,CRO/RAHC/R-110057,,"65, KAGZI BAZAR, SARRAFA, MEERUT CITY, MEERUT, MEERUT CITY, UTTAR PRADESH ,250002",MEERUT CITY,MEERUT,UTTAR PRADESH,250002,CANCELLED,CANCELLED,CANCELLED,Cancelled on 31/01/2026,,2026-01-31,CRO,AHC,,,https://huid.manakonline.in/MANAK/AHCSuspendCancelledAppsForWebsite,,AHC-CRO-RAHC-R-110057,1,F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F039:-:7,CANONICAL,0,,,,16,76.19
HM-00019,M/s Mahalaxmi Hallmarking Centre,CRO/RAHC/R-110058,,"WZ-142C, IInd & IIIrd floor Shriram ComplexArya Samaj Road, Uttam Nagar, Delhi, WEST DELHI, UTTAM NAGAR, DELHI ,110059",UTTAM NAGAR,WEST DELHI,DELHI,110059,SUSPENDED,SUSPENDED,Under Suspension,29/10/2026,,2026-07-31,CRO,AHC,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110058,2,F038;F039,bis_topic17_hallmarking_centres.csv;bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F038:-:15;F039:-:8,CONFLICT_PRESERVED,2,source_url;validity,,,17,80.95
HM-00020,DELHI HALLMARKING CENTRE,CRO/RAHC/R-110059,,"2782/20-21, 1st floor Beadon puraKarol Bagh Delhi, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,ACTIVE,ACTIVE,Operative,30/09/2026,,,,,"Yellow Gold,Silver Hallmarking",,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110059,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:16,CANONICAL,0,,,,14,66.67
HM-00021,SIDDHIVINAYAK ASSAYING AND HALLMARKING CENTRE,CRO/RAHC/R-110060,,"BUILDING NO. 1187, 1ST , 2ND & 3RD FLOOR KUCHA MAHAJANICHANDNI CHOWK, DELHI, NORTH DELHI, CHANDNI CHOWK, DELHI ,110006",CHANDNI CHOWK,NORTH DELHI,DELHI,110006,CANCELLED,CANCELLED,CANCELLED,Cancelled on 27/08/2026,,2026-08-27,CRO,AHC,,,https://huid.manakonline.in/MANAK/AHCSuspendCancelledAppsForWebsite,,AHC-CRO-RAHC-R-110060,1,F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F039:-:9,CANONICAL,0,,,,16,76.19
HM-00022,P S HALLMARKING CENTRE,CRO/RAHC/R-110062,,"29/3A 4A 5A 6A 7A 8A,SARRAFA BAZARKUCHA NEEL,MEERUT, MEERUT, MEERUT CITY, UTTAR PRADESH ,250002",MEERUT CITY,MEERUT,UTTAR PRADESH,250002,ACTIVE,ACTIVE,Operative,17/11/2026,,,,,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110062,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:17,CANONICAL,0,,,,14,66.67
HM-00023,JAIPUR HALLMARKING,CRO/RAHC/R-110064,,"JAIPUR HALLMARKINGJMC-63,GOVINDRAM BUILDING,GROUND FLOOR, M.I.ROAD, JAIPUR, M.I.ROAD, RAJASTHAN ,302001",M.I.ROAD,JAIPUR,RAJASTHAN,302001,CANCELLED,CANCELLED,CANCELLED,Cancelled on 26/09/2025,,2025-09-26,CRO,AHC,,,https://huid.manakonline.in/MANAK/AHCSuspendCancelledAppsForWebsite,,AHC-CRO-RAHC-R-110064,1,F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F039:-:10,CANONICAL,0,,,,16,76.19
HM-00024,M/S R.V. GOLD HALLMARK,CRO/RAHC/R-110065,,"3140, 1ST FLOOR, STREET NO. 33BEADON PURA, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,CANCELLED,CANCELLED,CANCELLED,Cancelled on 29/04/2026,,2026-04-29,CRO,AHC,,,https://huid.manakonline.in/MANAK/AHCSuspendCancelledAppsForWebsite,,AHC-CRO-RAHC-R-110065,1,F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F039:-:11,CANONICAL,0,,,,16,76.19
HM-00025,S R ASSAYING AND HALLMARKING CENTRE,CRO/RAHC/R-110068,,"23/20-B, First FloolTilak Nagar, New Delhi, WEST DELHI, TILAK NAGAR (WEST DELHI), DELHI ,110018",TILAK NAGAR (WEST DELHI),WEST DELHI,DELHI,110018,ACTIVE,ACTIVE,Operative,16/03/2027,,,,,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110068,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:18,CANONICAL,0,,,,14,66.67
HM-00026,Krishna Hallmarking Centre,CRO/RAHC/R-110070,,"A-7/29, Frist Floor, Krishna NagarNew delhi, NEW DELHI, NEW DELHI G.P.O., DELHI ,110051",NEW DELHI G.P.O,NEW DELHI,DELHI,110051,ACTIVE,ACTIVE,Operative,06/09/2027,,,,,"Yellow Gold,Silver Hallmarking",,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110070,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:19,CANONICAL,0,,,,14,66.67
HM-00027,M/S R B HALLMARKING CENTRE,CRO/RAHC/R-110071,,"SHOP NO. 301, 3RD FLOOR, BUILDING NO. 1095,KUCHA NATWA, CHANDNI CHOWK, NORTH DELHI, CHANDNI CHOWK, DELHI ,110006",CHANDNI CHOWK,NORTH DELHI,DELHI,110006,CANCELLED,CANCELLED,CANCELLED,Cancelled on 06/08/2026,,2026-08-06,CRO,AHC,,,https://huid.manakonline.in/MANAK/AHCSuspendCancelledAppsForWebsite,,AHC-CRO-RAHC-R-110071,1,F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F039:-:12,CANONICAL,0,,,,16,76.19
HM-00028,SHRI BALAJI HALLMARKING CENTRE,CRO/RAHC/R-110072,,"WARD NO 16, NAYA SHAHAR, NEAR DUJOD GATESIKAR , RAJASTHAN, SIKAR, SIKAR, RAJASTHAN ,332001",SIKAR,SIKAR,RAJASTHAN,332001,ACTIVE,ACTIVE,Operative,20/05/2027,,,,,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110072,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:20,CANONICAL,0,,,,14,66.67
HM-00029,IDGL Hallmarking Centre,CRO/RAHC/R-110075,,"91-A, Block-A, First Floor, Central MarketLajpat Nagar-ll , New Delhi, SOUTH DELHI, LAJPAT NAGAR (SOUTH DELHI), DELHI ,110024",LAJPAT NAGAR (SOUTH DELHI),SOUTH DELHI,DELHI,110024,ACTIVE,ACTIVE,Operative,22/09/2027,,,,,"Yellow Gold,Silver Hallmarking",,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110075,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:21,CANONICAL,0,,,,14,66.67
HM-00030,JYOTI HALLMARKING AND ASSAYING CENTRE,CRO/RAHC/R-110076,,"27/3, 1ST AND 2ND FLOOR, DHANJI BAI KA NOHRA CHANDNI CHOWK, RATLAM M.P, RATLAM, RATLAM CITY, MADHYA PRADESH ,457001",RATLAM CITY,RATLAM,MADHYA PRADESH,457001,CANCELLED,CANCELLED,CANCELLED,Cancelled on 03/02/2023,,2023-02-03,CRO,AHC,,,https://huid.manakonline.in/MANAK/AHCSuspendCancelledAppsForWebsite,,AHC-CRO-RAHC-R-110076,1,F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F039:-:13,CANONICAL,0,,,,16,76.19
HM-00031,CHETNA ASSAYING AND HALLMARKING CENTRE,CRO/RAHC/R-110077,,"1164, 4th Floor, Kuchamahajani,Chadni Chowk, Delhi, NORTH DELHI, CHANDNI CHOWK, DELHI ,110006",CHANDNI CHOWK,NORTH DELHI,DELHI,110006,SUSPENDED,SUSPENDED,Under Suspension(Gold Only),18/10/2027,,,,,"Yellow Gold,Silver Hallmarking",,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110077,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:22,CANONICAL,0,,,,14,66.67
HM-00032,SHREE KALYAN HALLMARKING CENTRE,CRO/RAHC/R-110078,,"13/301 OPPOSITE MAHILA SIKSHA SADANNAYA BAZAR, AJMER, AJMER, AJMER, RAJASTHAN ,305001",AJMER,AJMER,RAJASTHAN,305001,ACTIVE,ACTIVE,Operative,13/01/2028,,,,,Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110078,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:23,CANONICAL,0,,,,14,66.67
HM-00033,M/s Lalji Assaying and Hallmarking Centre,CRO/RAHC/R-110079,,"201-202, IInd floor, Kohinoor plazaBldg. no. 2581-82, Gali no. 5-6, Beadonpura Karol Bagh, New Delhi, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,ACTIVE,ACTIVE,Operative,07/01/2028,,,,,"Yellow Gold,Silver Hallmarking",,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110079,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:24,CANONICAL,0,,,,14,66.67
HM-00034,M/S JEEN MATA HALLMARKING CENTRE,CRO/RAHC/R-110081,,"1042, SITARAMJI KI GALLI, JADIYON KA RAASTACHOURA RASTA, JAIPUR, JAIPUR, JAIPUR CITY, RAJASTHAN ,302002",JAIPUR CITY,JAIPUR,RAJASTHAN,302002,CANCELLED,CANCELLED,CANCELLED,Cancelled on 03/02/2021,,2021-02-03,CRO,AHC,,,https://huid.manakonline.in/MANAK/AHCSuspendCancelledAppsForWebsite,,AHC-CRO-RAHC-R-110081,1,F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F039:-:14,CANONICAL,0,,,,16,76.19
HM-00035,J P Testing and gold hallmarking Centre,CRO/RAHC/R-110082,,"Ward no 7, Holi darwaja , Dulhe Singh RastaChomu , Distt Jaipur Rural, JAIPUR, JAIPUR, RAJASTHAN ,303702",JAIPUR,JAIPUR,RAJASTHAN,303702,SUSPENDED,SUSPENDED,Under Suspension,08/03/2028,,2026-08-19,CRO,AHC,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110082,2,F038;F039,bis_topic17_hallmarking_centres.csv;bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F038:-:25;F039:-:15,CONFLICT_PRESERVED,2,source_url;validity,,,17,80.95
HM-00036,M/s Gehna Hallmarking Centre,CRO/RAHC/R-110083,,"3533, Ground Floor, Gali No-6-7 RegharpuraKarol Bagh, New Delhi, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,ACTIVE,ACTIVE,Operative,24/04/2028,,,,,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110083,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:26,CANONICAL,0,,,,14,66.67
HM-00037,ZEVAR HALLMARKING CENTRE,CRO/RAHC/R-110084,,"PLOT NO. 9/10, OPP KILOL PARK PETROL PUMPGOYAL BUILDERS BUILDING, PROFESSOR COLONY, BHOPAL, BHOPAL, BHOPAL G.P.O., MADHYA PRADESH ,462002",BHOPAL G.P.O,BHOPAL,MADHYA PRADESH,462002,CANCELLED,CANCELLED,CANCELLED,Cancelled on 06/01/2025,,2025-01-06,CRO,AHC,,,https://huid.manakonline.in/MANAK/AHCSuspendCancelledAppsForWebsite,,AHC-CRO-RAHC-R-110084,1,F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F039:-:16,CANONICAL,0,,,,16,76.19
HM-00038,M/s National Hallmarking Centre,CRO/RAHC/R-110085,,"1170/1240, 5th Floor Kucha MahajaniChandni Chowk, Delhi, NORTH DELHI, CHANDNI CHOWK, DELHI ,110006",CHANDNI CHOWK,NORTH DELHI,DELHI,110006,SUSPENDED,SUSPENDED,Under Suspension,27/04/2022,,2026-06-21,CRO,AHC,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110085,2,F038;F039,bis_topic17_hallmarking_centres.csv;bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F038:-:27;F039:-:17,CONFLICT_PRESERVED,2,source_url;validity,,,17,80.95
HM-00039,M/S T. J. HALLMARKING,CRO/RAHC/R-110086,,"31/3209, FIRST FLOOR BEADONPURA, KAROL BAGH, NEW DELHI, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,CANCELLED,CANCELLED,CANCELLED,Cancelled on 23/11/2023,,2023-11-23,CRO,AHC,,,https://huid.manakonline.in/MANAK/AHCSuspendCancelledAppsForWebsite,,AHC-CRO-RAHC-R-110086,1,F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F039:-:18,CANONICAL,0,,,,16,76.19
HM-00040,IDGL GOLD HALLMARKING CENTRE,CRO/RAHC/R-110087,,"301-302,3rd floor, 2142-44, Vishnu Kiran Chamber, Gurudwara Road,Karol Bagh, New Delhi, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,ACTIVE,ACTIVE,Operative,01/05/2028,,,,,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110087,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:28,CANONICAL,0,,,,14,66.67
HM-00041,S.P. Assayers and Hallmarking,CRO/RAHC/R-110089,,"2654, 3rd Floor, Chawla tower, Bank StreetKarol Bagh, New Delhi, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,ACTIVE,ACTIVE,Operative,28/04/2028,,,,,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110089,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:29,CANONICAL,0,,,,14,66.67
HM-00042,M/S AMAZE ASSAYING AND HALLMARKING CENTRE PVT. LTD,CRO/RAHC/R-110091,,"1ST FLOOR, 7 KOOCHANEEL, SARRAFA BAZAR MEERUT CITY, MEERUT, MEERUT CITY, UTTAR PRADESH ,250002",MEERUT CITY,MEERUT,UTTAR PRADESH,250002,CANCELLED,CANCELLED,CANCELLED,Cancelled on 27/09/2021,,2021-09-27,CRO,AHC,,,https://huid.manakonline.in/MANAK/AHCSuspendCancelledAppsForWebsite,,AHC-CRO-RAHC-R-110091,1,F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F039:-:19,CANONICAL,0,,,,16,76.19
HM-00043,M/s Labin Gem Testing & Hallmarking Center,CRO/RAHC/R-110092,,"3090/35, 1st Floor BeadonpuraKarol Bagh, New Delhi, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,ACTIVE,ACTIVE,Operative,27/11/2022,,,,,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110092,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:30,CANONICAL,0,,,,14,66.67
HM-00044,M/s N.C. & Co. Hallmarking Centre,CRO/RAHC/R-110093,,"3321/26, 3rd Floor, BeadonpuraBank Street, Karol Bagh, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,SUSPENDED,SUSPENDED,Under Suspension,03/07/2022,,2026-06-16,CRO,AHC,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110093,2,F038;F039,bis_topic17_hallmarking_centres.csv;bis_topic17_hallmarking_centres_cancelled_suspended.csv,,F038:-:31;F039:-:20,CONFLICT_PRESERVED,2,source_url;validity,,,17,80.95
HM-00045,M/s N.C. & Co. Hallmarking Centre,CRO/RAHC/R-110093(O1),,"3321/26, 3rd Floor, BeadonpuraBank Street, Karol Bagh, CENTRAL DELHI, KAROL BAGH, DELHI ,110005",KAROL BAGH,CENTRAL DELHI,DELHI,110005,ACTIVE,ACTIVE,Operative,03/07/2022,,,,,Yellow Gold Hallmarking,,https://www.manakonline.in/MANAK/AHCListForWebsite,,AHC-CRO-RAHC-R-110093-O1-,1,F038,bis_topic17_hallmarking_centres.csv,,F038:-:32,CANONICAL,0,,,,14,66.67
