pm_section_id,pm_id,manual_title,manual_version,is_id,canonical_is_number,product_id,product_name,section_category,source_column,requirement_text,text_length,clause,source_file_id,source_file,source_sheet,source_row,source_url,review_flag
PMS-000071,PM-00025,,Revised manual incorporating SIT and grouping guidelines,STD-00982,IS 2347,PROD-00083,Domestic Pressure Cooker,SAMPLING,sampling_guidelines,As specified in revised manual,30,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,8,,
PMS-000075,PM-00025,,Revised manual incorporating SIT and grouping guidelines,STD-00982,IS 2347,PROD-00083,Domestic Pressure Cooker,SAMPLING,grouping_guidelines,Revised grouping guidelines,27,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,8,,
PMS-000081,PM-00001,,1,STD-00194,IS 12330,PROD-00277,Sulphate Resisting Portland Cement,SAMPLING,sampling_guidelines,8 kg physical + 1 kg chemical,29,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,9,,
PMS-000091,PM-00002,,1 / indexed PM,STD-00214,IS 12600,PROD-00123,Low Heat Portland Cement,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,10,,
PMS-000095,PM-00002,,1 / indexed PM,STD-00214,IS 12600,PROD-00123,Low Heat Portland Cement,SAMPLING,grouping_guidelines,Cement grade/grouping as specified,34,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,10,,
PMS-000102,PM-00003,,Latest indexed PM,STD-00444,IS 1489 (Part 1),PROD-00155,Portland Pozzolana Cement — Fly Ash Based,SAMPLING,sampling_guidelines,Cement sampling as per manual,29,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,11,,
PMS-000106,PM-00003,,Latest indexed PM,STD-00444,IS 1489 (Part 1),PROD-00155,Portland Pozzolana Cement — Fly Ash Based,SAMPLING,grouping_guidelines,Grade/product grouping per manual,33,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,11,,
PMS-000113,PM-00004,,Latest indexed PM,STD-00445,IS 1489 (Part 2),PROD-00154,Portland Pozzolana Cement — Calcined Clay Based,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,12,,
PMS-000117,PM-00004,,Latest indexed PM,STD-00445,IS 1489 (Part 2),PROD-00154,Portland Pozzolana Cement — Calcined Clay Based,SAMPLING,grouping_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,12,,
PMS-000124,PM-00028,,3,STD-01041,IS 269,PROD-00131,Ordinary Portland Cement,SAMPLING,sampling_guidelines,8 kg physical + 1 kg chemical,29,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,13,,
PMS-000128,PM-00028,,3,STD-01041,IS 269,PROD-00131,Ordinary Portland Cement,SAMPLING,grouping_guidelines,Each grade tested to cover that grade,37,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,13,,
PMS-000135,PM-00031,,3,STD-01273,IS 455,PROD-00158,Portland Slag Cement,SAMPLING,sampling_guidelines,8 kg physical + 1 kg chemical,29,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,14,,
PMS-000139,PM-00031,,3,STD-01273,IS 455,PROD-00158,Portland Slag Cement,SAMPLING,grouping_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,14,,
PMS-000145,PM-00032,,1,STD-01569,IS 8041,PROD-00168,Rapid Hardening Portland Cement,SAMPLING,sampling_guidelines,8 kg physical + 1 kg chemical,29,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,15,,
PMS-000155,PM-00033,,2,STD-01570,IS 8042,PROD-00305,White Portland Cement,SAMPLING,sampling_guidelines,8 kg physical + 1 kg chemical,29,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,16,,
PMS-000159,PM-00033,,2,STD-01570,IS 8042,PROD-00305,White Portland Cement,SAMPLING,grouping_guidelines,Annex-A,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,16,,
PMS-000166,PM-00034,,Latest indexed PM,STD-01571,IS 8043,PROD-00111,Hydrophobic Portland Cement,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,17,,
PMS-000170,PM-00034,,Latest indexed PM,STD-01571,IS 8043,PROD-00111,Hydrophobic Portland Cement,SAMPLING,grouping_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,17,,
PMS-000177,PM-00011,,2,STD-00656,IS 16415,PROD-00066,Composite Cement,SAMPLING,sampling_guidelines,8 kg physical + 1 kg chemical,29,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,18,,
PMS-000187,PM-00037,,11,STD-01730,IS 9873 (Part 1),PROD-00225,Safety of Toys — Part 1,SAMPLING,sampling_guidelines,Toy/product-specific sample requirements,40,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,19,,
PMS-000191,PM-00037,,11,STD-01730,IS 9873 (Part 1),PROD-00225,Safety of Toys — Part 1,SAMPLING,grouping_guidelines,Toy-category/model grouping under manual,40,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,19,,
PMS-000198,PM-00038,,11,STD-01731,IS 9873 (Part 2),PROD-00222,Safety of Toys — Flammability,SAMPLING,sampling_guidelines,See combined manual,19,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,20,,
PMS-000202,PM-00038,,11,STD-01731,IS 9873 (Part 2),PROD-00222,Safety of Toys — Flammability,SAMPLING,grouping_guidelines,See combined manual,19,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,20,,
PMS-000209,PM-00039,,11,STD-01732,IS 9873 (Part 3),PROD-00224,Safety of Toys — Migration of Certain Elements,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,21,,
PMS-000213,PM-00039,,11,STD-01732,IS 9873 (Part 3),PROD-00224,Safety of Toys — Migration of Certain Elements,SAMPLING,grouping_guidelines,See combined manual,19,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,21,,
PMS-000220,PM-00040,,11,STD-01733,IS 9873 (Part 4),PROD-00279,"Swings, Slides and Similar Activity Toys",SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,22,,
PMS-000224,PM-00040,,11,STD-01733,IS 9873 (Part 4),PROD-00279,"Swings, Slides and Similar Activity Toys",SAMPLING,grouping_guidelines,See combined manual,19,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,22,,
PMS-000231,PM-00007,,11,STD-00530,IS 15644,PROD-00203,Safety of Electric Toys,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,23,,
PMS-000235,PM-00007,,11,STD-00530,IS 15644,PROD-00203,Safety of Electric Toys,SAMPLING,grouping_guidelines,See combined manual,19,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,23,,
PMS-000242,PM-00029,,1,STD-01069,IS 2835,PROD-00102,Flat Transparent Sheet Glass,SAMPLING,sampling_guidelines,None stated in manual,21,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,24,,
PMS-000246,PM-00029,,1,STD-01069,IS 2835,PROD-00102,Flat Transparent Sheet Glass,SAMPLING,grouping_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,24,,
PMS-000253,PM-00026,,Latest indexed PM,STD-01015,IS 2553 (Part 1),PROD-00200,"Safety Glass — Architectural, Building and General Uses",SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,25,,
PMS-000257,PM-00026,,Latest indexed PM,STD-01015,IS 2553 (Part 1),PROD-00200,"Safety Glass — Architectural, Building and General Uses",SAMPLING,grouping_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,25,,
PMS-000264,PM-00027,,5,STD-01016,IS 2553 (Part 2),PROD-00193,Safety Glass for Road Transport,SAMPLING,sampling_guidelines,Product sampling: None stated; sample size Annex-B,50,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,26,,
PMS-000268,PM-00027,,5,STD-01016,IS 2553 (Part 2),PROD-00193,Safety Glass for Road Transport,SAMPLING,grouping_guidelines,Annex-A,7,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,26,,
PMS-000275,PM-00035,,Latest indexed PM,STD-01707,IS 9573 (Part 1),PROD-00183,Rubber Hose for LPG — Industrial Application,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,27,,
PMS-000279,PM-00035,,Latest indexed PM,STD-01707,IS 9573 (Part 1),PROD-00183,Rubber Hose for LPG — Industrial Application,SAMPLING,grouping_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,27,,
PMS-000286,PM-00036,,Latest indexed PM,STD-01708,IS 9573 (Part 2),PROD-00182,Rubber Hose for LPG — Domestic/Commercial Application,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,28,,
PMS-000290,PM-00036,,Latest indexed PM,STD-01708,IS 9573 (Part 2),PROD-00182,Rubber Hose for LPG — Domestic/Commercial Application,SAMPLING,grouping_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,28,,
PMS-000297,PM-00006,,Latest indexed PM,STD-00497,IS 15392,PROD-00044,Aluminium and Aluminium Alloy Bare Foil for Food Packaging,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,29,,
PMS-000301,PM-00006,,Latest indexed PM,STD-00497,IS 15392,PROD-00044,Aluminium and Aluminium Alloy Bare Foil for Food Packaging,SAMPLING,grouping_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,29,,
PMS-000308,PM-00022,,Latest indexed PM,STD-00836,IS 17875,PROD-00265,Stainless Steel Seamless Pipes and Tubes for General Service,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,30,,
PMS-000312,PM-00022,,Latest indexed PM,STD-00836,IS 17875,PROD-00265,Stainless Steel Seamless Pipes and Tubes for General Service,SAMPLING,grouping_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,30,,
PMS-000319,PM-00023,,Latest indexed PM,STD-00837,IS 17876,PROD-00268,Stainless Steel Welded Pipes and Tubes for General Service,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,31,,
PMS-000323,PM-00023,,Latest indexed PM,STD-00837,IS 17876,PROD-00268,Stainless Steel Welded Pipes and Tubes for General Service,SAMPLING,grouping_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,31,,
PMS-000330,PM-00024,,Latest indexed PM,STD-00947,IS 2083,PROD-00097,Flashlight,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,32,,
PMS-000334,PM-00024,,Latest indexed PM,STD-00947,IS 2083,PROD-00097,Flashlight,SAMPLING,grouping_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,32,,
PMS-000341,PM-00030,,Latest indexed PM,STD-01090,IS 302 (Part 1),PROD-00207,Safety of Household and Similar Electrical Appliances — General Requirements,SAMPLING,sampling_guidelines,See product manual/SIT,22,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,33,,
PMS-000345,PM-00030,,Latest indexed PM,STD-01090,IS 302 (Part 1),PROD-00207,Safety of Household and Similar Electrical Appliances — General Requirements,SAMPLING,grouping_guidelines,Product/variant grouping as defined in PM,41,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,33,,
PMS-000352,PM-00008,,Latest indexed PM,STD-00558,IS 15844 (Part 1),PROD-00258,Sports Footwear — General Purpose,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,34,,
PMS-000356,PM-00008,,Latest indexed PM,STD-00558,IS 15844 (Part 1),PROD-00258,Sports Footwear — General Purpose,SAMPLING,grouping_guidelines,Model/size/material grouping per PM,35,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,34,,
PMS-000363,PM-00009,,Latest indexed PM,STD-00559,IS 15844 (Part 2),PROD-00259,Sports Footwear — Performance Sports Footwear,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,35,,
PMS-000367,PM-00009,,Latest indexed PM,STD-00559,IS 15844 (Part 2),PROD-00259,Sports Footwear — Performance Sports Footwear,SAMPLING,grouping_guidelines,Model/material grouping,23,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,35,,
PMS-000374,PM-00010,,Latest indexed PM,STD-00560,IS 15844 (Part 3),PROD-00260,Sports Footwear — Professional Sports Footwear,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,36,,
PMS-000378,PM-00010,,Latest indexed PM,STD-00560,IS 15844 (Part 3),PROD-00260,Sports Footwear — Professional Sports Footwear,SAMPLING,grouping_guidelines,Model/material grouping,23,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,36,,
PMS-000385,PM-00012,,Latest indexed PM,STD-00718,IS 17012,PROD-00109,High Ankle Tactical Boots with PU-Rubber Sole,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,37,,
PMS-000389,PM-00012,,Latest indexed PM,STD-00718,IS 17012,PROD-00109,High Ankle Tactical Boots with PU-Rubber Sole,SAMPLING,grouping_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,37,,
PMS-000396,PM-00013,,Latest indexed PM,STD-00722,IS 17037,PROD-00047,Anti Riot Shoes,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,38,,
PMS-000400,PM-00013,,Latest indexed PM,STD-00722,IS 17037,PROD-00047,Anti Riot Shoes,SAMPLING,grouping_guidelines,Model/material grouping,23,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,38,,
PMS-000407,PM-00014,,4,STD-00725,IS 17043 (Part 1),PROD-00236,Shoes for Services,SAMPLING,sampling_guidelines,Sampling guidelines: None stated at front section; sample size per PM,69,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,39,,
PMS-000411,PM-00014,,4,STD-00725,IS 17043 (Part 1),PROD-00236,Shoes for Services,SAMPLING,grouping_guidelines,Grouping: Not applicable in front section,41,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,39,,
PMS-000418,PM-00015,,Latest indexed PM,STD-00726,IS 17043 (Part 2),PROD-00235,Shoes for General Purpose,SAMPLING,sampling_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,40,,
PMS-000422,PM-00015,,Latest indexed PM,STD-00726,IS 17043 (Part 2),PROD-00235,Shoes for General Purpose,SAMPLING,grouping_guidelines,See manual,10,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,40,,
PMS-000429,PM-00005,,Older/current lifecycle needs verification,STD-00481,IS 15298 (Part 2),PROD-00188,Safety Footwear,SAMPLING,sampling_guidelines,See applicable PM,17,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,41,,
PMS-000433,PM-00005,,Older/current lifecycle needs verification,STD-00481,IS 15298 (Part 2),PROD-00188,Safety Footwear,SAMPLING,grouping_guidelines,Product/model grouping per PM,29,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,41,,
