canonical_entity,canonical_entity_id,source_sheet,source_row,source_standard_ids,canonical_is_number,title,standard_year,part_section_label,revision,version,publication_date,revision_date,reaffirmation_review_date,standard_status,superseded_standard,superseding_standard,technical_committee,subcommittee,product_category,degree_of_equivalence,official_url,document_url
STANDARD,STD-00445,BIS Standards,12,BIS-IS-1489-2-2015,STD-1489-P2,Portland Pozzolana Cement — Specification (Part 2: Calcined Clay Based),2015,Part 2,Third Revision,v3.0 (Includes Amd 1–3),2015-05-18,2021-08-10,2025-07-20,ACTIVE,IS 1489 (Part 2):1991,N/A,CED 02 (Cement and Concrete Sectional Committee),CED 02:2 (Subcommittee for Pozzolanic & Blended Cements),Blended Hydraulic Cements,Indigenous,Published Standards,Switch to old portal
STANDARD,STD-01041,BIS Standards,13,BIS-IS-269-2015,STD-269,Ordinary Portland Cement — Specification,2015,Single Standard,Sixth Revision,v6.0 (Includes Amd 1–5),2015-12-15,2021-06-01,2025-07-20,ACTIVE,IS 269:1989 | IS 8112:1989 | IS 12269:1987,N/A,CED 02 (Cement and Concrete Sectional Committee),CED 02:1 (Subcommittee for Hydraulic Cements & Strength Grading),General Structural Cements,Indigenous / Modified (EN 197-1),Published Standards,Switch to old portal
STANDARD,STD-01273,BIS Standards,14,BIS-IS-455-2015,STD-455,Portland Slag Cement — Specification,2015,Single Standard,Fifth Revision,v5.1 (Includes Amd 1–4),2015-12-15,2021-06-01,2025-07-20,ACTIVE,IS 455:1989,N/A,CED 02 (Cement and Concrete Sectional Committee),CED 02:2 (Subcommittee for Slag & Mineral-Admixture Cements),Blended Slag Cements,Indigenous / Modified (EN 197-1),Published Standards,Switch to old portal
STANDARD,STD-01569,BIS Standards,15,BIS-IS-8041-1990,STD-8041,Rapid Hardening Portland Cement — Specification,1990,Single Standard,Second Revision,v2.2 (Includes Amd 1–5),1990-04-16,2019-10-01,2024-03-15,ACTIVE,IS 8041:1978,N/A,CED 02 (Cement and Concrete Sectional Committee),CED 02:1 (Subcommittee for High Early Strength Cements),High Early-Strength Cements,Indigenous,Published Standards,Switch to old portal
STANDARD,STD-01570,BIS Standards,16,BIS-IS-8042-2015,STD-8042,White Portland Cement — Specification,2015,Single Standard,Third Revision,v3.0 (Includes Amd 1–3),2015-12-15,2021-06-01,2025-07-20,ACTIVE,IS 8042:1989,N/A,CED 02 (Cement and Concrete Sectional Committee),CED 02:1 (Subcommittee for Aesthetic & White Cements),Decorative & Architectural Cements,Indigenous,Published Standards,Switch to old portal
STANDARD,STD-01571,BIS Standards,17,BIS-IS-8043-1991,STD-8043,Hydrophobic Portland Cement — Specification,1991,Single Standard,Second Revision,v2.1 (Includes Amd 1–4),1991-03-15,2019-10-01,2024-03-15,ACTIVE,IS 8043:1978,N/A,CED 02 (Cement and Concrete Sectional Committee),CED 02:1 (Subcommittee for Waterproofing & Hydrophobic Cements),Moisture-Resistant Cements,Indigenous,Published Standards,Switch to old portal
STANDARD,STD-00656,BIS Standards,18,BIS-IS-16415-2015,STD-16415,Composite Cement — Specification,2015,Single Standard,First Edition,v1.1 (Includes Amd 1–2),2015-12-15,2021-06-01,2025-07-20,ACTIVE,None (New multi-blend classification),N/A,CED 02 (Cement and Concrete Sectional Committee),CED 02:2 (Subcommittee for Ternary Blends & Pozzolan-Slag Mixtures),Ternary Blended Cements,Indigenous / Modified (EN 197-1),Published Standards,Switch to old portal
STANDARD,STD-01730,BIS Standards,19,BIS-IS-9873-1-2018,STD-9873-P1,Safety of Toys (Part 1: Mechanical and Physical Properties),2018,Part 1,Second Revision (Re-aligned),v2.0,2018-08-20,—,2023-11-25,ACTIVE,IS 9873 (Part 1):2012,N/A,CHD 33 (Toys and Play Equipment Sectional Committee),CHD 33:P1 (Subcommittee for Mechanical Hazard Analysis),Non-Electric Toys & Play Equipment,Identical (ISO 8124-1:2018),Published Standards,Switch to old portal
STANDARD,STD-01731,BIS Standards,20,BIS-IS-9873-2-2017,STD-9873-P2,Safety of Toys (Part 2: Flammability),2017,Part 2,Second Revision,v2.0,2017-09-15,—,2022-12-10,ACTIVE,IS 9873 (Part 2):2012,N/A,CHD 33 (Toys and Play Equipment Sectional Committee),CHD 33:P2 (Subcommittee for Flame Resistance & Textile Toys),"Fabric, Soft & Plush Toys",Identical (ISO 8124-2:2014),Published Standards,Switch to old portal
STANDARD,STD-01732,BIS Standards,21,BIS-IS-9873-3-2017,STD-9873-P3,Safety of Toys (Part 3: Migration of Certain Elements),2017,Part 3,Second Revision,v2.0,2017-09-15,—,2022-12-10,ACTIVE,IS 9873 (Part 3):2012,N/A,CHD 33 (Toys and Play Equipment Sectional Committee),CHD 33:P3 (Subcommittee for Chemical Hazards & Heavy Metal Leaching),"Paints, Coatings & Polymer Materials in Toys",Identical (ISO 8124-3:2010),Published Standards,Switch to old portal
STANDARD,STD-01733,BIS Standards,22,BIS-IS-9873-4-2017,STD-9873-P4,"Safety of Toys (Part 4: Swings, Slides and Similar Activity Toys)",2017,Part 4,First Edition,v1.0,2017-09-15,—,2022-12-10,ACTIVE,None,N/A,CHD 33 (Toys and Play Equipment Sectional Committee),"CHD 33:P4 (Subcommittee for Swings, Slides & Physical Play Installations)",Indoor/Outdoor Domestic Play Equipment,Identical (ISO 8124-4:2014),Published Standards,Switch to old portal
STANDARD,STD-00530,BIS Standards,23,BIS-IS-15644-2006,STD-15644,Safety of Electric Toys,2006,Single Standard,First Edition,v1.2 (Includes Amd 1–2),2006-03-30,2018-05-15,2021-09-18,ACTIVE,None,N/A,LITD 14/ETD 23 (Electrical Safety in Toys),LITD 14:P1 (Subcommittee for Low-Voltage Electric Toys & Power Packs),Battery-Operated & Mains Electric Toys,Modified (IEC 62115:2003),Published Standards,Switch to old portal
STANDARD,STD-01069,BIS Standards,24,BIS-IS-2835-1987,STD-2835,Flat Transparent Sheet Glass — Specification,1987,Single Standard,Third Revision,v3.1 (Includes Amd 1–3),1987-05-20,2019-08-11,2024-03-15,ACTIVE,IS 2835:1977,N/A,"CHD 10 (Glass, Glassware and Ceramicware)",CHD 10:1 (Subcommittee for Flat & Sheet Glass Products),Architectural & Window Glass,Indigenous,Published Standards,Switch to old portal
STANDARD,STD-01015,BIS Standards,25,BIS-IS-2553-1-2018,STD-2553-P1,"Safety Glass — Specification (Part 1: Architectural, Building and General)",2018,Part 1,Third Revision,v3.0 (Includes Amd 1),2018-07-16,—,2023-11-25,ACTIVE,IS 2553 (Part 1):1990,N/A,"CHD 10 (Glass, Glassware and Ceramicware)","CHD 10:2 (Subcommittee for Toughened, Laminated & Structural Safety Glass)",Toughened & Laminated Building Glass,Modified (ISO 12543 / EN 12150),Published Standards,Switch to old portal
STANDARD,STD-01016,BIS Standards,26,BIS-IS-2553-2-2019,STD-2553-P2,Safety Glass — Specification (Part 2: Road Transport),2019,Part 2,Third Revision,v3.0,2019-12-10,—,2024-11-25,ACTIVE,IS 2553 (Part 2):1992,N/A,"CHD 10 (Glass, Glassware and Ceramicware)",CHD 10:3 (Subcommittee for Automotive & Transport Glazing),Automotive Windscreens & Side Windows,Modified (ECE R43 / ISO 3537),Published Standards,Switch to old portal
STANDARD,STD-01707,BIS Standards,27,BIS-IS-9573-1-2017,STD-9573-P1,Rubber Hose for LPG (Part 1: Industrial Applications),2017,Part 1,Third Revision,v3.0,2017-06-12,—,2022-10-15,ACTIVE,IS 9573:1998,N/A,PCD 13 (Rubber and Rubber Products Sectional Committee),PCD 13:3 (Subcommittee for High-Pressure Hydrocarbon Hoses),High-Pressure LPG Transfer Hoses,Modified (ISO 2928:2003),Published Standards,Switch to old portal
STANDARD,STD-01708,BIS Standards,28,BIS-IS-9573-2-2017,STD-9573-P2,Rubber Hose for LPG (Part 2: Domestic and Commercial Applications),2017,Part 2,Third Revision,v3.0,2017-06-12,—,2022-10-15,ACTIVE,IS 9573:1998,N/A,PCD 13 (Rubber and Rubber Products Sectional Committee),PCD 13:3 (Subcommittee for Domestic Gas Tubing & Safety Connectors),Low-Pressure Domestic Gas Connectors (Suraksha Hoses),Indigenous / Modified (EN 16436),Published Standards,Switch to old portal
STANDARD,STD-00497,BIS Standards,29,BIS-IS-15392-2003,STD-15392,Aluminium & Aluminium Alloy Bare Foil for Food Packaging,2003,Single Standard,First Edition,v1.1 (Includes Amd 1–3),2003-09-25,2020-03-10,2023-12-15,ACTIVE,None,N/A,MTD 07 (Light Metals and Their Alloys),"MTD 07:1 (Subcommittee for Aluminium Foils, Thin Strips & Barrier Metals)",Food-Contact Metal Foils,Modified (ISO 209-1 / EN 546),Published Standards,Switch to old portal
STANDARD,STD-00836,BIS Standards,30,BIS-IS-17875-2022,STD-17875,Stainless Steel Seamless Pipes and Tubes — Specification,2022,Single Standard,First Edition,v1.0,2022-07-28,—,NONE,ACTIVE,None (Consolidated New Standard),N/A,"MTD 19 (Steel Tubes, Pipes and Fittings)",MTD 19:1 (Subcommittee for Seamless Alloy & Stainless Tubing),Industrial & Pressure Piping,Modified (ASTM A312 / EN 10216-5),Published Standards,Switch to old portal
STANDARD,STD-00837,BIS Standards,31,BIS-IS-17876-2022,STD-17876,Stainless Steel Welded Pipes and Tubes — Specification,2022,Single Standard,First Edition,v1.0,2022-07-28,—,NONE,ACTIVE,None (Consolidated New Standard),N/A,"MTD 19 (Steel Tubes, Pipes and Fittings)",MTD 19:2 (Subcommittee for Welded Stainless & Specialty Tubular Products),Structural & Process Welded Tubing,Modified (ASTM A249 / EN 10217-7),Published Standards,Switch to old portal
STANDARD,STD-00947,BIS Standards,32,BIS-IS-2083-2024,STD-2083,Flashlights — Specification,2024,Single Standard,Fourth Revision,v4.0,2024-04-18,—,NONE,ACTIVE,IS 2083:1991,N/A,ETD 23 (Electric Lamps and Luminaires),—,Handheld & Rechargeable Torches,Indigenous / Modified (IEC 60598-2-8),Published Standards,Switch to old portal
STANDARD,STD-01090,BIS Standards,33,BIS-IS-302-1-2024,STD-302-P1,Safety of Household and Similar Electrical Appliances (Part 1: General Requirements),2024,Part 1,Seventh Revision,v7.0,2024-02-20,—,NONE,ACTIVE,IS 302 (Part 1):2008,N/A,ETD 32 (Electrical Appliances Safety),—,Domestic Electrical Equipment,Modified (IEC 60335-1:2020),Published Standards,Switch to old portal
STANDARD,STD-00558,BIS Standards,34,BIS-IS-15844-1-2023,STD-15844-P1,Sports Footwear (Part 1: General Purpose Sports Footwear),2023,Part 1,First Edition (Split Standard),v1.0,2023-08-30,—,NONE,ACTIVE,IS 15844:2010,N/A,CHD 17 (Footwear Sectional Committee),CHD 17:P1 (Subcommittee for Consumer & Lifestyle Athletic Footwear),Consumer & Walking Sports Shoes,Indigenous / Modified (ISO 20344),Published Standards,Switch to old portal
STANDARD,STD-00559,BIS Standards,35,BIS-IS-15844-2-2023,STD-15844-P2,Sports Footwear (Part 2: Performance Sports Footwear),2023,Part 2,First Edition (Split Standard),v1.0,2023-08-30,—,NONE,ACTIVE,IS 15844:2010,N/A,CHD 17 (Footwear Sectional Committee),CHD 17:P1 (Subcommittee for Technical Running & Field Athletics Footwear),Athletic & High-Impact Running Footwear,Indigenous / Modified (ISO 20344),Published Standards,Switch to old portal
STANDARD,STD-00560,BIS Standards,36,BIS-IS-15844-3-2024,STD-15844-P3,Sports Footwear (Part 3: Professional Sports Footwear),2024,Part 3,First Edition (Split Standard),v1.0,2024-03-12,—,NONE,ACTIVE,IS 15844:2010,N/A,CHD 17 (Footwear Sectional Committee),CHD 17:P1 (Subcommittee for Elite & Tournament Level Cleated Footwear),Specialized Competitive & Field Sports Shoes,Indigenous / Modified (ISO 20344),Published Standards,Switch to old portal
STANDARD,STD-00718,BIS Standards,37,BIS-IS-17012-2018,STD-17012,PU-Rubber Sole High-Ankle Tactical Boots — Specification,2018,Single Standard,First Edition,v1.0,2018-11-22,—,2023-11-25,ACTIVE,None,N/A,CHD 17 (Footwear Sectional Committee),CHD 17:P2 (Subcommittee for Combat & Tactical Boots),"Military, Combat & Field Operations Footwear",Indigenous / Special Defence Norm,Published Standards,Switch to old portal
STANDARD,STD-00722,BIS Standards,38,BIS-IS-17037-2018,STD-17037,Anti-Riot Shoes — Specification,2018,Single Standard,First Edition,v1.0,2018-12-14,—,2023-11-25,ACTIVE,None,N/A,CHD 17 (Footwear Sectional Committee),CHD 17:P2 (Subcommittee for Law Enforcement & Riot Protection Gear),Police & Crowd Control Impact Protective Footwear,Indigenous / Special Protective Norm,Published Standards,Switch to old portal
STANDARD,STD-00725,BIS Standards,39,BIS-IS-17043-1-2024,STD-17043-P1,Footwear for Services (Part 1: Uniform and Formal Service Footwear),2024,Part 1,First Edition (Split Standard),v1.0,2024-05-10,—,NONE,ACTIVE,IS 17043:2018,N/A,CHD 17 (Footwear Sectional Committee),CHD 17:P3 (Subcommittee for Executive Uniform & Service Footwear),"Uniform, Executive & Formal Occupational Shoes",Indigenous / Modified (ISO 20347),Published Standards,Switch to old portal
STANDARD,STD-00726,BIS Standards,40,BIS-IS-17043-2-2024,STD-17043-P2,Footwear for Services (Part 2: General-Purpose Utility Footwear),2024,Part 2,First Edition (Split Standard),v1.0,2024-05-10,—,NONE,ACTIVE,IS 17043:2018,N/A,CHD 17 (Footwear Sectional Committee),CHD 17:P3 (Subcommittee for Daily Utility & Occupational Field Shoes),Daily Occupational Utility Footwear,Indigenous / Modified (ISO 20347),Published Standards,Switch to old portal
STANDARD,STD-00481,BIS Standards,41,BIS-IS-15298-2-2016,STD-15298-P2,Personal Protective Equipment (Part 2: Safety Footwear),2016,Part 2,Second Revision,v2.1 (Includes Amd 1–2),2016-11-28,2021-04-14,2021-12-20,ACTIVE,IS 15298 (Part 2):2011,N/A,CHD 17 (Footwear Sectional Committee),CHD 17:P4 (Subcommittee for Industrial PPE & Toe-Cap Protection Standards),Industrial 200J Toe-Cap Protective Footwear,Identical (ISO 20345:2011),Published Standards,Switch to old portal
