canonical_entity,canonical_entity_id,source_sheet,source_row,source_amendment_ids,canonical_is_number,amended_from_version,amendment_reference,amendment_date,amended_to_version,effective_date,superseded_document,superseding_document,amendment_status,source_url,document_url
STANDARD,STD-00214,BIS_Standards_Amendments,12,AM-12600-00,STD-12600,IS 12600:1989,No separately verified amendment,—,IS 12600:1989,NONE,—,—,ACTIVE,BIS Product Manual/Standards,BIS Product Manual repository
STANDARD,STD-00444,BIS_Standards_Amendments,13,AM-1489P1-01,STD-1489-P1,IS 1489 Part 1:2015,Amendment No. 1,2018-07,IS 1489 Part 1:2015 + Amendment 1,NONE,Original text,Amendment 1,ACTIVE,BIS amendment record,Amendment No.1 July 2018
STANDARD,STD-00445,BIS_Standards_Amendments,14,AM-1489P2-00,STD-1489-P2,IS 1489 Part 2:2015,No separately verified amendment,—,IS 1489 Part 2:2015,NONE,—,—,ACTIVE,BIS Product Manual repository,BIS Product Manuals
STANDARD,STD-01041,BIS_Standards_Amendments,15,AM-269-01,STD-269,IS 269:2015,Amendment No. 1,2023-05,IS 269:2015 + Amendment 1,NONE,Original IS 269:2015 provisions affected by amendment,Amendment No.1,ACTIVE,BIS amendment record,Amendment No.1 May 2023
STANDARD,STD-01273,BIS_Standards_Amendments,16,AM-455-01,STD-455,IS 455:2015,Amendment No. 1,2018-06,IS 455:2015 + Amendment 1,NONE,Original IS 455:2015 provision,Amendment No.1,ACTIVE,BIS amendment record,Amendment No.1 June 2018
STANDARD,STD-01569,BIS_Standards_Amendments,17,AM-8041-R,STD-8041,IS 8041:1990,Revision,2026,IS 8041:2026,NONE,IS 8041:1990,IS 8041:2026,SUPERSEDED,BIS Standards record,BIS Standard Details — IS 8041:2026
STANDARD,STD-01570,BIS_Standards_Amendments,18,AM-8042-01,STD-8042,IS 8042:2015,Amendment No. 1,2023,IS 8042:2015 + Amendment 1,2024-02-17,IS 8042:2015 without amendment,Amendment No.1,OTHER,BIS implementation circular,BIS Circular — IS 8042 Amendment 1
STANDARD,STD-01571,BIS_Standards_Amendments,19,AM-8043-00,STD-8043,IS 8043:1991,No separately verified amendment,—,IS 8043:1991,NONE,—,—,ACTIVE,BIS Standards records,BIS Product Manual repository
STANDARD,STD-00656,BIS_Standards_Amendments,20,AM-16415-01,STD-16415,IS 16415:2015,Amendment No. 1,2023-02,IS 16415:2015 + Amendment 1,2023-08-09,IS 16415:2015 without amendment,Amendment No.1,OTHER,BIS implementation circular,BIS Circular — IS 16415 Amendment 1
STANDARD,STD-01730,BIS_Standards_Amendments,21,AM-9873P1-R,STD-9873-P1,IS 9873 Part 1:2012,Revision/version transition,NONE,Current BIS toy framework,NONE,Historical 2012 edition,Later BIS edition,OTHER,BIS current Scheme-I listing,BIS Scheme-I
STANDARD,STD-01731,BIS_Standards_Amendments,22,AM-9873P2-00,STD-9873-P2,IS 9873 Part 2:2017,No separately verified standard amendment in retrieved source,—,IS 9873 Part 2:2017,NONE,—,—,ACTIVE,BIS Scheme-I/Product Manual,BIS Scheme-I
STANDARD,STD-01732,BIS_Standards_Amendments,23,AM-9873P3-00,STD-9873-P3,IS 9873 Part 3:2017,No separately verified standard amendment in retrieved source,—,IS 9873 Part 3:2017,NONE,—,—,ACTIVE,BIS Scheme-I/Product Manual,BIS Scheme-I
STANDARD,STD-01733,BIS_Standards_Amendments,24,AM-9873P4-00,STD-9873-P4,IS 9873 Part 4:2017,No separately verified standard amendment in retrieved source,—,IS 9873 Part 4:2017,NONE,—,—,ACTIVE,BIS Scheme-I/Product Manual,BIS Scheme-I
STANDARD,STD-00530,BIS_Standards_Amendments,25,AM-15644-00,STD-15644,IS 15644:2006,No separately verified standard amendment in retrieved source,—,IS 15644:2006,NONE,—,—,ACTIVE,BIS Product Manual,BIS Product Manuals
STANDARD,STD-01069,BIS_Standards_Amendments,26,AM-2835-00,STD-2835,IS 2835:1987,No separately verified amendment in retrieved source,—,IS 2835:1987,NONE,—,—,ACTIVE,BIS Product Manual,BIS Product Manuals
STANDARD,STD-01015,BIS_Standards_Amendments,27,AM-2553P1-02,STD-2553-P1,IS 2553 Part 1:2018,Amendment No. 2,2025-01,IS 2553 Part 1:2018 + Amendment 2,2025-01-28,Previous IS 2553 Part 1 text,Amendment No.2,OTHER,BIS implementation circular,BIS Circular — Amendment 2
STANDARD,STD-01016,BIS_Standards_Amendments,28,AM-2553P2-00,STD-2553-P2,IS 2553 Part 2:2019,No separate standard amendment verified here,—,IS 2553 Part 2:2019,NONE,—,—,ACTIVE,BIS Standards,BIS Product Manuals
STANDARD,STD-01707,BIS_Standards_Amendments,29,AM-9573P1-00,STD-9573-P1,IS 9573 Part 1:2017,No separate amendment verified,—,IS 9573 Part 1:2017,NONE,—,—,ACTIVE,BIS Product Manual,BIS Product Specific Guidelines
STANDARD,STD-01708,BIS_Standards_Amendments,30,AM-9573P2-00,STD-9573-P2,IS 9573 Part 2:2017,No separate amendment verified,—,IS 9573 Part 2:2017,NONE,—,—,ACTIVE,BIS Product Manual,BIS Product Specific Guidelines
STANDARD,STD-00497,BIS_Standards_Amendments,31,AM-15392-01,STD-15392,IS 15392:2003,Amendment No. 1,2022-05-02,IS 15392:2003 + Amendment 1,2022-10-04,Original scope/requirements,Amendment No.1,OTHER,BIS implementation circular,BIS Circular — IS 15392 Amendment 1
STANDARD,STD-00836,BIS_Standards_Amendments,32,AM-17875-00,STD-17875,IS 17875:2022,No separate standard amendment verified,—,IS 17875:2022,NONE,—,—,ACTIVE,BIS Product Manual/Standards,BIS Product Manuals
STANDARD,STD-00837,BIS_Standards_Amendments,33,AM-17876-00,STD-17876,IS 17876:2022,No separate standard amendment verified,—,IS 17876:2022,NONE,—,—,ACTIVE,BIS Product Manual/Standards,BIS Product Manuals
STANDARD,STD-00947,BIS_Standards_Amendments,34,AM-2083-00,STD-2083,IS 2083:2024,No separate standard amendment verified,—,IS 2083:2024,NONE,—,—,ACTIVE,BIS Product Manual,BIS Product Manuals
STANDARD,STD-01090,BIS_Standards_Amendments,35,AM-302P1-R,STD-302-P1,IS 302 Part 1:2008,Revision,2024,IS 302 Part 1:2024,NONE,IS 302 Part 1:2008,IS 302 Part 1:2024,ACTIVE,BIS Scheme-I/QCO,BIS Scheme-I
STANDARD,STD-00558,BIS_Standards_Amendments,36,AM-15844P1-00,STD-15844-P1,IS 15844 Part 1:2023,No separate amendment verified,—,IS 15844 Part 1:2023,NONE,—,—,ACTIVE,BIS Product Manual,BIS Product Manuals
STANDARD,STD-00559,BIS_Standards_Amendments,37,AM-15844P2-00,STD-15844-P2,IS 15844 Part 2:2023,No separate amendment verified,—,IS 15844 Part 2:2023,NONE,—,—,ACTIVE,BIS Product Manual,BIS Product Manuals
STANDARD,STD-00560,BIS_Standards_Amendments,38,AM-15844P3-00,STD-15844-P3,IS 15844 Part 3:2024,No separate amendment verified,—,IS 15844 Part 3:2024,NONE,—,—,ACTIVE,BIS Product Manual,BIS Product Manuals
STANDARD,STD-00718,BIS_Standards_Amendments,39,AM-17012-00,STD-17012,IS 17012:2018,No separate amendment verified,—,IS 17012:2018,NONE,—,—,ACTIVE,BIS Product Manual,BIS Product Manuals
STANDARD,STD-00722,BIS_Standards_Amendments,40,AM-17037-00,STD-17037,IS 17037:2018,No separate amendment verified,—,IS 17037:2018,NONE,—,—,ACTIVE,BIS Product Manual,BIS Product Manuals
STANDARD,STD-00725,BIS_Standards_Amendments,41,AM-17043P1-00,STD-17043-P1,IS 17043 Part 1:2024,No separate amendment verified,—,IS 17043 Part 1:2024,NONE,—,—,ACTIVE,BIS Product Manual,BIS Product Manuals
STANDARD,STD-00726,BIS_Standards_Amendments,42,AM-17043P2-D1,STD-17043-P2,IS 17043 Part 2:2024,Draft Amendment No.1,2024-10,Proposed amendment,NONE,IS 17043 Part 2:2024,Draft amendment,DRAFT,BIS draft,BIS Draft Amendment
STANDARD,STD-00481,BIS_Standards_Amendments,43,AM-15298P2-R,STD-15298-P2,IS 15298 Part 2:2016,Revision,NONE,Later BIS edition,NONE,IS 15298 Part 2:2016,Later edition,OTHER,BIS LIMS,BIS LIMS
