canonical_entity,canonical_entity_id,source_sheet,source_row,source_qco_ids,qco_name,qco_number,qco_product_text,related_is_text,notification_number,notification_date,effective_date,ministry,department,mandatory_status,qco_schemes_text,qco_scope,qco_exclusions,qco_amendments,qco_extensions,qco_deferments,qco_corrigendas,qco_supersession,qco_status,official_document_url,source_url
QCO,QCO-00052,BIS_QCO-schema_2,12,QCO-CEMENT-2003,"Cement (Quality Control) Order, 2003",No. t stated,Portland Pozzolana Cement — Part 2 Calcined clay based,IS 1489 (Part 2):2015,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,PPC Part 2 Calcined clay based,Order-specific exemptions,Latest amendments/version notifications,Not separately stated,Not separately stated,Not separately stated,Current Cement QCO,ACTIVE,Cement QCO source,BIS Cement mandatory standards
QCO,QCO-00052,BIS_QCO-schema_2,13,QCO-CEMENT-2003,"Cement (Quality Control) Order, 2003",No. t stated,Ordinary Portland Cement,IS 269:2015,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Ordinary Portland Cement,Order-specific exemptions,Latest amendments/version notifications,Not separately stated,Not separately stated,Not separately stated,Current Cement QCO,ACTIVE,Cement QCO source,BIS Cement mandatory standards
QCO,QCO-00052,BIS_QCO-schema_2,14,QCO-CEMENT-2003,"Cement (Quality Control) Order, 2003",No. t stated,Portland Slag Cement,IS 455:2015,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Portland Slag Cement,Order-specific exemptions,Latest amendments/version notifications,Not separately stated,Not separately stated,Not separately stated,Current Cement QCO,ACTIVE,Cement QCO source,BIS Cement mandatory standards
QCO,QCO-00052,BIS_QCO-schema_2,15,QCO-CEMENT-2003,"Cement (Quality Control) Order, 2003",No. t stated,Rapid hardening Portland Cement,IS 8041:1990,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Rapid hardening Portland Cement,Order-specific exemptions,Latest amendments/version notifications,Not separately stated,Not separately stated,Not separately stated,Current Cement QCO,ACTIVE,Cement QCO source,BIS Cement mandatory standards
QCO,QCO-00052,BIS_QCO-schema_2,16,QCO-CEMENT-2003,"Cement (Quality Control) Order, 2003",No. t stated,White Portland Cement,IS 8042:2015,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,White Portland Cement,Order-specific exemptions,Latest amendments/version notifications,Not separately stated,Not separately stated,Not separately stated,Current Cement QCO,ACTIVE,Cement QCO source,BIS Cement mandatory standards
QCO,QCO-00052,BIS_QCO-schema_2,17,QCO-CEMENT-2003,"Cement (Quality Control) Order, 2003",No. t stated,Hydrophobic Portland Cement,IS 8043:1991,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Hydrophobic Portland Cement,Order-specific exemptions,Latest amendments/version notifications,Not separately stated,Not separately stated,Not separately stated,Current Cement QCO,ACTIVE,Cement QCO source,BIS Cement mandatory standards
QCO,QCO-00052,BIS_QCO-schema_2,18,QCO-CEMENT-2003,"Cement (Quality Control) Order, 2003",No. t stated,Composite Cement,IS 16415:2015,S.O. 191(E),2003-02-17,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Composite Cement,Order-specific exemptions,Latest amendments/version notifications,Not separately stated,Not separately stated,Not separately stated,Current Cement QCO,ACTIVE,Cement QCO source,BIS Cement mandatory standards
QCO,QCO-00052,BIS_QCO-schema_2,19,QCO-TOYS-2020,"Toys (Quality Control) Order, 2020",No. t stated,Safety of Toys — Part 1,IS 9873 (Part 1):2012,S.O. 853(E),2020-02-25,2020-09-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Non-electric toys; mechanical and physical safety requirements,Export and order-specific exemptions,Toys QCO Amendment Orders 2020 | Second Amendment 2020 | S.O. 4277(E) | 01-Oct-2024,"Transition Facilitation (Quality Control) Order, 2026, S.O. 3417(E), 25-Jun-2026",Transition provisions,Not separately stated,Latest BIS Scheme-I listing currently shows IS 9873 Part 1:2018; user's 2012 edition should be retained as historical/input value,ACTIVE,Toys QCO source,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,20,QCO-TOYS-2020,"Toys (Quality Control) Order, 2020",No. t stated,Safety of Toys — Part 2 Flammability,IS 9873 (Part 2):2017,S.O. 853(E),2020-02-25,2020-09-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Toy flammability requirements,Export and order-specific exemptions,2020 amendments | 2024 amendment S.O. 4277(E),"S.O. 3417(E), 25-Jun-2026",Transition provisions,Not separately stated,Not separately stated,ACTIVE,Toys QCO source,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,21,QCO-TOYS-2020,"Toys (Quality Control) Order, 2020",No. t stated,Safety Requirements for Toys — Part 3 Migration of Certain Elements,IS 9873 (Part 3):2017,S.O. 853(E),2020-02-25,2020-09-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Migration of certain elements from toys,Export and order-specific exemptions,2020 amendments | 2024 amendment S.O. 4277(E),"S.O. 3417(E), 25-Jun-2026",Transition provisions,Not separately stated,Not separately stated,ACTIVE,Toys QCO source,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,22,QCO-TOYS-2020,"Toys (Quality Control) Order, 2020",No. t stated,Safety of Toys — Part 4 Swings | Slides and Similar Activity Toys,IS 9873 (Part 4):2017,S.O. 853(E),2020-02-25,2020-09-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,"Swings, slides and similar activity toys",Export and order-specific exemptions,2020 amendments | 2024 amendment S.O. 4277(E),"S.O. 3417(E), 25-Jun-2026",Transition provisions,Not separately stated,Not separately stated,ACTIVE,Toys QCO source,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,23,QCO-TOYS-2020,"Toys (Quality Control) Order, 2020",No. t stated,Safety of Electric Toys,IS 15644:2006,S.O. 853(E),2020-02-25,2020-09-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Electric toys,Export and order-specific exemptions,2020 amendments | 2024 amendment S.O. 4277(E),"S.O. 3417(E), 25-Jun-2026",Transition provisions,Not separately stated,Not separately stated,ACTIVE,Toys QCO source,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,24,QCO-FLAT-GLASS-2021,"Flat Transparent Sheet Glass (Quality Control) Order, 2021",No. t stated,Flat Transparent Sheet Glass,IS 2835:1987,S.O. 4144(E),2021-10-07,2022-04-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Flat transparent sheet glass,Export and QCO-specific exemptions,Related 2020 amendment S.O. 2017(E),Not separately stated,Not separately stated,Not separately stated,"Superseded Flat Transparent Sheet Glass QCO 2020, S.O. 738(E)",ACTIVE,Flat Transparent Sheet Glass QCO 2021,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,25,QCO-SAFETY-GLASS-2020,"Safety Glass (Quality Control) Order, 2020",No. t stated,Safety Glass — Architecture | Building and General Uses,IS 2553 (Part 1):2018,S.O. 1045(E),2020-03-12,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,"Safety glass for architecture, building and general uses",Includes specified vehicle import exemption and export exclusions,S.O. 2018(E) | 23-Jun-2020 | S.O. 3190(E) | 18-Sep-2020 | 2021 amendment | S.O. 620(E) | 10-Feb-2022 | S.O. 1431(E) | 24-Mar-2023,S.O. 2018(E) and subsequent implementation-date changes,Implementation deferred/extended through amendments,Not separately stated,Not superseded,ACTIVE,Safety Glass QCO 2020,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,26,QCO-SAFETY-GLASS-2020,"Safety Glass (Quality Control) Order, 2020",No. t stated,Safety Glass — Road Transport,IS 2553 (Part 2):2019,S.O. 1045(E),2020-03-12,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Safety glass for road transport,"Safety glass used in vehicle imported in India by vehicle manufacturer under Rule 126 CMVR, 1989 is excluded by amendment",S.O. 2018(E) | S.O. 3190(E) | 2021 amendment | S.O. 620(E) | S.O. 1431(E),Implementation extensions,Implementation deferred/extended,Not separately stated,Not superseded,ACTIVE,Safety Glass QCO 2020,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,27,QCO-LPG-HOSE-2020,"Rubber Hose for Liquefied Petroleum Gas (LPG) (Quality Control) Order, 2020",No. t stated,Rubber Hose for LPG — Industrial Application,IS 9573 (Part 1):2017,S.O. 478(E),2020-01-28,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Industrial LPG rubber hose,Goods meant for export / QCO-specific exclusions,Not separately stated on current BIS listing,Not separately stated,Not separately stated,Not separately stated,Not superseded,ACTIVE,BIS Scheme-I page,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,28,QCO-LPG-HOSE-2020,"Rubber Hose for Liquefied Petroleum Gas (LPG) (Quality Control) Order, 2020",No. t stated,Rubber Hose for LPG — Domestic and Commercial Application,IS 9573 (Part 2):2017,S.O. 478(E),2020-01-28,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Domestic and commercial LPG rubber hose,Goods meant for export / QCO-specific exclusions,Not separately stated on current BIS listing,Not separately stated,Not separately stated,Not separately stated,Not superseded,ACTIVE,BIS Scheme-I page,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,29,QCO-AL-FOIL-2020,"Aluminium Foil (Quality Control) Order, 2020",No. t stated,Aluminium and Aluminium Alloy Bare Foil for Food Packaging,IS 15392:2003,S.O. 687(E),2020-02-13,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Aluminium and aluminium alloy bare foil for food packaging,Order-specific exclusions,Not separately stated on current BIS listing,Not separately stated,Not separately stated,Not separately stated,Not superseded,ACTIVE,BIS Scheme-I page,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,30,QCO-SS-PIPES-2025,"Stainless Steel Pipes and Tubes (Quality Control) Order, 2025",No. t stated,Stainless Steel Seamless Pipes and Tubes for General Service,IS 17875:2022,S.O. 693(E),2025-02-10,2025-08-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Stainless steel seamless pipes and tubes for general service,Domestically manufactured goods for export; specified R&D/import and stock provisions,Not separately stated,Stock/implementation facilitation provisions,Not separately stated,Not separately stated,Not superseded,ACTIVE,Stainless Steel Pipes and Tubes QCO 2025,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,31,QCO-SS-PIPES-2025,"Stainless Steel Pipes and Tubes (Quality Control) Order, 2025",No. t stated,Stainless Steel Welded Pipes and Tubes for General Service,IS 17876:2022,S.O. 693(E),2025-02-10,2025-08-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Stainless steel welded pipes and tubes for general service,Domestically manufactured goods for export; specified R&D/import and stock provisions,Not separately stated,Stock/implementation facilitation provisions,Not separately stated,Not separately stated,Not superseded,ACTIVE,Stainless Steel Pipes and Tubes QCO 2025,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,32,QCO-FLASHLIGHT-2025,"Flashlight (Quality Control) Order, 2025",No. t stated,Flashlight,IS 2083:2024,S.O. 501(E),2025-01-28,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Flashlight conforming to IS 2083:2024,Export and specified exemptions,None separately identified in current BIS listing,"S.O. 775(E), 13-Feb-2026; S.O. 776(E), 13-Feb-2026 are exemption orders",Not separately stated,Not separately stated,Not superseded,ACTIVE,BIS Scheme-I page,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,33,QCO-ELECTRICAL-APPLIANCES-2024,"Safety of Household, Commercial and Similar Electrical Appliances (Quality Control) Order, 2024",No. t stated,All Electrical Appliances,IS 302 (Part 1):2024,S.O. 4098(E),2024-09-20,NONE,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,"Electrical appliances for household, commercial or similar applications with rated voltage not exceeding 250V single phase AC or 415V three phase AC and not covered by another QCO",Export; specified R&D/import and MSME provisions,Safety of Household | Commercial and Similar Electrical Appliances QCO 2025 | S.O. 2232(E) | 19-May-2025,MSME/implementation provisions,Implementation timelines differentiated by enterprise type,Not separately stated,2025 QCO modifies/continues regulatory framework,ACTIVE,Electrical Appliances QCO 2024,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,34,QCO-FOOTWEAR-LEATHER-2024,"Footwear made from Leather and other Materials (Quality Control) Order, 2024",No. t stated,Sports Footwear for General Purpose,IS 15844 (Part 1):2023,S.O. 1421(E),2024-03-15,2024-08-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Sports footwear — general purpose,Export; micro/small manufacturing units; declared old stock subject to conditions,QCO-specific amendments including 2024/2026 regulatory changes,Transition/exemption facilitation applicable,Not separately stated,Not separately stated,Superseded 2022 QCO,ACTIVE,Footwear QCO 2024,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,35,QCO-FOOTWEAR-LEATHER-2024,"Footwear made from Leather and other Materials (Quality Control) Order, 2024",No. t stated,Sports Footwear for Performance Sports Footwear,IS 15844 (Part 2):2023,S.O. 1421(E),2024-03-15,2024-08-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Performance sports footwear,Same QCO exclusions,QCO amendments/updates,Transition/exemption facilitation,Not separately stated,Not separately stated,Superseded 2022 QCO,ACTIVE,Footwear QCO 2024,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,36,QCO-FOOTWEAR-LEATHER-2024,"Footwear made from Leather and other Materials (Quality Control) Order, 2024",No. t stated,Sports Footwear for Professional Sports Footwear,IS 15844 (Part 3):2024,S.O. 1421(E),2024-03-15,2024-08-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Professional sports footwear,Same QCO exclusions,QCO amendments/updates,Transition/exemption facilitation,Not separately stated,Not separately stated,Superseded 2022 QCO,ACTIVE,Footwear QCO 2024,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,37,QCO-FOOTWEAR-LEATHER-2024,"Footwear made from Leather and other Materials (Quality Control) Order, 2024",No. t stated,High ankle tactical boots with PU-Rubber sole,IS 17012:2018,S.O. 1421(E),2024-03-15,2024-08-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,High ankle tactical boots with PU-rubber sole,Same QCO exclusions,QCO amendments/updates,Transition/exemption facilitation,Not separately stated,Not separately stated,Superseded 2022 QCO,ACTIVE,Footwear QCO 2024,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,38,QCO-FOOTWEAR-LEATHER-2024,"Footwear made from Leather and other Materials (Quality Control) Order, 2024",No. t stated,Antiriot shoes,IS 17037:2018,S.O. 1421(E),2024-03-15,2024-08-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Antiriot shoes,Same QCO exclusions,QCO amendments/updates,Transition/exemption facilitation,Not separately stated,Not separately stated,Superseded 2022 QCO,ACTIVE,Footwear QCO 2024,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,39,QCO-FOOTWEAR-LEATHER-2024,"Footwear made from Leather and other Materials (Quality Control) Order, 2024",No. t stated,Shoes for Services,IS 17043 (Part 1):2024,S.O. 1421(E),2024-03-15,2024-08-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Shoes for services,Same QCO exclusions,QCO amendments/updates,Transition/exemption facilitation,Not separately stated,Not separately stated,Superseded 2022 QCO,ACTIVE,Footwear QCO 2024,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,40,QCO-FOOTWEAR-LEATHER-2024,"Footwear made from Leather and other Materials (Quality Control) Order, 2024",No. t stated,Shoes for General Purpose,IS 17043 (Part 2):2024,S.O. 1421(E),2024-03-15,2024-08-01,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,Shoes for general purpose,Same QCO exclusions,QCO amendments/updates,Transition/exemption facilitation,Not separately stated,Not separately stated,Superseded 2022 QCO,ACTIVE,Footwear QCO 2024,BIS Scheme-I page
QCO,QCO-00052,BIS_QCO-schema_2,41,QCO-PPE-FOOTWEAR-2020,"Personal Protective Equipment – Footwear (Quality Control) Order, 2020",No. t stated,Personal Protective Equipment — Safety Footwear,IS 15298 (Part 2):2016,S.O. 3857(E),2020-10-27,2020-10-27,Ministry of Commerce and Industry,DPIIT,MANDATORY,Scheme-I,PPE Safety Footwear,Goods meant for export,S.O. 4377(E) | 04-Dec-2020 | 2021 amendment,"Transition Facilitation (Quality Control) Order, 2026",Not separately stated,Not separately stated,Not superseded,ACTIVE,PPE Footwear QCO 2020,BIS Scheme-I page
