canonical_entity,canonical_entity_id,source_sheet,source_row,source_url,document_type,title,http_status,content_type,bytes,last_modified,sha256,dedup_status,source_document_ids,retrieved_at,notes
DOCUMENT,DOC-00040,,24,https://www.bis.gov.in/wp-content/uploads/2020/06/AIR1-Form-VI.pdf,OFFICIAL_DOCUMENT,Nomination of AIR - Form VI (duplicate URL),200,application/pdf,8754,"Mon, 29 Jun 2026 12:28:43 GMT",9a54cdabe41f30ce52859eaa7b65f41bb6c62031bc60abd8153bc0356523a221,DUPLICATE_BYTE_IDENTICAL,DOC-FMCS-FORM-VI-AIR-NOMINATION,2026-08-31,Byte-identical to 2019/04/AIR1-Form-VI.pdf despite different upload folder and Last-Modified
DOCUMENT,DOC-00028,,25,https://www.bis.gov.in/wp-content/uploads/2018/11/FormforNomination.pdf,OFFICIAL_DOCUMENT,Form for Nomination,200,application/pdf,8284,"Mon, 29 Jun 2026 12:27:55 GMT",4cd322f2e886902d822522de29fb3e39184f0d8c8f6e5e3c225c19fb67065563,CANONICAL,DOC-FMCS-NOMINATION-FORM,2026-08-31,"PDF 1.5, 1 page. Distinct hash from AIR1-Form-VI.pdf so retained as a separate document"
DOCUMENT,DOC-00022,,26,https://www.bis.gov.in/wp-content/uploads/2018/11/agreementFormIX.pdf,OFFICIAL_DOCUMENT,Agreement (Form IX),200,application/pdf,164219,"Mon, 29 Jun 2026 12:27:55 GMT",1651189cd163e28516db421eee856d7b84004ee1628a4f6c007c8f47dbc592b2,CANONICAL,DOC-FMCS-FORM-IX-AGREEMENT,2026-08-31,"PDF 1.5, 6 pages. Lower-case a in filename is the working URL"
DOCUMENT,DOC-00022,,27,https://www.bis.gov.in/wp-content/uploads/2018/11/AgreementFormIX.pdf,BROKEN_LINK,Agreement Form IX - alternate URL,200,text/html; charset=UTF-8,520098,NULL,NULL,SOFT_404,DOC-FMCS-FORM-IX-AGREEMENT-ALTURL,2026-08-31,HTTP 200 but content-type text/html and no %PDF- magic bytes: BIS serves an HTML error page. SHA-256 of the error page was cf105bfe5f653c232123701458e336bd71ae1759a03cb18c26ab1521051424c5 and is deliberately NOT recorded as the document hash
DOCUMENT,DOC-00029,,28,https://www.bis.gov.in/wp-content/uploads/2018/11/IndemnityBondformX-1.pdf,OFFICIAL_DOCUMENT,Indemnity Bond (Form X),200,application/pdf,21362,"Mon, 29 Jun 2026 12:27:55 GMT",f4f1557c84c35a10cf2e698bd752dbd49e9cba4efdb81ac45c7f88b6f2913412,CANONICAL,DOC-FMCS-FORM-X-INDEMNITY-BOND,2026-08-31,"PDF 1.4, 1 page"
DOCUMENT,DOC-00030,,29,https://www.bis.gov.in/wp-content/uploads/2018/11/IndemnityBondformX.pdf,OFFICIAL_DOCUMENT,Indemnity Bond Form X (duplicate URL),200,application/pdf,21362,"Mon, 29 Jun 2026 12:27:55 GMT",f4f1557c84c35a10cf2e698bd752dbd49e9cba4efdb81ac45c7f88b6f2913412,DUPLICATE_BYTE_IDENTICAL,DOC-FMCS-FORM-X-INDEMNITY-BOND,2026-08-31,Byte-identical to IndemnityBondformX-1.pdf
DOCUMENT,DOC-00032,,30,https://www.bis.gov.in/wp-content/uploads/2018/11/PerformanceBankGuaranteePBGFormXI-1.pdf,OFFICIAL_DOCUMENT,Performance Bank Guarantee (PBG) - Form XI,200,application/pdf,123156,"Mon, 29 Jun 2026 12:27:56 GMT",02970432149692f63050af12627b71b3161dac648fd536220d8dbfddfe81f9d6,CANONICAL,DOC-FMCS-FORM-XI-PBG,2026-08-31,"PDF 1.5, 2 pages"
DOCUMENT,DOC-00033,,31,https://www.bis.gov.in/wp-content/uploads/2018/11/PERFORMANCEBANKGUARANTEEPBGformXI.pdf,BROKEN_LINK,PBG Form XI - alternate URL,200,text/html; charset=UTF-8,520098,NULL,NULL,SOFT_404,DOC-FMCS-FORM-XI-PBG-ALTURL,2026-08-31,HTTP 200 but content-type text/html and no %PDF- magic bytes. SHA-256 of the error page was 95c80e9a242ca9b67aa4dd184956fdcf890bec8f01df41aea93e5374ea852583 and is NOT recorded as the document hash
DOCUMENT,DOC-00037,,32,https://www.bis.gov.in/wp-content/uploads/2019/03/Renewal-application-Form-XII.pdf,OFFICIAL_DOCUMENT,Renewal Application (Form XII),200,application/pdf,112740,"Mon, 29 Jun 2026 12:27:55 GMT",7ddb94bdcce7515ef880142aad0cbe49278475042136a13291e12e17783865d0,CANONICAL,DOC-FMCS-FORM-XII-RENEWAL,2026-08-31,"PDF 1.5, 2 pages"
DOCUMENT,DOC-00034,,33,https://www.bis.gov.in/wp-content/uploads/2018/11/RenewalApplicationFormXII.pdf,OFFICIAL_DOCUMENT,Renewal Application Form XII (duplicate URL),200,application/pdf,112740,"Mon, 29 Jun 2026 12:27:55 GMT",7ddb94bdcce7515ef880142aad0cbe49278475042136a13291e12e17783865d0,DUPLICATE_BYTE_IDENTICAL,DOC-FMCS-FORM-XII-RENEWAL,2026-08-31,Byte-identical to 2019/03/Renewal-application-Form-XII.pdf
DOCUMENT,DOC-00031,,34,https://www.bis.gov.in/wp-content/uploads/2018/11/ManufactureMachineryFormI.pdf,OFFICIAL_DOCUMENT,Manufacturing Machinery (Form I),200,application/pdf,135983,"Mon, 29 Jun 2026 12:27:55 GMT",9ba2e3b36448f2e90cef901a5e31ec53fc092870397b217332500b319389a805,CANONICAL,DOC-FMCS-FORM-I-MANUFACTURING-MACHINERY,2026-08-31,"PDF 1.5, 2 pages"
DOCUMENT,DOC-00035,,35,https://www.bis.gov.in/wp-content/uploads/2018/11/TestEquipmentsFormII.pdf,OFFICIAL_DOCUMENT,Test Equipments (Form II),200,application/pdf,134899,"Mon, 29 Jun 2026 12:27:56 GMT",d2b6c830baef3ad8a2685e0fb3046b8c69cf89762c09ad42edd8c578ff6addda,CANONICAL,DOC-FMCS-FORM-II-TEST-EQUIPMENT,2026-08-31,"PDF 1.5, 3 pages"
DOCUMENT,DOC-00027,,36,https://www.bis.gov.in/wp-content/uploads/2018/11/FormatForTestReportFormIV.pdf,OFFICIAL_DOCUMENT,Format for Test Report (Form IV),200,application/pdf,128190,"Mon, 29 Jun 2026 12:27:55 GMT",1decda622048d7d9849b4a754f3423a3b6ea379b69ba3151b2268d23dfc8bc40,CANONICAL,DOC-FMCS-FORM-IV-TEST-REPORT-FORMAT,2026-08-31,"PDF 1.5, 1 page"
DOCUMENT,DOC-00024,,37,https://www.bis.gov.in/wp-content/uploads/2018/11/ChangeOfScopeFormXIV.pdf,OFFICIAL_DOCUMENT,Change of Scope (Form XIV),200,application/pdf,202213,"Mon, 29 Jun 2026 12:27:54 GMT",092229db224ea2e9ce205cd82570559a911891b60439d416b8fefacbb6433829,CANONICAL,DOC-FMCS-FORM-XIV-CHANGE-OF-SCOPE,2026-08-31,"PDF 1.5, 1 page"
DOCUMENT,DOC-00026,,38,https://www.bis.gov.in/wp-content/uploads/2018/11/ConditionofLicence.pdf,OFFICIAL_DOCUMENT,Conditions of Licence,200,application/pdf,114656,"Mon, 29 Jun 2026 12:27:55 GMT",6c1c378454232566cac08bc2edebb7ea54a87d9f7c79952e90b46e79372d8dce,CANONICAL,DOC-FMCS-CONDITIONS-OF-LICENCE,2026-08-31,"PDF 1.5, 1 page"
DOCUMENT,DOC-00021,,39,https://www.bis.gov.in/wp-content/uploads/2018/08/FM_CHECKLIST.pdf,OFFICIAL_DOCUMENT,FMCS Checklist,200,application/pdf,157658,"Mon, 29 Jun 2026 12:27:55 GMT",c24d715422211e0043134a43c2c12568061f2cbd0858660f39e9d3d004289d9f,CANONICAL,DOC-FMCS-CHECKLIST-FM,2026-08-31,"PDF 1.4, 4 pages"
DOCUMENT,DOC-00019,,40,https://www.bis.gov.in/wp-content/uploads/2018/08/Checklist_for_Application.pdf,OFFICIAL_DOCUMENT,Checklist for Application,200,application/pdf,104088,"Mon, 29 Jun 2026 12:27:55 GMT",b0b16b0a4142fe538a2b142a6752c202b97f1ac4def0ca211024138f442ee104,CANONICAL,DOC-FMCS-CHECKLIST-APPLICATION,2026-08-31,"PDF 1.4, 4 pages"
DOCUMENT,DOC-00025,,41,https://www.bis.gov.in/wp-content/uploads/2018/11/Checklist_for_Application.pdf,OFFICIAL_DOCUMENT,Checklist for Application (duplicate URL),200,application/pdf,104088,"Mon, 29 Jun 2026 12:27:55 GMT",b0b16b0a4142fe538a2b142a6752c202b97f1ac4def0ca211024138f442ee104,DUPLICATE_BYTE_IDENTICAL,DOC-FMCS-CHECKLIST-APPLICATION,2026-08-31,Byte-identical to 2018/08/Checklist_for_Application.pdf
DOCUMENT,DOC-00020,,42,https://www.bis.gov.in/wp-content/uploads/2018/08/Diamensions_of_ISI.pdf,OFFICIAL_DOCUMENT,Dimensions of ISI Mark,200,application/pdf,199393,"Mon, 29 Jun 2026 12:27:55 GMT",b1ed9c84b17f41df1fb4ed9ae1040a10b740a1ab3b894fa5d2add3e2beaf8af5,CANONICAL,DOC-FMCS-ISI-MARK-DIMENSIONS,2026-08-31,"PDF 1.7, 1 page. BIS filename contains the spelling Diamensions and is preserved verbatim"
DOCUMENT,DOC-00036,,43,https://www.bis.gov.in/wp-content/uploads/2019/03/Prescribed-formats-for-inclusion-of-new-varieties.pdf,OFFICIAL_DOCUMENT,Prescribed formats for inclusion of new varieties,200,application/pdf,471724,"Mon, 29 Jun 2026 12:27:55 GMT",8a1b663f0c0d52fe0db3ea4ed7b6df184bf4feca76f26009a0abdff207cc14e3,CANONICAL,DOC-FMCS-INCLUSION-NEW-VARIETIES-FORMATS,2026-08-31,"PDF 1.5, 6 pages"
DOCUMENT,DOC-00043,,44,https://www.bis.gov.in/wp-content/uploads/2025/07/Self-Compliance-Report.pdf,OFFICIAL_DOCUMENT,Self Compliance Report,200,application/pdf,201388,"Tue, 29 Jul 2025 07:00:24 GMT",664d4bb0cc02d8b6b7577ce51d54d748bed496578ea53ee2a031e8c03139bb3a,CANONICAL,DOC-FMCS-SELF-COMPLIANCE-REPORT,2026-08-31,"PDF 1.7, 6 pages"
DOCUMENT,DOC-00042,,45,https://www.bis.gov.in/wp-content/uploads/2021/06/LIST-OF-FEE-3.pdf,OFFICIAL_DOCUMENT,List of Fee (FMCS Fee Structure),200,application/pdf,131900,"Mon, 29 Jun 2026 12:48:29 GMT",d44dbe9a38c5c148bca75f1f6935aa7c95fe5b5a3a65582f2fe16bc2b551c19e,CANONICAL,DOC-FMCS-FEE-STRUCTURE-LIST,2026-08-31,"PDF 1.7, 2 pages. 131900 bytes = 129 KB, matching the size stated on the FMCS Fee page"
DOCUMENT,DOC-00041,,46,https://www.bis.gov.in/wp-content/uploads/2020/06/FEE-BIS.pdf,OFFICIAL_DOCUMENT,Fee - BIS,200,application/pdf,120618,"Mon, 29 Jun 2026 12:28:45 GMT",5f98b1cafc8e114c018e376751300aa2ce0424580c21715a060fa89f49f19478,CANONICAL,DOC-FMCS-FEE-BIS,2026-08-31,"PDF 1.5, 3 pages"
DOCUMENT,DOC-00044,,47,https://www.bis.gov.in/wp-content/uploads/2026/05/FMCS-Application-SubmissionUM-1-1.pdf,OFFICIAL_DOCUMENT,FMCS Application Submission User Manual,200,application/pdf,4547530,"Tue, 12 May 2026 09:06:10 GMT",d1a5eb2360f8365fb2c76186e0c3f42b3a10da2211347bc7f8247976828911fb,CANONICAL,DOC-FMCS-APPLICATION-SUBMISSION-USER-MANUAL,2026-08-31,"PDF 1.7, 20 pages. Referenced by the How to apply page as the manakonline online-submission manual"
