canonical_entity,canonical_entity_id,source_sheet,source_row,source_scheme_record_ids,source_scheme_ids,scheme_label,source_row_label,raw_is_number_variants,canonical_is_number,display_is_number,standard_year,title,product_name,specific_requirement,ministry,notification_number,document_url,mandatory_voluntary,certification_type,source_record_id,source_url,retrieved_at,scraper_engine,extraction_method,record_status,missing_reason
STANDARD,STD-01750,,12,SCHX-0011,scheme_x,Scheme - X (Certification),1.8,IS/IEC 60947: Part 2:2016,STD-IEC-60947-P2,STD-IEC-60947-P2,2016,Low - Voltage Switchgear and Controlgear: Part 2 circuit - Breakers (First Revision),AC Circuit - Breaker (Category B)- All rating,All test as per IS/IEC 60947 : Part 2 : 2016.,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01751,,13,SCHX-0012,scheme_x,Scheme - X (Certification),2.1 (a),IS/IEC 60947: Part 3:2012,STD-IEC-60947-P3,STD-IEC-60947-P3,2012,"Low-Voltage switchgear and control gear: Part 3 switches, disconnectors, switch disconnectors and fuse - Combination units","All AC utilization categories Upto 250A, Upto 440V AC",All test as per IS/IEC 60947 : Part 3 : 2020. except the test listed below in Sr. No. 2.1.(b) of this table.,Ministry of Heavy Industries,"Product Specific Guidelines for Low Voltage Switchgear and Controlgear: Switches, Disconnectors, Switch-Disconnectors, and Fuse-Combination Units - F. No. 8(1)/2018-HEI-Part-(1), dated 10 March, 2025",https://www.bis.gov.in/wp-content/uploads/2025/05/Product-Specific-Guidelines-for-Low-Voltage-Switchgear-and-Controlgear-60947-3-1.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01751,,14,SCHX-0013,scheme_x,Scheme - X (Certification),2.1 (b),IS/IEC 60947: Part 3:2012,STD-IEC-60947-P3,STD-IEC-60947-P3,2012,"Low-Voltage switchgear and control gear: Part 3 switches, disconnectors, switch disconnectors and fuse - Combination units","All AC utilization categories Upto 250A, Upto 440V AC",Electromagnetic compatibility (EMC) mentioned in clause 9.4 and all test specified for specific application as mentioned in the Annexure(s) of IS/IEC 60947 : Part 3 : 2020,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01751,,15,SCHX-0014,scheme_x,Scheme - X (Certification),2.2,IS/IEC 60947: Part 3:2012,STD-IEC-60947-P3,STD-IEC-60947-P3,2012,"Low-Voltage switchgear and control gear: Part 3 switches, disconnectors, switch disconnectors and fuse - Combination units","All AC utilization categories Upto 630 A, Upto 440V AC",All test as per IS/IEC 60947 : Part 3 : 2020.,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01751,,16,SCHX-0015,scheme_x,Scheme - X (Certification),2.3,IS/IEC 60947: Part 3:2012,STD-IEC-60947-P3,STD-IEC-60947-P3,2012,"Low-Voltage switchgear and control gear: Part 3 switches, disconnectors, switch disconnectors and fuse - Combination units","All AC utilization categories Above 630 A, Upto 440V AC",All test as per IS/IEC 60947 : Part 3 : 2020.,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01751,,17,SCHX-0016,scheme_x,Scheme - X (Certification),2.4,IS/IEC 60947: Part 3:2012,STD-IEC-60947-P3,STD-IEC-60947-P3,2012,"Low-Voltage switchgear and control gear: Part 3 switches, disconnectors, switch disconnectors and fuse - Combination units","All AC utilization categories All ratings, above 440V AC",All test as per IS/IEC 60947 : Part 3 : 2020.,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01751,,18,SCHX-0017,scheme_x,Scheme - X (Certification),2.5,IS/IEC 60947: Part 3:2012,STD-IEC-60947-P3,STD-IEC-60947-P3,2012,"Low-Voltage switchgear and control gear: Part 3 switches, disconnectors, switch disconnectors and fuse - Combination units","All DC utilization categories, All ratings",All test as per IS/IEC 60947 : Part 3 : 2020,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01752,,19,SCHX-0018,scheme_x,Scheme - X (Certification),3.1 (a),IS/IEC 60947 : Part 4 : Sec 1 : 2018,STD-IEC-60947-P4,STD-IEC-60947-P4,2018,Low-Voltage Switchgear and Controlgear Part 4 Contactors and Motor-Starters Section 1 Electromechanical Contactors and Motor-Starters (Second Revision ),Contactor -All AC utilization categories Upto 32A,All test as per IS/IEC 60947 : Part 4 : Sec 1 : 2018. except the test listed below in Sr. No. 3.1.(b) of this table.,Ministry of Heavy Industries,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",https://www.bis.gov.in/wp-content/uploads/2025/05/Extension-of-implementation-timeline-under-the-Electrical-Equipment-Quality-Control-2.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01752,,20,SCHX-0019,scheme_x,Scheme - X (Certification),3.1 (b),IS/IEC 60947 : Part 4 : Sec 1 : 2018,STD-IEC-60947-P4,STD-IEC-60947-P4,2018,Low-Voltage Switchgear and Controlgear Part 4 Contactors and Motor-Starters Section 1 Electromechanical Contactors and Motor-Starters (Second Revision ),Contactor -All AC utilization categories Upto 32A,Electromagnetic compatibility (EMC) mentioned in clause 9.4 and all test specified for specific application as mentioned in the Annexure(s) of IS/IEC 60947 : Part 4 : Sec 1 : 2018.,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01752,,21,SCHX-0020,scheme_x,Scheme - X (Certification),3.2,IS/IEC 60947 : Part 4 : Sec 1 : 2018,STD-IEC-60947-P4,STD-IEC-60947-P4,2018,Low-Voltage Switchgear and Controlgear Part 4 Contactors and Motor-Starters Section 1 Electromechanical Contactors and Motor-Starters (Second Revision ),"Contactor -All AC utilization categories, above 32A",All test as per IS/IEC 60947 : Part 4 : Sec 1 : 2018.,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01752,,22,SCHX-0021,scheme_x,Scheme - X (Certification),3.3,IS/IEC 60947 : Part 4 : Sec 1 : 2018,STD-IEC-60947-P4,STD-IEC-60947-P4,2018,Low-Voltage Switchgear and Controlgear Part 4 Contactors and Motor-Starters Section 1 Electromechanical Contactors and Motor-Starters (Second Revision ),Starter- All AC utilization categories direct-on-line a.c. starter,All test as per IS/IEC 60947 : Part 4 : Sec 1 : 2018,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01752,,23,SCHX-0022,scheme_x,Scheme - X (Certification),3.4,IS/IEC 60947 : Part 4 : Sec 1 : 2018,STD-IEC-60947-P4,STD-IEC-60947-P4,2018,Low-Voltage Switchgear and Controlgear Part 4 Contactors and Motor-Starters Section 1 Electromechanical Contactors and Motor-Starters (Second Revision ),Starter- All AC utilization categories. All other Starters,All test as per IS/IEC 60947 : Part 4 : Sec 1 : 2018.,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01752,,24,SCHX-0023,scheme_x,Scheme - X (Certification),3.5,IS/IEC 60947 : Part 4 : Sec 1 : 2018,STD-IEC-60947-P4,STD-IEC-60947-P4,2018,Low-Voltage Switchgear and Controlgear Part 4 Contactors and Motor-Starters Section 1 Electromechanical Contactors and Motor-Starters (Second Revision ),All DC utilization categories. All DC ratings,All test as per IS/IEC 60947 : Part 4 : Sec 1 : 2018,Ministry of Heavy Industries,"Product Specific Guidelines for Low Voltage Switchgear and Controlgear: Electromechanical Contactor(s) and Motor Starter(s) - F. No. 8(1)/2018-HEI-Part-(1), dated 10 March, 2025",https://www.bis.gov.in/wp-content/uploads/2025/05/Product-Specific-Guidelines-for-Electromechanical-Contactor-and-Motor-Starter-60947-4-1-1.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01752,,25,SCHX-0024,scheme_x,Scheme - X (Certification),4.,IS/IEC 60947 : Part 4 : Sec 2 : 2020,STD-IEC-60947-P4,STD-IEC-60947-P4,2020,Low - Voltage Switchgear and Controlgear: Part 4 Contactors and Motor - Starters: Sec 2 Semiconductor Motor Controllers and Starters and Soft Starters (Second Revision),All types of product ratings,All test as per IS/IEC 60947 : Part 4 : Sec 2 : 2020.,Ministry of Heavy Industries,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",https://www.bis.gov.in/wp-content/uploads/2025/05/Extension-of-implementation-timeline-under-the-Electrical-Equipment-Quality-Control-2.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01752,,26,SCHX-0025,scheme_x,Scheme - X (Certification),5.,IS/IEC 60947 : Part 4 : Sec 3 : 2020,STD-IEC-60947-P4,STD-IEC-60947-P4,2020,Low-Voltage Switchgear and Controlgear Part 4 Contactors and Motor-Starters Section 3 Semiconductor Controllers and Semiconductor Contactors for Non-Motor Loads ( Third Revision ),All types of product ratings,All test as per IS/IEC 60947 : Part 4 : Sec 3 : 2020,Ministry of Heavy Industries,"Electrical Equipment (Quality Control) Second Amendment Order, 2024 - S.O. 2007(E), dated 5 May 2025",https://www.bis.gov.in/wp-content/uploads/2025/05/Extension-of-implementation-timeline-under-the-Electrical-Equipment-Quality-Control-2.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01753,,27,SCHX-0026,scheme_x,Scheme - X (Certification),6.1 (a),IS/IEC 60947 : Part 5 : Sec 1 : 2016,STD-IEC-60947-P5,STD-IEC-60947-P5,2016,Low-Voltage switchgear and control gear: Part 5 control circuit devices and switching elements: Sec 1 electromechanical control circuit devices ( First Revision),Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,All AC utilization categories Upto 440V AC,Ministry of Heavy Industries,"Product Specific Guidelines for Low Voltage Switchgear and Controlgear: Control circuit devices and switching elements-Electromechanical control circuit devices - F. No. 8(1)/2018-HEI-Part-(1), dated 10 March, 2025",https://www.bis.gov.in/wp-content/uploads/2025/05/Product-Specific-Guidelines-for-Low-Voltage-Switchgear-and-Controlgear-60947-5-1-1.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,SUCCESS,NULL
STANDARD,STD-01753,,28,SCHX-0027,scheme_x,Scheme - X (Certification),6.1 (b),IS/IEC 60947 : Part 5 : Sec 1 : 2016,STD-IEC-60947-P5,STD-IEC-60947-P5,2016,NULL,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,All AC utilization categories Upto 440V AC,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,PARTIAL,NOT_EXPOSED_BY_SOURCE
STANDARD,STD-01753,,29,SCHX-0028,scheme_x,Scheme - X (Certification),6.2,IS/IEC 60947 : Part 5 : Sec 1 : 2016,STD-IEC-60947-P5,STD-IEC-60947-P5,2016,NULL,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,All AC utilization categories Above 440V AC,Ministry of Heavy Industries,"Deferment of upcoming phase implementation of the Electrical Equipment (Quality Control) Order 2020 and subsequent amendments from time to time - S.O. 5038(E), dated 6 No. vember 2025",https://www.bis.gov.in/wp-content/uploads/2025/11/Deferment-of-upcoming-phase-implementation-of-the-Electrical-Equipment-Quality-Control-Order-2020.pdf,MANDATORY,SCHEME_X,scheme_x,https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-09-01T00:00:00Z,firecrawl,FIRECRAWL_MARKDOWN,PARTIAL,NOT_EXPOSED_BY_SOURCE
