relationship_id,is_id,canonical_is_number,entity_type,entity_id,entity_label,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-IS_ENT-0000038,STD-00349,IS 1417,FAQ,FAQ-00097,What is a detachable part?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,71,1.00,
REL-IS_ENT-0000039,STD-00960,IS 2112,FAQ,FAQ-00097,What is a detachable part?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,71,1.00,
REL-IS_ENT-0000040,STD-00553,IS 15820,FAQ,FAQ-00011,Can an artisan or common person directly approach an A&H Centre for hallmarking?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,72,1.00,
REL-IS_ENT-0000041,STD-00553,IS 15820,FAQ,FAQ-00114,Where can I find the list of BIS-recognized A&H Centres?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,75,1.00,
REL-IS_ENT-0000042,STD-00350,IS 1418,FAQ,FAQ-00007,Can a common person get hallmarked jewellery tested for purity at an A&H Centre?,REFERENCED_BY,related_is_text,related_is_text,IS 1418,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,76,1.00,
REL-IS_ENT-0000043,STD-00553,IS 15820,FAQ,FAQ-00007,Can a common person get hallmarked jewellery tested for purity at an A&H Centre?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,76,1.00,
REL-IS_ENT-0000044,STD-00553,IS 15820,FAQ,FAQ-00034,How does an A&H Centre obtain recognition?,REFERENCED_BY,related_is_text,related_is_text,IS 15820:2009,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,77,1.00,
REL-IS_ENT-0000045,STD-00349,IS 1417,FAQ,FAQ-00017,Can jewellery failing the declared purity be hallmarked at the immediately lower grade?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,78,1.00,
REL-IS_ENT-0000046,STD-00960,IS 2112,FAQ,FAQ-00017,Can jewellery failing the declared purity be hallmarked at the immediately lower grade?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,78,1.00,
REL-IS_ENT-0000047,STD-00553,IS 15820,FAQ,FAQ-00009,Can an A&H Centre refuse jewellery because of workload?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,79,1.00,
REL-IS_ENT-0000048,STD-00349,IS 1417,FAQ,FAQ-00010,Can an A&H Centre return jewellery that does not match the purity or weight declared by the jeweller?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,80,1.00,
REL-IS_ENT-0000049,STD-00960,IS 2112,FAQ,FAQ-00010,Can an A&H Centre return jewellery that does not match the purity or weight declared by the jeweller?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,80,1.00,
REL-IS_ENT-0000050,STD-00553,IS 15820,FAQ,FAQ-00095,What information is provided in an A&H Centre delivery voucher?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,81,1.00,
REL-IS_ENT-0000051,STD-00553,IS 15820,FAQ,FAQ-00037,How does the digital hallmarking system help prevent fraudulent hallmarking?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,82,1.00,
REL-IS_ENT-0000052,STD-00350,IS 1418,FAQ,FAQ-00094,What happens when an entire lot fails Fire Assaying?,REFERENCED_BY,related_is_text,related_is_text,IS 1418,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,83,1.00,
REL-IS_ENT-0000053,STD-00553,IS 15820,FAQ,FAQ-00112,When should an A&H Centre return the cornet?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,84,1.00,
REL-IS_ENT-0000054,STD-00553,IS 15820,FAQ,FAQ-00098,What is an Off-Site Centre?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,85,1.00,
REL-IS_ENT-0000055,STD-00553,IS 15820,FAQ,FAQ-00105,What liability does an Off-Site Centre have?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,86,1.00,
REL-IS_ENT-0000056,STD-00553,IS 15820,FAQ,FAQ-00042,How many Off-Site Centres can one A&H Centre establish?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,87,1.00,
REL-IS_ENT-0000057,STD-00553,IS 15820,FAQ,FAQ-00018,Can Off-Site Centres operate in mandatory-hallmarking districts?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,88,1.00,
REL-IS_ENT-0000058,STD-00553,IS 15820,FAQ,FAQ-00109,What subsidy is available for establishing A&H Centres?,REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,89,1.00,
REL-IS_ENT-0000059,STD-00349,IS 1417,FAQ,FAQ-00093,What happens if a sample fails after being tampered with in the supply chain?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,90,1.00,
REL-IS_ENT-0000060,STD-00960,IS 2112,FAQ,FAQ-00093,What happens if a sample fails after being tampered with in the supply chain?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,90,1.00,
REL-IS_ENT-0000061,STD-00349,IS 1417,FAQ,FAQ-00124,Who is responsible for compensation if hallmarked precious-metal jewellery is found below declared purity?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,91,1.00,
REL-IS_ENT-0000062,STD-00960,IS 2112,FAQ,FAQ-00124,Who is responsible for compensation if hallmarked precious-metal jewellery is found below declared purity?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,91,1.00,
REL-IS_ENT-0000063,STD-00349,IS 1417,FAQ,FAQ-00029,How can a consumer file a hallmarking complaint?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,92,1.00,
REL-IS_ENT-0000064,STD-00960,IS 2112,FAQ,FAQ-00029,How can a consumer file a hallmarking complaint?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,92,1.00,
REL-IS_ENT-0000065,STD-00349,IS 1417,FAQ,FAQ-00019,Can old jewellery be sold after hallmarking becomes mandatory?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,93,1.00,
REL-IS_ENT-0000066,STD-00960,IS 2112,FAQ,FAQ-00019,Can old jewellery be sold after hallmarking becomes mandatory?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,93,1.00,
REL-IS_ENT-0000067,STD-00349,IS 1417,FAQ,FAQ-00085,What compensation applies when hallmarked jewellery has lower purity?,REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,94,1.00,
REL-IS_ENT-0000068,STD-00960,IS 2112,FAQ,FAQ-00085,What compensation applies when hallmarked jewellery has lower purity?,REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,94,1.00,
REL-IS_ENT-0000069,STD-00553,IS 15820,FAQ,FAQ-00089,"What do the BIS Hallmarking Regulations, 2018 cover?",REFERENCED_BY,related_is_text,related_is_text,IS 15820,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,98,1.00,
REL-IS_ENT-0000070,STD-00349,IS 1417,FAQ,FAQ-00089,"What do the BIS Hallmarking Regulations, 2018 cover?",REFERENCED_BY,related_is_text,related_is_text,IS 1417,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,98,1.00,
REL-IS_ENT-0000071,STD-00960,IS 2112,FAQ,FAQ-00089,"What do the BIS Hallmarking Regulations, 2018 cover?",REFERENCED_BY,related_is_text,related_is_text,IS 2112,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,98,1.00,
REL-IS_ENT-0000072,STD-00753,IS 17278,FAQ,FAQ-00083,What are the refinery/A&H-related fees under the Hallmarking Regulations?,REFERENCED_BY,related_is_text,related_is_text,IS 17278,,F006,BIS_FAQs_Master.xlsx,BIS_FAQs_Master,99,1.00,
REL-IS_ENT-0000073,STD-00610,IS 16102 (Part 1),LEGAL,LEGAL-00024,,REFERENCED_BY,related_is_text,related_is_text,IS 16102 (Part 1),,F033,bis_circulars (1).csv,,3,1.00,
REL-IS_ENT-0000074,STD-00048,IS 10322,LEGAL,LEGAL-00026,,REFERENCED_BY,related_is_text,related_is_text,IS 10322,,F033,bis_circulars (1).csv,,4,1.00,
REL-IS_ENT-0000075,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00026,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,4,1.00,
REL-IS_ENT-0000076,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00026,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,4,1.00,
REL-IS_ENT-0000077,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00026,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,4,1.00,
REL-IS_ENT-0000078,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00026,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,4,1.00,
REL-IS_ENT-0000079,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00026,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,4,1.00,
REL-IS_ENT-0000080,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00026,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,4,1.00,
REL-IS_ENT-0000081,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00026,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,4,1.00,
REL-IS_ENT-0000082,STD-00852,IS 18112,LEGAL,LEGAL-00032,,REFERENCED_BY,related_is_text,related_is_text,IS 18112,,F033,bis_circulars (1).csv,,5,1.00,
REL-IS_ENT-0000083,STD-00268,IS 13252 (Part 1),LEGAL,LEGAL-00052,,REFERENCED_BY,related_is_text,related_is_text,IS 13252 (Part 1),,F033,bis_circulars (1).csv,,6,1.00,
REL-IS_ENT-0000084,STD-00268,IS 13252 (Part 1),LEGAL,LEGAL-00052,,REFERENCED_BY,related_is_text,related_is_text,IS 13252 (Part1),,F033,bis_circulars (1).csv,,6,1.00,
REL-IS_ENT-0000085,STD-00268,IS 13252 (Part 1),LEGAL,LEGAL-00052,,REFERENCED_BY,related_is_text,related_is_text,IS 13252(Part1),,F033,bis_circulars (1).csv,,6,1.00,
REL-IS_ENT-0000086,STD-01413,IS 616,LEGAL,LEGAL-00052,,REFERENCED_BY,related_is_text,related_is_text,IS 616,,F033,bis_circulars (1).csv,,6,1.00,
REL-IS_ENT-0000087,STD-00267,IS 13252,LEGAL,LEGAL-00062,,REFERENCED_BY,related_is_text,related_is_text,IS 13252,,F033,bis_circulars (1).csv,,9,1.00,
REL-IS_ENT-0000088,STD-00048,IS 10322,LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000089,STD-00049,IS 10322 (Part 1),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 1),,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000090,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000091,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000092,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000093,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000094,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000095,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000096,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000097,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000098,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000099,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000100,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000101,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000102,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000103,STD-00050,IS 10322 (Part 5),LEGAL,LEGAL-00095,,REFERENCED_BY,related_is_text,related_is_text,IS 10322 (Part 5,,F033,bis_circulars (1).csv,,10,1.00,
REL-IS_ENT-0000104,STD-00268,IS 13252 (Part 1),LEGAL,LEGAL-00083,,REFERENCED_BY,related_is_text,related_is_text,IS 13252 (Part 1),,F033,bis_circulars (1).csv,,11,1.00,
REL-IS_ENT-0000105,STD-00268,IS 13252 (Part 1),LEGAL,LEGAL-00083,,REFERENCED_BY,related_is_text,related_is_text,IS 13252(Part1),,F033,bis_circulars (1).csv,,11,1.00,
REL-IS_ENT-0000106,STD-00644,IS 16333 (Part 3),LEGAL,LEGAL-00083,,REFERENCED_BY,related_is_text,related_is_text,IS 16333 (Part 3),,F033,bis_circulars (1).csv,,11,1.00,
REL-IS_ENT-0000107,STD-00852,IS 18112,LEGAL,LEGAL-00083,,REFERENCED_BY,related_is_text,related_is_text,IS 18112,,F033,bis_circulars (1).csv,,11,1.00,
REL-IS_ENT-0000108,STD-01413,IS 616,LEGAL,LEGAL-00083,,REFERENCED_BY,related_is_text,related_is_text,IS 616,,F033,bis_circulars (1).csv,,11,1.00,
REL-IS_ENT-0000109,STD-00852,IS 18112,LEGAL,LEGAL-00083,,REFERENCED_BY,related_is_text,related_is_text,IS18112,,F033,bis_circulars (1).csv,,11,1.00,
REL-IS_ENT-0000110,STD-00268,IS 13252 (Part 1),LEGAL,LEGAL-00074,,REFERENCED_BY,related_is_text,related_is_text,IS 13252 (Part 1),,F033,bis_circulars (1).csv,,12,1.00,
REL-IS_ENT-0000111,STD-00268,IS 13252 (Part 1),LEGAL,LEGAL-00074,,REFERENCED_BY,related_is_text,related_is_text,IS 13252 (Part1),,F033,bis_circulars (1).csv,,12,1.00,
REL-IS_ENT-0000112,STD-00268,IS 13252 (Part 1),LEGAL,LEGAL-00074,,REFERENCED_BY,related_is_text,related_is_text,IS 13252(Part1),,F033,bis_circulars (1).csv,,12,1.00,
REL-IS_ENT-0000113,STD-01413,IS 616,LEGAL,LEGAL-00074,,REFERENCED_BY,related_is_text,related_is_text,IS 616,,F033,bis_circulars (1).csv,,12,1.00,
REL-IS_ENT-0000114,STD-00610,IS 16102 (Part 1),LEGAL,LEGAL-00075,,REFERENCED_BY,related_is_text,related_is_text,IS 16102 (Part 1),,F033,bis_circulars (1).csv,,13,1.00,
REL-IS_ENT-0000115,STD-00922,IS 2,LEGAL,LEGAL-00075,,REFERENCED_BY,related_is_text,related_is_text,is 02,,F033,bis_circulars (1).csv,,13,1.00,
REL-IS_ENT-0000116,STD-00595,IS 16046 (Part 2),LEGAL,LEGAL-00101,,REFERENCED_BY,related_is_text,related_is_text,IS 16046 (Part 2),,F033,bis_circulars (1).csv,,14,1.00,
