relationship_id,is_id,canonical_is_number,product_id,product_name,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-IS_PRO-0000011,STD-01756,IS/IEC 62368 (Part 1),PROD-00046,Amplifiers with input power 2000W and above,COVERS,product_name,product_name,Amplifiers with input power 2000W and above,,F001,05_scheme_ii.csv,,12,1.00,
REL-IS_PRO-0000012,STD-01756,IS/IEC 62368 (Part 1),PROD-00093,Electronic Musical Systems with input power 200W and above,COVERS,product_name,product_name,Electronic Musical Systems with input power 200W and above,,F001,05_scheme_ii.csv,,13,1.00,
REL-IS_PRO-0000013,STD-01091,IS 302 (Part 2),PROD-00090,Electronic Clocks with Mains Powers,COVERS,product_name,product_name,Electronic Clocks with Mains Powers,,F001,05_scheme_ii.csv,,14,1.00,
REL-IS_PRO-0000014,STD-01756,IS/IEC 62368 (Part 1),PROD-00234,Set Top Box,COVERS,product_name,product_name,Set Top Box,,F001,05_scheme_ii.csv,,15,1.00,
REL-IS_PRO-0000015,STD-01756,IS/IEC 62368 (Part 1),PROD-00049,Automatic Data Processing Machine,COVERS,product_name,product_name,Automatic Data Processing Machine,,F001,05_scheme_ii.csv,,16,1.00,
REL-IS_PRO-0000016,STD-01756,IS/IEC 62368 (Part 1),PROD-00161,Power Adaptors for IT Equipments,COVERS,product_name,product_name,Power Adaptors for IT Equipments,,F001,05_scheme_ii.csv,,17,1.00,
REL-IS_PRO-0000017,STD-01756,IS/IEC 62368 (Part 1),PROD-00160,"Power Adaptors for Audio, Video & Similar Electronic Apparatus",COVERS,product_name,product_name,"Power Adaptors for Audio, Video & Similar Electronic Apparatus",,F001,05_scheme_ii.csv,,18,1.00,
REL-IS_PRO-0000018,STD-00636,IS 16242 (Part 1),PROD-00294,UPS/Invertors of rating<=5kVA,COVERS,product_name,product_name,UPS/Invertors of rating<=5kVA,,F001,05_scheme_ii.csv,,19,1.00,
REL-IS_PRO-0000019,STD-00568,IS 15885 (Part 2),PROD-00077,DC or AC Supplied Electronic Control gear for LED Modules,COVERS,product_name,product_name,DC or AC Supplied Electronic Control gear for LED Modules,,F001,05_scheme_ii.csv,,20,1.00,
REL-IS_PRO-0000020,STD-00593,IS 16046,PROD-00230,Sealed Secondary Cells/Batteries containing Alkaline or other non-acid Electrolytes for use in portable applications,COVERS,product_name,product_name,Sealed Secondary Cells/Batteries containing Alkaline or other non-acid Electrolytes for use in portable applications,,F001,05_scheme_ii.csv,,21,1.00,
REL-IS_PRO-0000021,STD-00610,IS 16102 (Part 1),PROD-00233,Self-Ballasted LED Lamps for General Lighting Services,COVERS,product_name,product_name,Self-Ballasted LED Lamps for General Lighting Services,,F001,05_scheme_ii.csv,,22,1.00,
REL-IS_PRO-0000022,STD-00050,IS 10322 (Part 5),PROD-00096,Fixed General Purpose LED Luminaries,COVERS,product_name,product_name,Fixed General Purpose LED Luminaries,,F001,05_scheme_ii.csv,,23,1.00,
REL-IS_PRO-0000023,STD-01756,IS/IEC 62368 (Part 1),PROD-00128,Mobile Phones,COVERS,product_name,product_name,Mobile Phones,,F001,05_scheme_ii.csv,,24,1.00,
REL-IS_PRO-0000024,STD-01756,IS/IEC 62368 (Part 1),PROD-00058,Cash Registers,COVERS,product_name,product_name,Cash Registers,,F001,05_scheme_ii.csv,,25,1.00,
REL-IS_PRO-0000025,STD-01756,IS/IEC 62368 (Part 1),PROD-00144,Point of Sale Terminals,COVERS,product_name,product_name,Point of Sale Terminals,,F001,05_scheme_ii.csv,,26,1.00,
REL-IS_PRO-0000026,STD-01756,IS/IEC 62368 (Part 1),PROD-00073,Copying Machines/Duplicators,COVERS,product_name,product_name,Copying Machines/Duplicators,,F001,05_scheme_ii.csv,,27,1.00,
REL-IS_PRO-0000027,STD-01756,IS/IEC 62368 (Part 1),PROD-00240,Smart Card Readers,COVERS,product_name,product_name,Smart Card Readers,,F001,05_scheme_ii.csv,,28,1.00,
REL-IS_PRO-0000028,STD-01756,IS/IEC 62368 (Part 1),PROD-00126,Mail Processing Machines/Postage Machines/Franking Machines,COVERS,product_name,product_name,Mail Processing Machines/Postage Machines/Franking Machines,,F001,05_scheme_ii.csv,,29,1.00,
REL-IS_PRO-0000029,STD-01756,IS/IEC 62368 (Part 1),PROD-00135,Passport Reader,COVERS,product_name,product_name,Passport Reader,,F001,05_scheme_ii.csv,,30,1.00,
REL-IS_PRO-0000030,STD-01756,IS/IEC 62368 (Part 1),PROD-00162,Power Banks for use in portable applications,COVERS,product_name,product_name,Power Banks for use in portable applications,,F001,05_scheme_ii.csv,,31,1.00,
REL-IS_PRO-0000031,STD-00644,IS 16333 (Part 3),PROD-00128,Mobile Phones,COVERS,product_name,product_name,Mobile Phones,,F001,05_scheme_ii.csv,,32,1.00,
REL-IS_PRO-0000032,STD-00050,IS 10322 (Part 5),PROD-00170,Recessed LED Luminaries,COVERS,product_name,product_name,Recessed LED Luminaries,,F001,05_scheme_ii.csv,,33,1.00,
REL-IS_PRO-0000033,STD-00050,IS 10322 (Part 5),PROD-00120,LED Luminaires for Road and Street lighting,COVERS,product_name,product_name,LED Luminaires for Road and Street lighting,,F001,05_scheme_ii.csv,,34,1.00,
REL-IS_PRO-0000034,STD-00050,IS 10322 (Part 5),PROD-00116,LED Flood Lights,COVERS,product_name,product_name,LED Flood Lights,,F001,05_scheme_ii.csv,,35,1.00,
REL-IS_PRO-0000035,STD-00050,IS 10322 (Part 5),PROD-00117,LED Hand lamps,COVERS,product_name,product_name,LED Hand lamps,,F001,05_scheme_ii.csv,,36,1.00,
REL-IS_PRO-0000036,STD-00050,IS 10322 (Part 5),PROD-00118,LED Lighting Chains,COVERS,product_name,product_name,LED Lighting Chains,,F001,05_scheme_ii.csv,,37,1.00,
REL-IS_PRO-0000037,STD-00050,IS 10322 (Part 5),PROD-00119,LED Luminaires for Emergency Lighting,COVERS,product_name,product_name,LED Luminaires for Emergency Lighting,,F001,05_scheme_ii.csv,,38,1.00,
REL-IS_PRO-0000038,STD-00636,IS 16242 (Part 1),PROD-00293,UPS/Inverters of rating <= 10kVA,COVERS,product_name,product_name,UPS/Inverters of rating <= 10kVA,,F001,05_scheme_ii.csv,,39,1.00,
REL-IS_PRO-0000039,STD-01756,IS/IEC 62368 (Part 1),PROD-00142,Plasma/LCD/LED Television of screen size up-to 32”,COVERS,product_name,product_name,Plasma/LCD/LED Television of screen size up-to 32”,,F001,05_scheme_ii.csv,,40,1.00,
REL-IS_PRO-0000040,STD-01756,IS/IEC 62368 (Part 1),PROD-00301,"Visual Display Units, Video Monitors of screen size up-to 32”",COVERS,product_name,product_name,"Visual Display Units, Video Monitors of screen size up-to 32”",,F001,05_scheme_ii.csv,,41,1.00,
REL-IS_PRO-0000041,STD-01756,IS/IEC 62368 (Part 1),PROD-00062,CCTV Cameras/CCTV Recorders,COVERS,product_name,product_name,CCTV Cameras/CCTV Recorders,,F001,05_scheme_ii.csv,,42,1.00,
REL-IS_PRO-0000042,STD-01090,IS 302 (Part 1),PROD-00010,Adapters for household and similar electrical appliances,COVERS,product_name,product_name,Adapters for household and similar electrical appliances,,F001,05_scheme_ii.csv,,43,1.00,
REL-IS_PRO-0000043,STD-01756,IS/IEC 62368 (Part 1),PROD-00295,"USB driven Barcode readers, barcode scanners, Iris scanners, Optical fingerprint scanners",COVERS,product_name,product_name,"USB driven Barcode readers, barcode scanners, Iris scanners, Optical fingerprint scanners",,F001,05_scheme_ii.csv,,44,1.00,
REL-IS_PRO-0000044,STD-01756,IS/IEC 62368 (Part 1),PROD-00242,Smart watches,COVERS,product_name,product_name,Smart watches,,F001,05_scheme_ii.csv,,45,1.00,
REL-IS_PRO-0000045,STD-00612,IS 16103 (Part 1),PROD-00270,Standalone LED Modules for General Lighting,COVERS,product_name,product_name,Standalone LED Modules for General Lighting,,F001,05_scheme_ii.csv,,46,1.00,
REL-IS_PRO-0000046,STD-00050,IS 10322 (Part 5),PROD-00121,Lighting Chain (Rope Lights),COVERS,product_name,product_name,Lighting Chain (Rope Lights),,F001,05_scheme_ii.csv,,47,1.00,
REL-IS_PRO-0000047,STD-01756,IS/IEC 62368 (Part 1),PROD-00114,Keyboard,COVERS,product_name,product_name,Keyboard,,F001,05_scheme_ii.csv,,48,1.00,
REL-IS_PRO-0000048,STD-01091,IS 302 (Part 2),PROD-00113,Induction Stove,COVERS,product_name,product_name,Induction Stove,,F001,05_scheme_ii.csv,,49,1.00,
REL-IS_PRO-0000049,STD-01756,IS/IEC 62368 (Part 1),PROD-00050,Automatic Teller Cash dispensing machines,COVERS,product_name,product_name,Automatic Teller Cash dispensing machines,,F001,05_scheme_ii.csv,,50,1.00,
REL-IS_PRO-0000050,STD-01756,IS/IEC 62368 (Part 1),PROD-00296,USB Type External Hard Disk Drive,COVERS,product_name,product_name,USB Type External Hard Disk Drive,,F001,05_scheme_ii.csv,,51,1.00,
REL-IS_PRO-0000051,STD-01756,IS/IEC 62368 (Part 1),PROD-00307,Wireless Headphone and Earphone,COVERS,product_name,product_name,Wireless Headphone and Earphone,,F001,05_scheme_ii.csv,,52,1.00,
REL-IS_PRO-0000052,STD-01756,IS/IEC 62368 (Part 1),PROD-00297,USB Type External Solid- State Storage Devices (above 256 GB capacity),COVERS,product_name,product_name,USB Type External Solid- State Storage Devices (above 256 GB capacity),,F001,05_scheme_ii.csv,,53,1.00,
REL-IS_PRO-0000053,STD-01756,IS/IEC 62368 (Part 1),PROD-00092,Electronic Musical System with input power below 200 Watts,COVERS,product_name,product_name,Electronic Musical System with input power below 200 Watts,,F001,05_scheme_ii.csv,,54,1.00,
REL-IS_PRO-0000054,STD-01756,IS/IEC 62368 (Part 1),PROD-00271,Standalone Switch Mode Power Supplies (SMPS)with output voltage 48 V (max),COVERS,product_name,product_name,Standalone Switch Mode Power Supplies (SMPS)with output voltage 48 V (max),,F001,05_scheme_ii.csv,,55,1.00,
REL-IS_PRO-0000055,STD-01756,IS/IEC 62368 (Part 1),PROD-00289,Television other than Plasma/LCD/LED TVs,COVERS,product_name,product_name,Television other than Plasma/LCD/LED TVs,,F001,05_scheme_ii.csv,,56,1.00,
REL-IS_PRO-0000056,STD-01091,IS 302 (Part 2),PROD-00172,Rice Cooker,COVERS,product_name,product_name,Rice Cooker,,F001,05_scheme_ii.csv,,57,1.00,
REL-IS_PRO-0000057,STD-01756,IS/IEC 62368 (Part 1),PROD-00309,Wireless microphone,COVERS,product_name,product_name,Wireless microphone,,F001,05_scheme_ii.csv,,58,1.00,
REL-IS_PRO-0000058,STD-01756,IS/IEC 62368 (Part 1),PROD-00080,Digital Camera,COVERS,product_name,product_name,Digital Camera,,F001,05_scheme_ii.csv,,59,1.00,
REL-IS_PRO-0000059,STD-01756,IS/IEC 62368 (Part 1),PROD-00299,Video Camera,COVERS,product_name,product_name,Video Camera,,F001,05_scheme_ii.csv,,60,1.00,
REL-IS_PRO-0000060,STD-01756,IS/IEC 62368 (Part 1),PROD-00302,Webcam (Finished Product),COVERS,product_name,product_name,Webcam (Finished Product),,F001,05_scheme_ii.csv,,61,1.00,
REL-IS_PRO-0000061,STD-01756,IS/IEC 62368 (Part 1),PROD-00241,Smart Speakers (with and without Display),COVERS,product_name,product_name,Smart Speakers (with and without Display),,F001,05_scheme_ii.csv,,62,1.00,
REL-IS_PRO-0000062,STD-01403,IS 60669 (Part 2),PROD-00081,Dimmers for LED products,COVERS,product_name,product_name,Dimmers for LED products,,F001,05_scheme_ii.csv,,63,1.00,
REL-IS_PRO-0000063,STD-01756,IS/IEC 62368 (Part 1),PROD-00053,Bluetooth speakers,COVERS,product_name,product_name,Bluetooth speakers,,F001,05_scheme_ii.csv,,64,1.00,
REL-IS_PRO-0000064,STD-00852,IS 18112,PROD-00290,Television Sets,COVERS,product_name,product_name,Television Sets,,F001,05_scheme_ii.csv,,65,1.00,
REL-IS_PRO-0000065,STD-01756,IS/IEC 62368 (Part 1),PROD-00095,"Extended Reality Products (Augmented Reality, Virtual Reality, Mixed Reality etc.)",COVERS,product_name,product_name,"Extended Reality Products (Augmented Reality, Virtual Reality, Mixed Reality etc.)",,F001,05_scheme_ii.csv,,66,1.00,
REL-IS_PRO-0000066,STD-00366,IS 14286,PROD-00075,Crystalline Silicon Terrestrial Photovoltaic (PV) modules (Si wafer based),COVERS,product_name,product_name,Crystalline Silicon Terrestrial Photovoltaic (PV) modules (Si wafer based),,F001,05_scheme_ii.csv,,67,1.00,
REL-IS_PRO-0000067,STD-01754,IS/IEC 61730 (Part 1),PROD-00075,Crystalline Silicon Terrestrial Photovoltaic (PV) modules (Si wafer based),COVERS,product_name,product_name,Crystalline Silicon Terrestrial Photovoltaic (PV) modules (Si wafer based),,F001,05_scheme_ii.csv,,68,1.00,
REL-IS_PRO-0000068,STD-01755,IS/IEC 61730 (Part 2),PROD-00075,Crystalline Silicon Terrestrial Photovoltaic (PV) modules (Si wafer based),COVERS,product_name,product_name,Crystalline Silicon Terrestrial Photovoltaic (PV) modules (Si wafer based),,F001,05_scheme_ii.csv,,69,1.00,
REL-IS_PRO-0000069,STD-00600,IS 16077,PROD-00291,"Thin-Film Terrestrial Photovoltaic (PV) Modules (a-Si, CiGs and CdTe)",COVERS,product_name,product_name,"Thin-Film Terrestrial Photovoltaic (PV) Modules (a-Si, CiGs and CdTe)",,F001,05_scheme_ii.csv,,70,1.00,
REL-IS_PRO-0000070,STD-01754,IS/IEC 61730 (Part 1),PROD-00291,"Thin-Film Terrestrial Photovoltaic (PV) Modules (a-Si, CiGs and CdTe)",COVERS,product_name,product_name,"Thin-Film Terrestrial Photovoltaic (PV) Modules (a-Si, CiGs and CdTe)",,F001,05_scheme_ii.csv,,71,1.00,
REL-IS_PRO-0000071,STD-01755,IS/IEC 61730 (Part 2),PROD-00291,"Thin-Film Terrestrial Photovoltaic (PV) Modules (a-Si, CiGs and CdTe)",COVERS,product_name,product_name,"Thin-Film Terrestrial Photovoltaic (PV) Modules (a-Si, CiGs and CdTe)",,F001,05_scheme_ii.csv,,72,1.00,
REL-IS_PRO-0000072,STD-00631,IS 16221 (Part 2),PROD-00163,Power converters for use in photovoltaic power system,COVERS,product_name,product_name,Power converters for use in photovoltaic power system,,F001,05_scheme_ii.csv,,73,1.00,
REL-IS_PRO-0000073,STD-00619,IS 16169,PROD-00163,Power converters for use in photovoltaic power system,COVERS,product_name,product_name,Power converters for use in photovoltaic power system,,F001,05_scheme_ii.csv,,74,1.00,
REL-IS_PRO-0000074,STD-00639,IS 16270,PROD-00298,Utility –Interconnected Photovoltaic inverters,COVERS,product_name,product_name,Utility –Interconnected Photovoltaic inverters,,F001,05_scheme_ii.csv,,75,1.00,
REL-IS_PRO-0000075,STD-01561,IS 798,PROD-00134,Ortho Phosphoric Acid,COVERS,product_name,product_name,Ortho Phosphoric Acid,,F001,05_scheme_ii.csv,,76,1.00,
REL-IS_PRO-0000076,STD-00780,IS 17439,PROD-00145,Polyphosphoric Acid,COVERS,product_name,product_name,Polyphosphoric Acid,,F001,05_scheme_ii.csv,,77,1.00,
REL-IS_PRO-0000077,STD-00776,IS 17412,PROD-00292,Trimethyl Phosphite,COVERS,product_name,product_name,Trimethyl Phosphite,,F001,05_scheme_ii.csv,,78,1.00,
REL-IS_PRO-0000078,STD-00179,IS 12171,PROD-00074,Cotton Bales,COVERS,product_name,product_name,Cotton Bales,,F001,05_scheme_ii.csv,,79,1.00,
REL-IS_PRO-0000079,STD-01092,IS 3024,PROD-00269,Stampings/laminations/cores of transformers (with or without winding),COVERS,product_name,product_name,Stampings/laminations/cores of transformers (with or without winding),,F002,06_scheme_iv.csv,,2,1.00,
REL-IS_PRO-0000080,STD-01435,IS 648,PROD-00269,Stampings/laminations/cores of transformers (with or without winding),COVERS,product_name,product_name,Stampings/laminations/cores of transformers (with or without winding),,F002,06_scheme_iv.csv,,3,1.00,
REL-IS_PRO-0000081,STD-00669,IS 16585,PROD-00269,Stampings/laminations/cores of transformers (with or without winding),COVERS,product_name,product_name,Stampings/laminations/cores of transformers (with or without winding),,F002,06_scheme_iv.csv,,4,1.00,
REL-IS_PRO-0000082,STD-00066,IS 10613,PROD-00171,Requirement of Retro-Reflective Devices for Bicycles,COVERS,product_name,product_name,Requirement of Retro-Reflective Devices for Bicycles,,F002,06_scheme_iv.csv,,5,1.00,
REL-IS_PRO-0000083,STD-01092,IS 3024,PROD-00269,Stampings/laminations/cores of transformers (with or without winding),COVERS,product_name,product_name,Stampings/laminations/cores of transformers (with or without winding),,F002,06_scheme_iv.csv,,6,1.00,
REL-IS_PRO-0000084,STD-00066,IS 10613,PROD-00171,Requirement of Retro-Reflective Devices for Bicycles,COVERS,product_name,product_name,Requirement of Retro-Reflective Devices for Bicycles,,F002,06_scheme_iv.csv,,7,1.00,
REL-IS_PRO-0000085,STD-01750,IS/IEC 60947 (Part 2),PROD-00005,"AC Circuit - Breakers (Category A)- All ratings upto 630 A, upto 440V AC",COVERS,product_name,product_name,"AC Circuit - Breakers (Category A)- All ratings upto 630 A, upto 440V AC",,F003,07_scheme_x.csv,,2,1.00,
REL-IS_PRO-0000086,STD-01750,IS/IEC 60947 (Part 2),PROD-00004,"AC Circuit - Breakers (Category - A)- All ratings above 630A , upto 440V AC",COVERS,product_name,product_name,"AC Circuit - Breakers (Category - A)- All ratings above 630A , upto 440V AC",,F003,07_scheme_x.csv,,3,1.00,
REL-IS_PRO-0000087,STD-01750,IS/IEC 60947 (Part 2),PROD-00004,"AC Circuit - Breakers (Category - A)- All ratings above 630A , upto 440V AC",COVERS,product_name,product_name,"AC Circuit - Breakers (Category - A)- All ratings above 630A , upto 440V AC",,F003,07_scheme_x.csv,,4,1.00,
REL-IS_PRO-0000088,STD-01750,IS/IEC 60947 (Part 2),PROD-00004,"AC Circuit - Breakers (Category - A)- All ratings above 630A , upto 440V AC",COVERS,product_name,product_name,"AC Circuit - Breakers (Category - A)- All ratings above 630A , upto 440V AC",,F003,07_scheme_x.csv,,5,1.00,
REL-IS_PRO-0000089,STD-01750,IS/IEC 60947 (Part 2),PROD-00008,"AC Circuit Breakers (Category -B)- All ratings upto 2000 A, upto 440V AC",COVERS,product_name,product_name,"AC Circuit Breakers (Category -B)- All ratings upto 2000 A, upto 440V AC",,F003,07_scheme_x.csv,,6,1.00,
REL-IS_PRO-0000090,STD-01750,IS/IEC 60947 (Part 2),PROD-00007,"AC Circuit - Breakers (Category B)- All rating upto 2000 A, upto 440V AC",COVERS,product_name,product_name,"AC Circuit - Breakers (Category B)- All rating upto 2000 A, upto 440V AC",,F003,07_scheme_x.csv,,7,1.00,
REL-IS_PRO-0000091,STD-01750,IS/IEC 60947 (Part 2),PROD-00003,AC Circuit - Breakers (Category A) - All rating above 440V AC,COVERS,product_name,product_name,AC Circuit - Breakers (Category A) - All rating above 440V AC,,F003,07_scheme_x.csv,,8,1.00,
REL-IS_PRO-0000092,STD-01750,IS/IEC 60947 (Part 2),PROD-00009,"AC Circuit - Breakers (Category B)- rating above 2000 A, upto 440V AC",COVERS,product_name,product_name,"AC Circuit - Breakers (Category B)- rating above 2000 A, upto 440V AC",,F003,07_scheme_x.csv,,9,1.00,
REL-IS_PRO-0000093,STD-01750,IS/IEC 60947 (Part 2),PROD-00006,AC Circuit - Breakers (Category B)- All rating above 440V AC,COVERS,product_name,product_name,AC Circuit - Breakers (Category B)- All rating above 440V AC,,F003,07_scheme_x.csv,,10,1.00,
REL-IS_PRO-0000094,STD-01750,IS/IEC 60947 (Part 2),PROD-00076,DC Circuit - Breaker (Category A) - All rating,COVERS,product_name,product_name,DC Circuit - Breaker (Category A) - All rating,,F003,07_scheme_x.csv,,11,1.00,
REL-IS_PRO-0000095,STD-01750,IS/IEC 60947 (Part 2),PROD-00001,AC Circuit - Breaker (Category B)- All rating,COVERS,product_name,product_name,AC Circuit - Breaker (Category B)- All rating,,F003,07_scheme_x.csv,,12,1.00,
REL-IS_PRO-0000096,STD-01751,IS/IEC 60947 (Part 3),PROD-00014,"All AC utilization categories Upto 250A, Upto 440V AC",COVERS,product_name,product_name,"All AC utilization categories Upto 250A, Upto 440V AC",,F003,07_scheme_x.csv,,13,1.00,
REL-IS_PRO-0000097,STD-01751,IS/IEC 60947 (Part 3),PROD-00014,"All AC utilization categories Upto 250A, Upto 440V AC",COVERS,product_name,product_name,"All AC utilization categories Upto 250A, Upto 440V AC",,F003,07_scheme_x.csv,,14,1.00,
REL-IS_PRO-0000098,STD-01751,IS/IEC 60947 (Part 3),PROD-00015,"All AC utilization categories Upto 630 A, Upto 440V AC",COVERS,product_name,product_name,"All AC utilization categories Upto 630 A, Upto 440V AC",,F003,07_scheme_x.csv,,15,1.00,
REL-IS_PRO-0000099,STD-01751,IS/IEC 60947 (Part 3),PROD-00012,"All AC utilization categories Above 630 A, Upto 440V AC",COVERS,product_name,product_name,"All AC utilization categories Above 630 A, Upto 440V AC",,F003,07_scheme_x.csv,,16,1.00,
REL-IS_PRO-0000100,STD-01751,IS/IEC 60947 (Part 3),PROD-00013,"All AC utilization categories All ratings, above 440V AC",COVERS,product_name,product_name,"All AC utilization categories All ratings, above 440V AC",,F003,07_scheme_x.csv,,17,1.00,
REL-IS_PRO-0000101,STD-01751,IS/IEC 60947 (Part 3),PROD-00017,"All DC utilization categories, All ratings",COVERS,product_name,product_name,"All DC utilization categories, All ratings",,F003,07_scheme_x.csv,,18,1.00,
REL-IS_PRO-0000102,STD-01752,IS/IEC 60947 (Part 4),PROD-00069,Contactor -All AC utilization categories Upto 32A,COVERS,product_name,product_name,Contactor -All AC utilization categories Upto 32A,,F003,07_scheme_x.csv,,19,1.00,
REL-IS_PRO-0000103,STD-01752,IS/IEC 60947 (Part 4),PROD-00069,Contactor -All AC utilization categories Upto 32A,COVERS,product_name,product_name,Contactor -All AC utilization categories Upto 32A,,F003,07_scheme_x.csv,,20,1.00,
REL-IS_PRO-0000104,STD-01752,IS/IEC 60947 (Part 4),PROD-00068,"Contactor -All AC utilization categories, above 32A",COVERS,product_name,product_name,"Contactor -All AC utilization categories, above 32A",,F003,07_scheme_x.csv,,21,1.00,
REL-IS_PRO-0000105,STD-01752,IS/IEC 60947 (Part 4),PROD-00273,Starter- All AC utilization categories direct-on-line a.c. starter,COVERS,product_name,product_name,Starter- All AC utilization categories direct-on-line a.c. starter,,F003,07_scheme_x.csv,,22,1.00,
REL-IS_PRO-0000106,STD-01752,IS/IEC 60947 (Part 4),PROD-00272,Starter- All AC utilization categories. All other Starters,COVERS,product_name,product_name,Starter- All AC utilization categories. All other Starters,,F003,07_scheme_x.csv,,23,1.00,
REL-IS_PRO-0000107,STD-01752,IS/IEC 60947 (Part 4),PROD-00016,All DC utilization categories. All DC ratings,COVERS,product_name,product_name,All DC utilization categories. All DC ratings,,F003,07_scheme_x.csv,,24,1.00,
REL-IS_PRO-0000108,STD-01752,IS/IEC 60947 (Part 4),PROD-00036,All types of product ratings,COVERS,product_name,product_name,All types of product ratings,,F003,07_scheme_x.csv,,25,1.00,
REL-IS_PRO-0000109,STD-01752,IS/IEC 60947 (Part 4),PROD-00036,All types of product ratings,COVERS,product_name,product_name,All types of product ratings,,F003,07_scheme_x.csv,,26,1.00,
REL-IS_PRO-0000110,STD-01753,IS/IEC 60947 (Part 5),PROD-00124,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,COVERS,product_name,product_name,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,,F003,07_scheme_x.csv,,27,1.00,
REL-IS_PRO-0000111,STD-01753,IS/IEC 60947 (Part 5),PROD-00124,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,COVERS,product_name,product_name,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,,F003,07_scheme_x.csv,,28,1.00,
REL-IS_PRO-0000112,STD-01753,IS/IEC 60947 (Part 5),PROD-00124,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,COVERS,product_name,product_name,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,,F003,07_scheme_x.csv,,29,1.00,
REL-IS_PRO-0000113,STD-01753,IS/IEC 60947 (Part 5),PROD-00124,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,COVERS,product_name,product_name,Low-Voltage Switchgear and Controlgear Part 5 Control Circuit Devices and Switching,,F003,07_scheme_x.csv,,30,1.00,
REL-IS_PRO-0000114,STD-01753,IS/IEC 60947 (Part 5),PROD-00021,All test as per IS/IEC 60947: Part 5: Sec 2: 2007,COVERS,product_name,product_name,All test as per IS/IEC 60947: Part 5: Sec 2: 2007,,F003,07_scheme_x.csv,,31,1.00,
REL-IS_PRO-0000115,STD-01753,IS/IEC 60947 (Part 5),PROD-00019,All devices with button type actuator,COVERS,product_name,product_name,All devices with button type actuator,,F003,07_scheme_x.csv,,32,1.00,
REL-IS_PRO-0000116,STD-01753,IS/IEC 60947 (Part 5),PROD-00018,All devices with all types of actuator,COVERS,product_name,product_name,All devices with all types of actuator,,F003,07_scheme_x.csv,,33,1.00,
REL-IS_PRO-0000117,STD-00623,IS 16189,PROD-00037,"All types of Pumps for handling liquids, liquid elevators and (or) their assemblies/sub-assemblies/components",COVERS,product_name,product_name,"All types of Pumps for handling liquids, liquid elevators and (or) their assemblies/sub-assemblies/components",,F003,07_scheme_x.csv,,34,1.00,
