relationship_id,scheme_id,scheme_name,product_id,product_name,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-SCHEME-0000015,SCH-00015,Scheme-I (ISI Mark),PROD-00305,White Portland Cement,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,16,1.00,
REL-SCHEME-0000016,SCH-00015,Scheme-I (ISI Mark),PROD-00111,Hydrophobic Portland Cement,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,17,1.00,
REL-SCHEME-0000017,SCH-00015,Scheme-I (ISI Mark),PROD-00066,Composite Cement,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,18,1.00,
REL-SCHEME-0000018,SCH-00015,Scheme-I (ISI Mark),PROD-00213,Safety of Toys (Part 1 - Mechanical and Physical Properties),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,19,1.00,
REL-SCHEME-0000019,SCH-00015,Scheme-I (ISI Mark),PROD-00215,Safety of Toys (Part 2 - Flammability),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,20,1.00,
REL-SCHEME-0000020,SCH-00015,Scheme-I (ISI Mark),PROD-00216,Safety of Toys (Part 3 - Migration of Certain Elements),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,21,1.00,
REL-SCHEME-0000021,SCH-00015,Scheme-I (ISI Mark),PROD-00218,"Safety of Toys (Part 4 - Swings, Slides & Activity Toys)",CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,22,1.00,
REL-SCHEME-0000022,SCH-00015,Scheme-I (ISI Mark),PROD-00203,Safety of Electric Toys,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,23,1.00,
REL-SCHEME-0000023,SCH-00015,Scheme-I (ISI Mark),PROD-00102,Flat Transparent Sheet Glass,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,24,1.00,
REL-SCHEME-0000024,SCH-00015,Scheme-I (ISI Mark),PROD-00194,"Safety Glass (Part 1 - Architectural, Building & General)",CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,25,1.00,
REL-SCHEME-0000025,SCH-00015,Scheme-I (ISI Mark),PROD-00195,Safety Glass (Part 2 - For Road Transport),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,26,1.00,
REL-SCHEME-0000026,SCH-00015,Scheme-I (ISI Mark),PROD-00184,Rubber Hoses for Fuel Dispensing (Part 1),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,27,1.00,
REL-SCHEME-0000027,SCH-00015,Scheme-I (ISI Mark),PROD-00185,Rubber Hoses for Fuel Dispensing (Part 2),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,28,1.00,
REL-SCHEME-0000028,SCH-00015,Scheme-I (ISI Mark),PROD-00011,Alcohol Based Hand Sanitizers,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,29,1.00,
REL-SCHEME-0000029,SCH-00015,Scheme-I (ISI Mark),PROD-00231,Seamless Stainless Steel Pipes and Tubes,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,30,1.00,
REL-SCHEME-0000030,SCH-00015,Scheme-I (ISI Mark),PROD-00303,Welded Stainless Steel Pipes and Tubes,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,31,1.00,
REL-SCHEME-0000031,SCH-00015,Scheme-I (ISI Mark),PROD-00122,Lithium Base Grease,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,32,1.00,
REL-SCHEME-0000032,SCH-00015,Scheme-I (ISI Mark),PROD-00205,Safety of Household and Similar Electrical Appliances (Part 1),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,33,1.00,
REL-SCHEME-0000033,SCH-00015,Scheme-I (ISI Mark),PROD-00250,Sports Footwear (Part 1 - General Purpose),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,34,1.00,
REL-SCHEME-0000034,SCH-00015,Scheme-I (ISI Mark),PROD-00251,Sports Footwear (Part 2 - Performance Shoes),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,35,1.00,
REL-SCHEME-0000035,SCH-00015,Scheme-I (ISI Mark),PROD-00252,Sports Footwear (Part 3 - Professional & Outdoor),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,36,1.00,
REL-SCHEME-0000036,SCH-00015,Scheme-I (ISI Mark),PROD-00078,Derby Shoes,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,37,1.00,
REL-SCHEME-0000037,SCH-00015,Scheme-I (ISI Mark),PROD-00059,Casual Footwear,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,38,1.00,
REL-SCHEME-0000038,SCH-00015,Scheme-I (ISI Mark),PROD-00237,Shoes (Part 1 - General Requirements),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,39,1.00,
REL-SCHEME-0000039,SCH-00015,Scheme-I (ISI Mark),PROD-00238,Shoes (Part 2 - Specific Footwear Types),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,40,1.00,
REL-SCHEME-0000040,SCH-00015,Scheme-I (ISI Mark),PROD-00138,Personal Protective Equipment - Safety Footwear (Part 2),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,Scheme-I (ISI Mark),,F011,BIS_Products_Details.xlsx,Products_Details,41,1.00,
REL-SCHEME-0000041,SCH-00009,"Product Specification (Product Manual & SIT: 1, Active Licenses: 40, Labs: 13)",PROD-00313,Work Chairs - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,"Product Specification (Product Manual & SIT: 1, Active Licenses: 40, Labs: 13)",,F012,BIS_Products_Full_Information.xlsx,Products_Details,2,1.00,
REL-SCHEME-0000042,SCH-00011,"Product Specification (Scheme-I, ISI Mark)",PROD-00107,General Purpose Chairs and Stools - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,"Product Specification (Scheme-I, ISI Mark)",,F012,BIS_Products_Full_Information.xlsx,Products_Details,3,1.00,
REL-SCHEME-0000043,SCH-00010,"Product Specification (Product Manual & SIT: 1, Active Licenses: 79, Labs: 14)",PROD-00286,Tables and Desks - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,"Product Specification (Product Manual & SIT: 1, Active Licenses: 79, Labs: 14)",,F012,BIS_Products_Full_Information.xlsx,Products_Details,4,1.00,
REL-SCHEME-0000044,SCH-00011,"Product Specification (Scheme-I, ISI Mark)",PROD-00275,Storage Units - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,"Product Specification (Scheme-I, ISI Mark)",,F012,BIS_Products_Full_Information.xlsx,Products_Details,5,1.00,
REL-SCHEME-0000045,SCH-00011,"Product Specification (Scheme-I, ISI Mark)",PROD-00052,Beds - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,"Product Specification (Scheme-I, ISI Mark)",,F012,BIS_Products_Full_Information.xlsx,Products_Details,6,1.00,
REL-SCHEME-0000046,SCH-00011,"Product Specification (Scheme-I, ISI Mark)",PROD-00057,Bunk Beds and High Beds - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,"Product Specification (Scheme-I, ISI Mark)",,F012,BIS_Products_Full_Information.xlsx,Products_Details,7,1.00,
REL-SCHEME-0000047,SCH-00012,"Product Specification (Scheme-I, Mandatory ISI Mark, 440+ Licenses)",PROD-00084,Domestic Pressure Cooker - Specification (Seventh Revision),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,"Product Specification (Scheme-I, Mandatory ISI Mark, 440+ Licenses)",,F012,BIS_Products_Full_Information.xlsx,Products_Details,8,1.00,
REL-SCHEME-0000048,SCH-00004,BIS Scheme-I (ISI Mark Certification Scheme),PROD-00277,Sulphate Resisting Portland Cement,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark Certification Scheme),,F012,BIS_Products_Full_Information.xlsx,Products_Details,9,1.00,
REL-SCHEME-0000049,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00123,Low Heat Portland Cement,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,10,1.00,
REL-SCHEME-0000050,SCH-00005,BIS Scheme-I (ISI Mark Scheme),PROD-00152,Portland Pozzolana Cement - Specification - Part 1: Fly Ash Based,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark Scheme),,F012,BIS_Products_Full_Information.xlsx,Products_Details,11,1.00,
REL-SCHEME-0000051,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00153,Portland Pozzolana Cement - Specification - Part 2: Calcined Clay Based,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,12,1.00,
REL-SCHEME-0000052,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00133,Ordinary Portland Cement - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,13,1.00,
REL-SCHEME-0000053,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00159,Portland Slag Cement - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,14,1.00,
REL-SCHEME-0000054,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00169,Rapid Hardening Portland Cement - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,15,1.00,
REL-SCHEME-0000055,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00306,White Portland Cement - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,16,1.00,
REL-SCHEME-0000056,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00112,Hydrophobic Portland Cement - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,17,1.00,
REL-SCHEME-0000057,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00067,Composite Cement - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,18,1.00,
REL-SCHEME-0000058,SCH-00005,BIS Scheme-I (ISI Mark Scheme),PROD-00214,Safety of Toys - Part 1: Safety Aspects Related to Mechanical and Physical Properties,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark Scheme),,F012,BIS_Products_Full_Information.xlsx,Products_Details,19,1.00,
REL-SCHEME-0000059,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00215,Safety of Toys (Part 2 - Flammability),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,20,1.00,
REL-SCHEME-0000060,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00216,Safety of Toys (Part 3 - Migration of Certain Elements),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,21,1.00,
REL-SCHEME-0000061,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00219,"Safety of Toys - Part 4: Swings, Slides and Similar Activity Toys for Domestic Use",CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,22,1.00,
REL-SCHEME-0000062,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00203,Safety of Electric Toys,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,23,1.00,
REL-SCHEME-0000063,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00103,Flat Transparent Sheet Glass - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,24,1.00,
REL-SCHEME-0000064,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00197,"Safety Glass - Specification - Part 1: Architectural, Building and General Purpose",CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,25,1.00,
REL-SCHEME-0000065,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00198,Safety Glass - Specification - Part 2: For Road Transport,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,26,1.00,
REL-SCHEME-0000066,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00186,Rubber Hoses for Liquefied Petroleum Gas (LPG) - Specification - Part 1: For Commercial and Industrial Applications,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,27,1.00,
REL-SCHEME-0000067,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00187,Rubber Hoses for Liquefied Petroleum Gas (LPG) - Specification - Part 2: For Domestic Applications,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,28,1.00,
REL-SCHEME-0000068,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00045,Aluminium and Aluminium Alloy Corrugated Sheets - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,29,1.00,
REL-SCHEME-0000069,SCH-00005,BIS Scheme-I (ISI Mark Scheme),PROD-00232,Seamless Stainless Steel Pipes and Tubes - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark Scheme),,F012,BIS_Products_Full_Information.xlsx,Products_Details,30,1.00,
REL-SCHEME-0000070,SCH-00005,BIS Scheme-I (ISI Mark Scheme),PROD-00304,Welded Stainless Steel Pipes and Tubes - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark Scheme),,F012,BIS_Products_Full_Information.xlsx,Products_Details,31,1.00,
REL-SCHEME-0000071,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00101,Flashlights - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,32,1.00,
REL-SCHEME-0000072,SCH-00005,BIS Scheme-I (ISI Mark Scheme),PROD-00206,Safety of Household and Similar Electrical Appliances - Part 1: General Requirements,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark Scheme),,F012,BIS_Products_Full_Information.xlsx,Products_Details,33,1.00,
REL-SCHEME-0000073,SCH-00005,BIS Scheme-I (ISI Mark Scheme),PROD-00255,Sports Footwear - Specification - Part 1: General Purpose Sports Footwear,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark Scheme),,F012,BIS_Products_Full_Information.xlsx,Products_Details,34,1.00,
REL-SCHEME-0000074,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00256,Sports Footwear - Specification - Part 2: Performance Sports Footwear,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,35,1.00,
REL-SCHEME-0000075,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00257,Sports Footwear - Specification - Part 3: Specialized/Outdoor & Trekking Footwear,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,36,1.00,
REL-SCHEME-0000076,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00094,Ethylene Vinyl Acetate (EVA) Footwear - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,37,1.00,
REL-SCHEME-0000077,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00146,Polyvinyl Chloride (PVC) Footwear - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,38,1.00,
REL-SCHEME-0000078,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00060,Casual Footwear - Specification - Part 1: Direct Moulded Process,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,39,1.00,
REL-SCHEME-0000079,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00061,Casual Footwear - Specification - Part 2: Stuck-On/Cemented Construction Process,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F012,BIS_Products_Full_Information.xlsx,Products_Details,40,1.00,
REL-SCHEME-0000080,SCH-00005,BIS Scheme-I (ISI Mark Scheme),PROD-00139,Personal Protective Equipment - Safety Footwear - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark Scheme),,F012,BIS_Products_Full_Information.xlsx,Products_Details,41,1.00,
REL-SCHEME-0000081,SCH-00009,"Product Specification (Product Manual & SIT: 1, Active Licenses: 40, Labs: 13)",PROD-00313,Work Chairs - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,"Product Specification (Product Manual & SIT: 1, Active Licenses: 40, Labs: 13)",,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,2,1.00,
REL-SCHEME-0000082,SCH-00011,"Product Specification (Scheme-I, ISI Mark)",PROD-00107,General Purpose Chairs and Stools - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,"Product Specification (Scheme-I, ISI Mark)",,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,3,1.00,
REL-SCHEME-0000083,SCH-00010,"Product Specification (Product Manual & SIT: 1, Active Licenses: 79, Labs: 14)",PROD-00286,Tables and Desks - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,"Product Specification (Product Manual & SIT: 1, Active Licenses: 79, Labs: 14)",,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,4,1.00,
REL-SCHEME-0000084,SCH-00011,"Product Specification (Scheme-I, ISI Mark)",PROD-00275,Storage Units - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,"Product Specification (Scheme-I, ISI Mark)",,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,5,1.00,
REL-SCHEME-0000085,SCH-00011,"Product Specification (Scheme-I, ISI Mark)",PROD-00052,Beds - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,"Product Specification (Scheme-I, ISI Mark)",,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,6,1.00,
REL-SCHEME-0000086,SCH-00011,"Product Specification (Scheme-I, ISI Mark)",PROD-00057,Bunk Beds and High Beds - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,"Product Specification (Scheme-I, ISI Mark)",,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,7,1.00,
REL-SCHEME-0000087,SCH-00012,"Product Specification (Scheme-I, Mandatory ISI Mark, 440+ Licenses)",PROD-00084,Domestic Pressure Cooker - Specification (Seventh Revision),CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,"Product Specification (Scheme-I, Mandatory ISI Mark, 440+ Licenses)",,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,8,1.00,
REL-SCHEME-0000088,SCH-00004,BIS Scheme-I (ISI Mark Certification Scheme),PROD-00277,Sulphate Resisting Portland Cement,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark Certification Scheme),,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,9,1.00,
REL-SCHEME-0000089,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00123,Low Heat Portland Cement,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,10,1.00,
REL-SCHEME-0000090,SCH-00005,BIS Scheme-I (ISI Mark Scheme),PROD-00152,Portland Pozzolana Cement - Specification - Part 1: Fly Ash Based,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark Scheme),,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,11,1.00,
REL-SCHEME-0000091,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00153,Portland Pozzolana Cement - Specification - Part 2: Calcined Clay Based,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,12,1.00,
REL-SCHEME-0000092,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00133,Ordinary Portland Cement - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,13,1.00,
REL-SCHEME-0000093,SCH-00003,BIS Scheme-I (ISI Mark),PROD-00159,Portland Slag Cement - Specification,CERTIFIABLE_UNDER,related_scheme_text,related_scheme_text,BIS Scheme-I (ISI Mark),,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,14,1.00,
