relationship_id,is_id,canonical_is_number,scheme_id,scheme_name,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-IS_SCH-0000032,STD-00050,IS 10322 (Part 5),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,33,1.00,
REL-IS_SCH-0000033,STD-00050,IS 10322 (Part 5),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,34,1.00,
REL-IS_SCH-0000034,STD-00050,IS 10322 (Part 5),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,35,1.00,
REL-IS_SCH-0000035,STD-00050,IS 10322 (Part 5),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,36,1.00,
REL-IS_SCH-0000036,STD-00050,IS 10322 (Part 5),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,37,1.00,
REL-IS_SCH-0000037,STD-00050,IS 10322 (Part 5),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,38,1.00,
REL-IS_SCH-0000038,STD-00636,IS 16242 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,39,1.00,
REL-IS_SCH-0000039,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,40,1.00,
REL-IS_SCH-0000040,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,41,1.00,
REL-IS_SCH-0000041,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,42,1.00,
REL-IS_SCH-0000042,STD-01090,IS 302 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,43,1.00,
REL-IS_SCH-0000043,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,44,1.00,
REL-IS_SCH-0000044,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,45,1.00,
REL-IS_SCH-0000045,STD-00612,IS 16103 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,46,1.00,
REL-IS_SCH-0000046,STD-00050,IS 10322 (Part 5),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,47,1.00,
REL-IS_SCH-0000047,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,48,1.00,
REL-IS_SCH-0000048,STD-01091,IS 302 (Part 2),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,49,1.00,
REL-IS_SCH-0000049,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,50,1.00,
REL-IS_SCH-0000050,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,51,1.00,
REL-IS_SCH-0000051,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,52,1.00,
REL-IS_SCH-0000052,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,53,1.00,
REL-IS_SCH-0000053,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,54,1.00,
REL-IS_SCH-0000054,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,55,1.00,
REL-IS_SCH-0000055,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,56,1.00,
REL-IS_SCH-0000056,STD-01091,IS 302 (Part 2),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,57,1.00,
REL-IS_SCH-0000057,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,58,1.00,
REL-IS_SCH-0000058,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,59,1.00,
REL-IS_SCH-0000059,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,60,1.00,
REL-IS_SCH-0000060,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,61,1.00,
REL-IS_SCH-0000061,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,62,1.00,
REL-IS_SCH-0000062,STD-01403,IS 60669 (Part 2),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,63,1.00,
REL-IS_SCH-0000063,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,64,1.00,
REL-IS_SCH-0000064,STD-00852,IS 18112,SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,65,1.00,
REL-IS_SCH-0000065,STD-01756,IS/IEC 62368 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,66,1.00,
REL-IS_SCH-0000066,STD-00366,IS 14286,SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,67,1.00,
REL-IS_SCH-0000067,STD-01754,IS/IEC 61730 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,68,1.00,
REL-IS_SCH-0000068,STD-01755,IS/IEC 61730 (Part 2),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,69,1.00,
REL-IS_SCH-0000069,STD-00600,IS 16077,SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,70,1.00,
REL-IS_SCH-0000070,STD-01754,IS/IEC 61730 (Part 1),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,71,1.00,
REL-IS_SCH-0000071,STD-01755,IS/IEC 61730 (Part 2),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,72,1.00,
REL-IS_SCH-0000072,STD-00631,IS 16221 (Part 2),SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,73,1.00,
REL-IS_SCH-0000073,STD-00619,IS 16169,SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,74,1.00,
REL-IS_SCH-0000074,STD-00639,IS 16270,SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,75,1.00,
REL-IS_SCH-0000075,STD-01561,IS 798,SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,76,1.00,
REL-IS_SCH-0000076,STD-00780,IS 17439,SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,77,1.00,
REL-IS_SCH-0000077,STD-00776,IS 17412,SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,78,1.00,
REL-IS_SCH-0000078,STD-00179,IS 12171,SCH-00018,Scheme - II (Registration Scheme),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - II (Registration Scheme),,F001,05_scheme_ii.csv,,79,1.00,
REL-IS_SCH-0000079,STD-01092,IS 3024,SCH-00020,Scheme - IV ( Grant Of Certificate Of Conformity ),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - IV ( Grant Of Certificate Of Conformity ),,F002,06_scheme_iv.csv,,2,1.00,
REL-IS_SCH-0000080,STD-01435,IS 648,SCH-00020,Scheme - IV ( Grant Of Certificate Of Conformity ),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - IV ( Grant Of Certificate Of Conformity ),,F002,06_scheme_iv.csv,,3,1.00,
REL-IS_SCH-0000081,STD-00669,IS 16585,SCH-00020,Scheme - IV ( Grant Of Certificate Of Conformity ),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - IV ( Grant Of Certificate Of Conformity ),,F002,06_scheme_iv.csv,,4,1.00,
REL-IS_SCH-0000082,STD-00066,IS 10613,SCH-00020,Scheme - IV ( Grant Of Certificate Of Conformity ),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - IV ( Grant Of Certificate Of Conformity ),,F002,06_scheme_iv.csv,,5,1.00,
REL-IS_SCH-0000083,STD-01092,IS 3024,SCH-00020,Scheme - IV ( Grant Of Certificate Of Conformity ),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - IV ( Grant Of Certificate Of Conformity ),,F002,06_scheme_iv.csv,,6,1.00,
REL-IS_SCH-0000084,STD-00066,IS 10613,SCH-00020,Scheme - IV ( Grant Of Certificate Of Conformity ),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - IV ( Grant Of Certificate Of Conformity ),,F002,06_scheme_iv.csv,,7,1.00,
REL-IS_SCH-0000085,STD-01750,IS/IEC 60947 (Part 2),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,2,1.00,
REL-IS_SCH-0000086,STD-01750,IS/IEC 60947 (Part 2),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,3,1.00,
REL-IS_SCH-0000087,STD-01750,IS/IEC 60947 (Part 2),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,4,1.00,
REL-IS_SCH-0000088,STD-01750,IS/IEC 60947 (Part 2),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,5,1.00,
REL-IS_SCH-0000089,STD-01750,IS/IEC 60947 (Part 2),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,6,1.00,
REL-IS_SCH-0000090,STD-01750,IS/IEC 60947 (Part 2),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,7,1.00,
REL-IS_SCH-0000091,STD-01750,IS/IEC 60947 (Part 2),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,8,1.00,
REL-IS_SCH-0000092,STD-01750,IS/IEC 60947 (Part 2),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,9,1.00,
REL-IS_SCH-0000093,STD-01750,IS/IEC 60947 (Part 2),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,10,1.00,
REL-IS_SCH-0000094,STD-01750,IS/IEC 60947 (Part 2),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,11,1.00,
REL-IS_SCH-0000095,STD-01750,IS/IEC 60947 (Part 2),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,12,1.00,
REL-IS_SCH-0000096,STD-01751,IS/IEC 60947 (Part 3),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,13,1.00,
REL-IS_SCH-0000097,STD-01751,IS/IEC 60947 (Part 3),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,14,1.00,
REL-IS_SCH-0000098,STD-01751,IS/IEC 60947 (Part 3),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,15,1.00,
REL-IS_SCH-0000099,STD-01751,IS/IEC 60947 (Part 3),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,16,1.00,
REL-IS_SCH-0000100,STD-01751,IS/IEC 60947 (Part 3),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,17,1.00,
REL-IS_SCH-0000101,STD-01751,IS/IEC 60947 (Part 3),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,18,1.00,
REL-IS_SCH-0000102,STD-01752,IS/IEC 60947 (Part 4),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,19,1.00,
REL-IS_SCH-0000103,STD-01752,IS/IEC 60947 (Part 4),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,20,1.00,
REL-IS_SCH-0000104,STD-01752,IS/IEC 60947 (Part 4),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,21,1.00,
REL-IS_SCH-0000105,STD-01752,IS/IEC 60947 (Part 4),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,22,1.00,
REL-IS_SCH-0000106,STD-01752,IS/IEC 60947 (Part 4),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,23,1.00,
REL-IS_SCH-0000107,STD-01752,IS/IEC 60947 (Part 4),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,24,1.00,
REL-IS_SCH-0000108,STD-01752,IS/IEC 60947 (Part 4),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,25,1.00,
REL-IS_SCH-0000109,STD-01752,IS/IEC 60947 (Part 4),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,26,1.00,
REL-IS_SCH-0000110,STD-01753,IS/IEC 60947 (Part 5),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,27,1.00,
REL-IS_SCH-0000111,STD-01753,IS/IEC 60947 (Part 5),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,28,1.00,
REL-IS_SCH-0000112,STD-01753,IS/IEC 60947 (Part 5),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,29,1.00,
REL-IS_SCH-0000113,STD-01753,IS/IEC 60947 (Part 5),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,30,1.00,
REL-IS_SCH-0000114,STD-01753,IS/IEC 60947 (Part 5),SCH-00023,Scheme - X (Certification),CERTIFIABLE_UNDER,scheme_label,scheme_label,Scheme - X (Certification),,F003,07_scheme_x.csv,,31,1.00,
