relationship_id,qco_id,qco_number,scheme_id,scheme_name,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-QCO_SC-0000044,QCO-00075,S.O. 853(E),SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I,,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,5,1.00,
REL-QCO_SC-0000045,QCO-00075,S.O. 853(E),SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I,,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,6,1.00,
REL-QCO_SC-0000046,QCO-00070,S.O. 4144(E),SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I,,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,7,1.00,
REL-QCO_SC-0000047,QCO-00064,S.O. 1045(E),SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I,,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,8,1.00,
REL-QCO_SC-0000048,QCO-00071,S.O. 478(E),SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I,,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,9,1.00,
REL-QCO_SC-0000049,QCO-00074,S.O. 687(E),SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I,,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,10,1.00,
REL-QCO_SC-0000050,QCO-00054,No. tified Draft / Final Order (2024),SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I,,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,11,1.00,
REL-QCO_SC-0000051,QCO-00051,Ministry No. tification (2024/2025),SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I,,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,12,1.00,
REL-QCO_SC-0000052,QCO-00066,S.O. 189(E) / Amendments,SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I,,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,13,1.00,
REL-QCO_SC-0000053,QCO-00065,S.O. 1421(E),SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I,,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,14,1.00,
REL-QCO_SC-0000054,QCO-00065,S.O. 1421(E),SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I,,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,15,1.00,
REL-QCO_SC-0000055,QCO-00069,S.O. 3857(E),SCH-00014,Scheme-I,ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I,,F015,BIS_QCO_Master_Records (1).xlsx,QCO_Master_Records,16,1.00,
REL-QCO_SC-0000056,QCO-00068,S.O. 294(E),SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I (ISI Mark),,F016,BIS_QCO_Master_Records.xlsx,QCO_Master_Details,2,1.00,
REL-QCO_SC-0000057,QCO-00075,S.O. 853(E),SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I (ISI Mark),,F016,BIS_QCO_Master_Records.xlsx,QCO_Master_Details,3,1.00,
REL-QCO_SC-0000058,QCO-00041,Furniture QCO,SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme I (ISI Mark),,F016,BIS_QCO_Master_Records.xlsx,QCO_Master_Details,4,1.00,
REL-QCO_SC-0000059,QCO-00073,S.O. 5243(E),SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I (ISI Mark),,F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,2,1.00,
REL-QCO_SC-0000060,QCO-00072,S.O. 5134(E),SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I (ISI Mark),,F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,3,1.00,
REL-QCO_SC-0000061,QCO-00067,S.O. 191(E),SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I (ISI Mark),,F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,4,1.00,
REL-QCO_SC-0000062,QCO-00067,S.O. 191(E),SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I (ISI Mark),,F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,5,1.00,
REL-QCO_SC-0000063,QCO-00067,S.O. 191(E),SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I (ISI Mark),,F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,6,1.00,
REL-QCO_SC-0000064,QCO-00067,S.O. 191(E),SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I (ISI Mark),,F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,7,1.00,
REL-QCO_SC-0000065,QCO-00067,S.O. 191(E),SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I (ISI Mark),,F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,8,1.00,
REL-QCO_SC-0000066,QCO-00067,S.O. 191(E),SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I (ISI Mark),,F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,9,1.00,
REL-QCO_SC-0000067,QCO-00067,S.O. 191(E),SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I (ISI Mark),,F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,10,1.00,
REL-QCO_SC-0000068,QCO-00067,S.O. 191(E),SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I (ISI Mark),,F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,11,1.00,
REL-QCO_SC-0000069,QCO-00067,S.O. 191(E),SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I (ISI Mark),,F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,12,1.00,
REL-QCO_SC-0000070,QCO-00067,S.O. 191(E),SCH-00015,Scheme-I (ISI Mark),ENFORCED_THROUGH,qco_schemes_text,qco_schemes_text,Scheme-I (ISI Mark),,F017,BIS_QCO_Master_Records_v3.xlsx,QCO_Master_Records,13,1.00,
REL-QCO_SC-0000071,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,2,1.00,
REL-QCO_SC-0000072,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,3,1.00,
REL-QCO_SC-0000073,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,4,1.00,
REL-QCO_SC-0000074,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,5,1.00,
REL-QCO_SC-0000075,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,6,1.00,
REL-QCO_SC-0000076,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,7,1.00,
REL-QCO_SC-0000077,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,8,1.00,
REL-QCO_SC-0000078,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,9,1.00,
REL-QCO_SC-0000079,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,10,1.00,
REL-QCO_SC-0000080,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,11,1.00,
REL-QCO_SC-0000081,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,12,1.00,
REL-QCO_SC-0000082,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,13,1.00,
REL-QCO_SC-0000083,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,14,1.00,
REL-QCO_SC-0000084,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,15,1.00,
REL-QCO_SC-0000085,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,16,1.00,
REL-QCO_SC-0000086,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,17,1.00,
REL-QCO_SC-0000087,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,18,1.00,
REL-QCO_SC-0000088,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,19,1.00,
REL-QCO_SC-0000089,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,20,1.00,
REL-QCO_SC-0000090,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,21,1.00,
REL-QCO_SC-0000091,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,22,1.00,
REL-QCO_SC-0000092,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,23,1.00,
REL-QCO_SC-0000093,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,24,1.00,
REL-QCO_SC-0000094,QCO-00086,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,SCH-00019,Foreign Manufacturers Certification Scheme (FMCS)/Certificate of Conformity,ENFORCES,related_qco_text,related_qco_text,Steel and Steel Products QCO / Specific Ministry QCOs corresponding to individual product categories,,F021,BIS_Scheme_IV_FMCS.xlsx,BIS_FMCS_Scheme_IV,25,1.00,
