relationship_id,is_id,canonical_is_number,manual_id,manual_title,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-IS_PRO-0000011,STD-00445,IS 1489 (Part 2),PM-00004,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 1489 (Part 2),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,12,1.00,
REL-IS_PRO-0000012,STD-01041,IS 269,PM-00028,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 269,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,13,1.00,
REL-IS_PRO-0000013,STD-01273,IS 455,PM-00031,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 455,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,14,1.00,
REL-IS_PRO-0000014,STD-01569,IS 8041,PM-00032,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 8041,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,15,1.00,
REL-IS_PRO-0000015,STD-01570,IS 8042,PM-00033,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 8042,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,16,1.00,
REL-IS_PRO-0000016,STD-01571,IS 8043,PM-00034,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 8043,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,17,1.00,
REL-IS_PRO-0000017,STD-00656,IS 16415,PM-00011,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 16415,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,18,1.00,
REL-IS_PRO-0000018,STD-01730,IS 9873 (Part 1),PM-00037,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 9873 (Part 1),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,19,1.00,
REL-IS_PRO-0000019,STD-01731,IS 9873 (Part 2),PM-00038,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 9873 (Part 2),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,20,1.00,
REL-IS_PRO-0000020,STD-01732,IS 9873 (Part 3),PM-00039,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 9873 (Part 3),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,21,1.00,
REL-IS_PRO-0000021,STD-01733,IS 9873 (Part 4),PM-00040,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 9873 (Part 4),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,22,1.00,
REL-IS_PRO-0000022,STD-00530,IS 15644,PM-00007,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 15644,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,23,1.00,
REL-IS_PRO-0000023,STD-01069,IS 2835,PM-00029,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 2835,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,24,1.00,
REL-IS_PRO-0000024,STD-01015,IS 2553 (Part 1),PM-00026,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 2553 (Part 1),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,25,1.00,
REL-IS_PRO-0000025,STD-01016,IS 2553 (Part 2),PM-00027,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 2553 (Part 2),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,26,1.00,
REL-IS_PRO-0000026,STD-01707,IS 9573 (Part 1),PM-00035,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 9573 (Part 1),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,27,1.00,
REL-IS_PRO-0000027,STD-01708,IS 9573 (Part 2),PM-00036,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 9573 (Part 2),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,28,1.00,
REL-IS_PRO-0000028,STD-00497,IS 15392,PM-00006,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 15392,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,29,1.00,
REL-IS_PRO-0000029,STD-00836,IS 17875,PM-00022,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 17875,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,30,1.00,
REL-IS_PRO-0000030,STD-00837,IS 17876,PM-00023,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 17876,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,31,1.00,
REL-IS_PRO-0000031,STD-00947,IS 2083,PM-00024,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 2083,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,32,1.00,
REL-IS_PRO-0000032,STD-01090,IS 302 (Part 1),PM-00030,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 302 (Part 1),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,33,1.00,
REL-IS_PRO-0000033,STD-00558,IS 15844 (Part 1),PM-00008,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 15844 (Part 1),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,34,1.00,
REL-IS_PRO-0000034,STD-00559,IS 15844 (Part 2),PM-00009,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 15844 (Part 2),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,35,1.00,
REL-IS_PRO-0000035,STD-00560,IS 15844 (Part 3),PM-00010,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 15844 (Part 3),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,36,1.00,
REL-IS_PRO-0000036,STD-00718,IS 17012,PM-00012,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 17012,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,37,1.00,
REL-IS_PRO-0000037,STD-00722,IS 17037,PM-00013,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 17037,,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,38,1.00,
REL-IS_PRO-0000038,STD-00725,IS 17043 (Part 1),PM-00014,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 17043 (Part 1),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,39,1.00,
REL-IS_PRO-0000039,STD-00726,IS 17043 (Part 2),PM-00015,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 17043 (Part 2),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,40,1.00,
REL-IS_PRO-0000040,STD-00481,IS 15298 (Part 2),PM-00005,,DOCUMENTED_BY,canonical_is_number,IS_number,IS 15298 (Part 2),,F010,BIS_Product_Manuals_Master.xlsx,BIS_Product_Manuals,41,1.00,
