relationship_id,is_id,canonical_is_number,fmcs_id,cml_licence_no,manufacturer_name,country,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-IS_FMC-0000018,STD-01041,IS 269,FMCS-00917,,SAMRAT CEMENT COMPANY PVT LTD.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,19,1.00,
REL-IS_FMC-0000019,STD-01041,IS 269,FMCS-00893,,FUJAIRAH CEMENT INDUSTRIES (PJSC),,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,20,1.00,
REL-IS_FMC-0000020,STD-01041,IS 269,FMCS-00877,,Lafarge Emirates Cement LLC,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,21,1.00,
REL-IS_FMC-0000021,STD-01041,IS 269,FMCS-00874,,SARBOTTAM CEMENT LIMITED,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,22,1.00,
REL-IS_FMC-0000022,STD-01041,IS 269,FMCS-01115,,"RIDDHI SIDDHI CEMENT PVT, LTD.",,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,23,1.00,
REL-IS_FMC-0000023,STD-01041,IS 269,FMCS-01129,,GHORAHI CEMENT INDUSTRY LIMITED,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 269 : 2015,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,24,1.00,
REL-IS_FMC-0000024,STD-01054,IS 277,FMCS-01269,,Posco Co. Ltd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,25,1.00,
REL-IS_FMC-0000025,STD-01054,IS 277,FMCS-01328,,HYUNDAI STEEL COMPANY,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,26,1.00,
REL-IS_FMC-0000026,STD-01054,IS 277,FMCS-01122,,NARAYANI STRIPS PVT LTD.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,27,1.00,
REL-IS_FMC-0000027,STD-01054,IS 277,FMCS-01087,,Posco Coated Steel Thailand Company Limited,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,28,1.00,
REL-IS_FMC-0000028,STD-01054,IS 277,FMCS-00451,,Abul Khair Limited,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,29,1.00,
REL-IS_FMC-0000029,STD-01054,IS 277,FMCS-00463,,Angang Steel Company Limited,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,30,1.00,
REL-IS_FMC-0000030,STD-01054,IS 277,FMCS-00775,,"Hoa Phat Steel Pipe Co., Ltd.",,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,31,1.00,
REL-IS_FMC-0000031,STD-01054,IS 277,FMCS-00734,,"Jiangsu Shagang Group Co., Ltd",,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,32,1.00,
REL-IS_FMC-0000032,STD-01054,IS 277,FMCS-00534,,VINA ONE STEEL MANUFACTURING CORPORATION,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,33,1.00,
REL-IS_FMC-0000033,STD-01054,IS 277,FMCS-00572,,HOA SEN GROUP JOINT STOCK COMPANY,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,34,1.00,
REL-IS_FMC-0000034,STD-01054,IS 277,FMCS-00712,,AL Ghurair Iron & Steel LLC,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,35,1.00,
REL-IS_FMC-0000035,STD-01054,IS 277,FMCS-00149,,Baoshan Iron & Steel Co. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,36,1.00,
REL-IS_FMC-0000036,STD-01054,IS 277,FMCS-00120,,POSCO Co. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,37,1.00,
REL-IS_FMC-0000037,STD-01054,IS 277,FMCS-00007,,Aarti Strips (P) Ltd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,38,1.00,
REL-IS_FMC-0000038,STD-01054,IS 277,FMCS-00012,,Hulas Steel Industries Pvt Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,39,1.00,
REL-IS_FMC-0000039,STD-01054,IS 277,FMCS-00313,,Zhejiang Huada New Materials co. Ltd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,40,1.00,
REL-IS_FMC-0000040,STD-01054,IS 277,FMCS-00231,,Rajesh Metal Crafts Ltd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,41,1.00,
REL-IS_FMC-0000041,STD-01054,IS 277,FMCS-00468,,China Steel Sumikin Vietnam Joint Stock Company,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,42,1.00,
REL-IS_FMC-0000042,STD-01054,IS 277,FMCS-00401,,Dongkuk Coated Metal Co. Ltd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,43,1.00,
REL-IS_FMC-0000043,STD-01054,IS 277,FMCS-00509,,Hyundai Steel Company,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,44,1.00,
REL-IS_FMC-0000044,STD-01054,IS 277,FMCS-02815,,TVP Steel Joint Stock Company,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,45,1.00,
REL-IS_FMC-0000045,STD-01054,IS 277,FMCS-02833,,"Aju Steel Co., Ltd.",,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,46,1.00,
REL-IS_FMC-0000046,STD-01054,IS 277,FMCS-02617,,KG Dongbu Steel Co. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,47,1.00,
REL-IS_FMC-0000047,STD-01054,IS 277,FMCS-02938,,KG DONGBU STEEL CO. LTD.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,48,1.00,
REL-IS_FMC-0000048,STD-01054,IS 277,FMCS-02036,,Tay Nam Steel Manufacturing & Trading Co. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,49,1.00,
REL-IS_FMC-0000049,STD-01054,IS 277,FMCS-02082,,Nam Kim Steel Joint Stock Company,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 277:2018,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,50,1.00,
REL-IS_FMC-0000050,STD-01062,IS 280,FMCS-01787,,Essen Steel Industry LLC,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 280 : 2006,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,51,1.00,
REL-IS_FMC-0000051,STD-01062,IS 280,FMCS-01422,,"SUGITA WIRE, LTD.",,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 280 : 2006,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,52,1.00,
REL-IS_FMC-0000052,STD-01062,IS 280,FMCS-03120,,Hulas Iron Industries Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 280 : 2006,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,53,1.00,
REL-IS_FMC-0000053,STD-01062,IS 280,FMCS-02642,,TSN Wires Co. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 280 : 2006,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,54,1.00,
REL-IS_FMC-0000054,STD-01094,IS 303,FMCS-02366,,Jaya Bajarang Plywood Industries Pvt. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 303 : 1989,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,55,1.00,
REL-IS_FMC-0000055,STD-01062,IS 280,FMCS-00376,,Chin Herr Industries (M) SDN.BHD),,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 280 : 2006,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,56,1.00,
REL-IS_FMC-0000056,STD-01062,IS 280,FMCS-00234,,Jagdamba Steels Limited,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 280 : 2006,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,57,1.00,
REL-IS_FMC-0000057,STD-01062,IS 280,FMCS-00157,,Hulas Wire Inds. Ltd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 280 : 2006,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,58,1.00,
REL-IS_FMC-0000058,STD-01062,IS 280,FMCS-00664,,Lanka Special Steels Limited,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 280 : 2006,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,59,1.00,
REL-IS_FMC-0000059,STD-01089,IS 302,FMCS-02708,,BSH Hausgerate GmbH,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,60,1.00,
REL-IS_FMC-0000060,STD-01094,IS 303,FMCS-02851,,Apurva Ply Industries,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 303 : 1989,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,61,1.00,
REL-IS_FMC-0000061,STD-01094,IS 303,FMCS-02859,,Om Ply and Furniture Pvt. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 303 : 1989,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,62,1.00,
REL-IS_FMC-0000062,STD-01094,IS 303,FMCS-02948,,Shree Jagdamba Plyboard Industries Pvt. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 303 : 1989,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,63,1.00,
REL-IS_FMC-0000063,STD-01094,IS 303,FMCS-02982,,Group Delta Investments LLC,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 303 : 1989,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,64,1.00,
REL-IS_FMC-0000064,STD-01089,IS 302,FMCS-03067,,MEIBAN TECHNOLOGIES MALAYSIA SDN BHD,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,65,1.00,
REL-IS_FMC-0000065,STD-01089,IS 302,FMCS-03068,,Syarikat Sin Kwang Plastic Industries Sdn. Bhd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,66,1.00,
REL-IS_FMC-0000066,STD-01089,IS 302,FMCS-03088,,"Kinpo Electronics (Philippines), Inc.",,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,67,1.00,
REL-IS_FMC-0000067,STD-01089,IS 302,FMCS-00533,,"NINGBO JIONGCHI ELECTRICAL APPLIANCES CO., LTD",,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,68,1.00,
REL-IS_FMC-0000068,STD-01089,IS 302,FMCS-03089,,Syarikat Sin Kwang Plastic Industries SDN. BHD.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,69,1.00,
REL-IS_FMC-0000069,STD-01089,IS 302,FMCS-02920,,Rational Montage GmbH,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,70,1.00,
REL-IS_FMC-0000070,STD-01089,IS 302,FMCS-02960,,RATIONAL Wittenheim SAS,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,71,1.00,
REL-IS_FMC-0000071,STD-01089,IS 302,FMCS-02908,,BSH Ev Aletleri Sanayi Ve Ticaret A.S,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,72,1.00,
REL-IS_FMC-0000072,STD-01089,IS 302,FMCS-02526,,BSH Hausgerate GmbH,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,73,1.00,
REL-IS_FMC-0000073,STD-01089,IS 302,FMCS-02479,,HANIL MEDICAL CO. LTD.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,74,1.00,
REL-IS_FMC-0000074,STD-01089,IS 302,FMCS-01860,,LAURASTAR SA,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,75,1.00,
REL-IS_FMC-0000075,STD-01346,IS 5405,FMCS-02782,,Abena Produktion A/S,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 5405 : 2019,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,76,1.00,
REL-IS_FMC-0000076,STD-01089,IS 302,FMCS-00156,,Ningbo Chaochao Electrical Appliances Co. Ltd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,77,1.00,
REL-IS_FMC-0000077,STD-01089,IS 302,FMCS-00111,,P.T. Philips Industries Batam,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,78,1.00,
REL-IS_FMC-0000078,STD-01089,IS 302,FMCS-00100,,Ningbo Shuaiwei Electric Appliance Co. Ltd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,79,1.00,
REL-IS_FMC-0000079,STD-01094,IS 303,FMCS-02993,,Radha Swami Plywood & Sunmica Udyog Pvt. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 303 : 1989,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,80,1.00,
REL-IS_FMC-0000080,STD-01089,IS 302,FMCS-00235,,Panasonic Wanbao Appliances Electric Iron (Guangzhou) Co. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,81,1.00,
REL-IS_FMC-0000081,STD-01089,IS 302,FMCS-00241,,Town Ray Electrical (Huizhou) Limited,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,82,1.00,
REL-IS_FMC-0000082,STD-01091,IS 302 (Part 2),FMCS-02443,,ARISTON VIETNAM CO. LTD,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302 (Part 2,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,83,1.00,
REL-IS_FMC-0000083,STD-01343,IS 538,FMCS-01168,,Rabigh Refining & Petrochemical Company,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 538:2020,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,84,1.00,
REL-IS_FMC-0000084,STD-01089,IS 302,FMCS-00710,,Guangdong Xinbao Electrical Appliances Holdings Co. Ltd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,85,1.00,
REL-IS_FMC-0000085,STD-01089,IS 302,FMCS-00698,,Ningbo Kajafa Electric Appliance Co Ltd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,86,1.00,
REL-IS_FMC-0000086,STD-01089,IS 302,FMCS-00733,,Guangdong Shunde Wellife Electrical Applaince Mfg. Co. Ltd,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,87,1.00,
REL-IS_FMC-0000087,STD-01089,IS 302,FMCS-00619,,"Onshiu (Zhongshan) Electrical Appliance Co, Ltd",,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,88,1.00,
REL-IS_FMC-0000088,STD-01089,IS 302,FMCS-01305,,V.S. Industry Berhad,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,89,1.00,
REL-IS_FMC-0000089,STD-01089,IS 302,FMCS-00430,,Ningbo Aotian Electrical Appliances Co. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,90,1.00,
REL-IS_FMC-0000090,STD-01089,IS 302,FMCS-01586,,Yuarn Baau Taih Enterprise Corporation,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,91,1.00,
REL-IS_FMC-0000091,STD-01091,IS 302 (Part 2),FMCS-02267,,STIEBEL ELTRON GMBH & CO. KG,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302 (Part 2,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,92,1.00,
REL-IS_FMC-0000092,STD-01094,IS 303,FMCS-02972,,Himshikhar Laminate and Kastha Udyog Pvt. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 303 : 1989,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,93,1.00,
REL-IS_FMC-0000093,STD-01094,IS 303,FMCS-02973,,Siddhi Binayak Plywood Industries Pvt. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 303 : 1989,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,94,1.00,
REL-IS_FMC-0000094,STD-01094,IS 303,FMCS-02974,,RIDDHI SIDDHI PLYWOOD INDUSTRIES PVT. LTD,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 303 : 1989,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,95,1.00,
REL-IS_FMC-0000095,STD-01091,IS 302 (Part 2),FMCS-02639,,Stiebel Eltron Asia Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302 (Part 2,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,96,1.00,
REL-IS_FMC-0000096,STD-01090,IS 302 (Part 1),FMCS-02666,,Kohler Mira Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302 (Part 1) : 2024,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,97,1.00,
REL-IS_FMC-0000097,STD-01090,IS 302 (Part 1),FMCS-02735,,PT Philips Industries Batam,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302 (Part 1) : 2024,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,98,1.00,
REL-IS_FMC-0000098,STD-01090,IS 302 (Part 1),FMCS-02842,,EUROTEC S.R.L,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302 (Part 1) : 2024,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,99,1.00,
REL-IS_FMC-0000099,STD-01094,IS 303,FMCS-02751,,Pashupati Plywood Industries,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 303 : 1989,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,100,1.00,
REL-IS_FMC-0000100,STD-01090,IS 302 (Part 1),FMCS-02775,,Annovi Reverberi S.p.A,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302 (Part 1) : 2024,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,101,1.00,
REL-IS_FMC-0000101,STD-01090,IS 302 (Part 1),FMCS-02910,,sCANBOX tHERMOPRODUCTS aKTIEBOLAG,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302 (Part 1) : 2024,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,102,1.00,
REL-IS_FMC-0000102,STD-01090,IS 302 (Part 1),FMCS-02907,,BSH Sprz. Gosp.Dom.Sp. z.o.o.z Siedziba w Warszawie Odd. Produkcji Duzego Sprzetu AGD (MDA) w Lodzi,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302 (Part 1) : 2024,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,103,1.00,
REL-IS_FMC-0000103,STD-01090,IS 302 (Part 1),FMCS-02903,,LG Electronics Inc.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302 (Part 1) : 2024,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,104,1.00,
REL-IS_FMC-0000104,STD-01090,IS 302 (Part 1),FMCS-02884,,LG Electronics Inc.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302 (Part 1) : 2024,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,105,1.00,
REL-IS_FMC-0000105,STD-01090,IS 302 (Part 1),FMCS-02885,,BSH Hisni Aparati d.o.o Nazarje,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302 (Part 1) : 2024,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,106,1.00,
REL-IS_FMC-0000106,STD-00765,IS 17370,FMCS-01506,,OQ Aromatcs LLC,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 17370 : 2020,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,107,1.00,
REL-IS_FMC-0000107,STD-01090,IS 302 (Part 1),FMCS-02845,,EUROTEC S.R.L,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302 (Part 1) : 2024,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,108,1.00,
REL-IS_FMC-0000108,STD-01090,IS 302 (Part 1),FMCS-02849,,Nuga Medical Co. Ltd.,,LICENSED_FOR,licensed_is_text,licensed_is_text,IS 302 (Part 1) : 2024,,F040,data__raw__fmcs_all_fmcs_list_raw.csv,,109,1.00,
