file_id,original_filename,primary_domain,rows,columns,populated_cells,sha256_16,groups_participating,canonical_status,fully_covered_by,contributes_unique_records_to,max_unique_records,unique_records_not_covered_elsewhere,conflicts_involving_file,different_entity_partners,decision_reason,archive_eligible,archive_precondition,phase3_action,phase4_action
F011,BIS_Products_Details.xlsx,02_PRODUCTS,40,11,440,2be2276be9016683,19,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,NONE,BIS_Products_Full_Information.xlsx; BIS_Products_Full_Information_v2.xlsx,38,BIS_Products_Full_Information.xlsx; BIS_Products_Full_Information_v2.xlsx,36,NONE,Overlaps other files but holds up to 38 records they do not (BIS_Products_Full_Information.xlsx; BIS_Products_Full_Information_v2.xlsx). Every one of those records must survive the merge.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F012,BIS_Products_Full_Information.xlsx,02_PRODUCTS,40,11,440,9e1a9e0a8283d9d6,14,REDUNDANT_ARCHIVE_AFTER_VALIDATION,BIS_Products_Full_Information_v2.xlsx,BIS_Products_Details.xlsx,36,NONE,21,NONE,"Fully contained in BIS_Products_Full_Information_v2.xlsx by measured content. Every record it contributes to another file (1 partner(s)) is contributed at least as fully by that containing file, so archiving this copy removes no record from the corpus.",YES,Phase 6 export validated AND record counts reconciled AND file copied to 99_RAW_ORIGINALS/ARCHIVE_OR_DUPLICATES/ so it stays recoverable,Exclude from the canonical load; keep as an archived original,"Do not load. Verify the covering file first, then archive."
F013,BIS_Products_Full_Information_v2.xlsx,02_PRODUCTS,40,11,440,1e912b46d88eec95,14,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,NONE,BIS_Products_Details.xlsx,36,BIS_Products_Details.xlsx,21,NONE,Overlaps other files but holds up to 36 records they do not (BIS_Products_Details.xlsx). Every one of those records must survive the merge.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F014,BIS_QCO-schema_2.xlsx,03_QCO,40,22,880,ed198a1dff9a6141,23,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,NONE,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records.xlsx; BIS_QCO_Master_Records_v3.xlsx; BIS_QCO_Master_Scheme_1.xlsx …(+5),39,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records.xlsx; BIS_QCO_Master_Records_v3.xlsx; BIS_QCO_Master_Scheme_1.xlsx …(+5),549,NONE,Overlaps other files but holds up to 39 records they do not (BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records.xlsx …(+7)). Every one of those records must survive the merge.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F015,BIS_QCO_Master_Records (1).xlsx,03_QCO,15,22,244,0f7620442e1faf97,18,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,NONE,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records.xlsx; BIS_QCO_Master_Records_v3.xlsx; BIS_QCO_Master_Scheme_1.xlsx …(+3),15,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records.xlsx; BIS_QCO_Master_Records_v3.xlsx; BIS_QCO_Master_Scheme_1.xlsx …(+3),98,NONE,Overlaps other files but holds up to 15 records they do not (BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records.xlsx …(+5)). Every one of those records must survive the merge.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F016,BIS_QCO_Master_Records.xlsx,03_QCO,3,22,56,2719f13b4b6456fd,6,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,NONE,BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records_v3.xlsx; BIS_QCO_Master_Scheme_1.xlsx,3,BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records_v3.xlsx; BIS_QCO_Master_Scheme_1.xlsx,26,NONE,Overlaps other files but holds up to 3 records they do not (BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records_v3.xlsx; BIS_QCO_Master_Scheme_1.xlsx). Every one of those records must survive the merge.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F017,BIS_QCO_Master_Records_v3.xlsx,03_QCO,12,22,251,4af59cbea7a978a5,9,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,NONE,BIS_Product_Manuals_Master.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx,12,BIS_Product_Manuals_Master.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx,224,NONE,Overlaps other files but holds up to 12 records they do not (BIS_Product_Manuals_Master.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records.xlsx; BIS_QCO_Master_Scheme_1.xlsx …(+1)). Every one of those records must survive the merge.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F018,BIS_QCO_Master_Scheme_1.xlsx,03_QCO,40,11,440,afde41970b26d98a,21,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,NONE,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records.xlsx; BIS_QCO_Master_Records_v3.xlsx …(+8),39,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records.xlsx; BIS_QCO_Master_Records_v3.xlsx …(+8),292,NONE,Overlaps other files but holds up to 39 records they do not (BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx …(+10)). Every one of those records must survive the merge.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F019,BIS_QCO_Summary.xlsx,03_QCO,35,7,245,22081659d194b6fc,21,KEEP_PENDING_REVIEW,NONE,NONE,0,NONE,0,NONE,Participates in 21 compared pairs with no relationship strong enough to establish coverage. Kept until Phase 3 review.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F020,BIS_Recognized_Laboratories.xlsx,14_LIMS_LABS,15,14,210,009487b3e969dff2,3,KEEP_DISTINCT_ENTITY,NONE,bis_laboratories.csv,13,bis_laboratories.csv,8,bis_topic17_hallmarking_centres.csv; bis_topic17_hallmarking_centres_cancelled_suspended.csv,"Checked against bis_topic17_hallmarking_centres.csv; bis_topic17_hallmarking_centres_cancelled_suspended.csv and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F021,BIS_Scheme_IV_FMCS.xlsx,22_FMCS,40,13,520,033fb29c0aebdb24,27,KEEP_DISTINCT_ENTITY,NONE,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records_v3.xlsx; BIS_Scheme_X_Industrial.xlsx …(+10),40,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Records_v3.xlsx; BIS_Scheme_X_Industrial.xlsx …(+10),784,BIS_Scheme_X_Industrial.xlsx; BIS_Scheme_X_Industrial_v2.xlsx; output__fmcs_country_coverage.csv; output__topic19_official_documents.csv,"Checked against BIS_Scheme_X_Industrial.xlsx; BIS_Scheme_X_Industrial_v2.xlsx; output__fmcs_country_coverage.csv; output__topic19_official_documents.csv and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F022,BIS_Scheme_X_Industrial.xlsx,07_SCHEME_X,5,14,70,3d1362c48ef6504c,5,KEEP_DISTINCT_ENTITY,NONE,BIS_Scheme_IV_FMCS.xlsx; BIS_Schemes_Master.xlsx; BIS_Schemes_Master_Scheme_2.xlsx,5,BIS_Scheme_IV_FMCS.xlsx; BIS_Schemes_Master.xlsx; BIS_Schemes_Master_Scheme_2.xlsx,0,BIS_Scheme_IV_FMCS.xlsx; BIS_Schemes_Master.xlsx; BIS_Schemes_Master_Scheme_2.xlsx,"Checked against BIS_Scheme_IV_FMCS.xlsx; BIS_Schemes_Master.xlsx; BIS_Schemes_Master_Scheme_2.xlsx and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F023,BIS_Scheme_X_Industrial_v2.xlsx,07_SCHEME_X,5,14,70,8e11f9b275a5cd82,5,REDUNDANT_ARCHIVE_AFTER_VALIDATION,BIS_Scheme_X_Industrial.xlsx,BIS_Scheme_IV_FMCS.xlsx; BIS_Schemes_Master.xlsx; BIS_Schemes_Master_Scheme_2.xlsx,5,NONE,0,BIS_Scheme_IV_FMCS.xlsx; BIS_Schemes_Master.xlsx; BIS_Schemes_Master_Scheme_2.xlsx,"Fully contained in BIS_Scheme_X_Industrial.xlsx by measured content. Every record it contributes to another file (3 partner(s)) is contributed at least as fully by that containing file, so archiving this copy removes no record from the corpus.",YES,Phase 6 export validated AND record counts reconciled AND file copied to 99_RAW_ORIGINALS/ARCHIVE_OR_DUPLICATES/ so it stays recoverable,Exclude from the canonical load; keep as an archived original,"Do not load. Verify the covering file first, then archive."
F024,BIS_Schemes_Master.xlsx,04_SCHEME_I,40,14,560,6f76bbc33df50e3a,10,KEEP_DISTINCT_ENTITY,NONE,BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx; BIS_Scheme_X_Industrial.xlsx; BIS_Scheme_X_Industrial_v2.xlsx …(+2),40,BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx; BIS_Scheme_X_Industrial.xlsx; BIS_Scheme_X_Industrial_v2.xlsx …(+2),503,BIS_Scheme_X_Industrial.xlsx; BIS_Scheme_X_Industrial_v2.xlsx; BIS_Schemes_Master_Scheme_2.xlsx,"Checked against BIS_Scheme_X_Industrial.xlsx; BIS_Scheme_X_Industrial_v2.xlsx; BIS_Schemes_Master_Scheme_2.xlsx and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F025,BIS_Schemes_Master_Scheme_2.xlsx,05_SCHEME_II_CRS,40,14,560,2320645274a75b17,11,KEEP_DISTINCT_ENTITY,NONE,BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx; BIS_Scheme_X_Industrial.xlsx; BIS_Scheme_X_Industrial_v2.xlsx …(+2),40,BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx; BIS_Scheme_X_Industrial.xlsx; BIS_Scheme_X_Industrial_v2.xlsx …(+2),503,05_scheme_ii.csv; BIS_Scheme_X_Industrial.xlsx; BIS_Scheme_X_Industrial_v2.xlsx; BIS_Schemes_Master.xlsx,"Checked against 05_scheme_ii.csv; BIS_Scheme_X_Industrial.xlsx; BIS_Scheme_X_Industrial_v2.xlsx; BIS_Schemes_Master.xlsx and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F026,BIS_Standards_Amendments.xlsx,01_KNOW_YOUR_STANDARD,42,12,504,5d4ce591ded7b900,3,KEEP_DISTINCT_ENTITY,NONE,NONE,0,NONE,0,BIS_Standards_Details_v2 (1).xlsx; BIS_Standards_Details_v2.xlsx; BIS_Standards_Details_v3.xlsx,"Checked against BIS_Standards_Details_v2 (1).xlsx; BIS_Standards_Details_v2.xlsx; BIS_Standards_Details_v3.xlsx and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F027,BIS_Standards_Details_v2 (1).xlsx,01_KNOW_YOUR_STANDARD,40,19,701,2e1fc53b0d21aada,18,REDUNDANT_ARCHIVE_AFTER_VALIDATION,BIS_Standards_Details_v3.xlsx,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx; BIS_Standards_Intelligence_Master.xlsx; BIS_Standards_Scheme_Mapping.xlsx …(+1),18,NONE,123,BIS_Standards_Amendments.xlsx,"Fully contained in BIS_Standards_Details_v3.xlsx by measured content. Every record it contributes to another file (7 partner(s)) is contributed at least as fully by that containing file, so archiving this copy removes no record from the corpus.",YES,Phase 6 export validated AND record counts reconciled AND file copied to 99_RAW_ORIGINALS/ARCHIVE_OR_DUPLICATES/ so it stays recoverable,Exclude from the canonical load; keep as an archived original,"Do not load. Verify the covering file first, then archive."
F028,BIS_Standards_Details_v2.xlsx,01_KNOW_YOUR_STANDARD,40,19,701,2e1fc53b0d21aada,18,REDUNDANT_ARCHIVE_AFTER_VALIDATION,BIS_Standards_Details_v2 (1).xlsx; BIS_Standards_Details_v3.xlsx,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx; BIS_Standards_Intelligence_Master.xlsx; BIS_Standards_Scheme_Mapping.xlsx …(+1),18,NONE,123,BIS_Standards_Amendments.xlsx,"Fully contained in BIS_Standards_Details_v2 (1).xlsx; BIS_Standards_Details_v3.xlsx by measured content. Every record it contributes to another file (7 partner(s)) is contributed at least as fully by that containing file, so archiving this copy removes no record from the corpus.",YES,Phase 6 export validated AND record counts reconciled AND file copied to 99_RAW_ORIGINALS/ARCHIVE_OR_DUPLICATES/ so it stays recoverable,Exclude from the canonical load; keep as an archived original,"Do not load. Verify the covering file first, then archive."
F029,BIS_Standards_Details_v3.xlsx,01_KNOW_YOUR_STANDARD,40,19,701,d7bcbeeabdc1ff78,18,KEEP_DISTINCT_ENTITY,NONE,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx; BIS_Standards_Intelligence_Master.xlsx; BIS_Standards_Scheme_Mapping.xlsx …(+1),18,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx; BIS_Standards_Intelligence_Master.xlsx; BIS_Standards_Scheme_Mapping.xlsx …(+1),154,BIS_Standards_Amendments.xlsx,"Checked against BIS_Standards_Amendments.xlsx and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F030,BIS_Standards_Intelligence_Master.xlsx,08_PRODUCT_SPECIFIC,45,23,1035,73a163c5538469fd,21,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,NONE,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx …(+7),42,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx …(+7),673,NONE,Overlaps other files but holds up to 42 records they do not (BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx …(+9)). Every one of those records must survive the merge.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F031,BIS_Standards_Scheme_Mapping.xlsx,08_PRODUCT_SPECIFIC,36,23,828,a6e2988a35af3d16,15,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,NONE,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx; BIS_Standards_Details_v2 (1).xlsx; BIS_Standards_Details_v2.xlsx …(+3),14,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx; BIS_Standards_Details_v2 (1).xlsx; BIS_Standards_Details_v2.xlsx …(+3),480,NONE,Overlaps other files but holds up to 14 records they do not (BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx …(+5)). Every one of those records must survive the merge.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F032,BIS_Testing_Parameters_Master.xlsx,10_TESTING,45,18,787,45451502fe6bfe9b,19,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,NONE,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx …(+7),42,BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx; BIS_QCO_Master_Scheme_1.xlsx; BIS_Scheme_IV_FMCS.xlsx …(+7),304,NONE,Overlaps other files but holds up to 42 records they do not (BIS_Laboratory_Scopes.xlsx; BIS_Product_Manuals_Master.xlsx; BIS_QCO-schema_2.xlsx; BIS_QCO_Master_Records (1).xlsx …(+9)). Every one of those records must survive the merge.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F033,bis_circulars (1).csv,16_ACT_RULES_REGULATIONS,160,11,1373,55a53134aa2ee8b2,3,KEEP_DISTINCT_ENTITY,NONE,NONE,0,NONE,0,BIS_Notifications_Master.xlsx,"Checked against BIS_Notifications_Master.xlsx and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F034,bis_gazette_notification.csv,16_ACT_RULES_REGULATIONS,1798,4,4844,0de9f095951722f4,6,KEEP_DISTINCT_ENTITY,NONE,NONE,0,NONE,0,BIS_Notifications_Master.xlsx,"Checked against BIS_Notifications_Master.xlsx and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F035,bis_laboratories.csv,14_LIMS_LABS,431,11,4256,4f2c0804744fb121,4,KEEP_DISTINCT_ENTITY,NONE,BIS_Recognized_Laboratories.xlsx,429,BIS_Recognized_Laboratories.xlsx,8,bis_topic17_hallmarking_centres.csv,"Checked against bis_topic17_hallmarking_centres.csv and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F036,bis_product_certification_faq (1).csv,12_CERTIFICATION_FAQ,28,8,224,95ad2cc425f9b593,6,KEEP_AND_MERGE_CONTRIBUTES_UNIQUE_RECORDS,NONE,BIS_FAQs_Master.xlsx,28,BIS_FAQs_Master.xlsx,0,NONE,Overlaps other files but holds up to 28 records they do not (BIS_FAQs_Master.xlsx). Every one of those records must survive the merge.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
